exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,100.0,100.0,118.4,3.77,0.45,8,8
+4c,100.0,100.0,118.4,4.94,0.588,8,8
+5c,100.0,100.0,118.4,6.1,0.725,8,8
+6c,100.0,100.0,118.4,7.26,0.863,8,8
+7c,100.0,100.0,118.4,8.42,1.0,8,8
+8c,100.0,100.0,118.4,9.58,1.137,8,8
+9c,100.0,100.0,118.4,10.74,1.275,8,8
+10c,100.0,100.0,118.4,11.9,1.413,8,8
+11c,100.0,100.0,118.4,13.06,1.55,8,8
+12c,100.0,100.0,118.4,14.23,1.688,8,8
+13c,100.0,100.0,118.4,14.67,1.738,8,8
+14c,100.0,100.0,118.4,14.96,1.775,8,8
+15c,100.0,100.0,118.4,14.96,1.775,8,8
+16c,100.0,100.0,118.4,14.96,1.775,8,8
+17c,100.0,100.0,118.4,14.96,1.775,8,8
+18c,100.0,100.0,118.4,14.96,1.775,8,8
+19c,100.0,100.0,118.4,14.96,1.775,8,8
+20c,100.0,100.0,118.4,14.96,1.775,8,8
+21c,100.0,100.0,118.4,14.96,1.775,8,8
+22c,100.0,100.0,118.4,14.96,1.775,8,8
+23c,100.0,100.0,118.4,14.96,1.775,8,8
+24c,100.0,100.0,118.4,14.96,1.775,8,8
+25c,100.0,100.0,118.4,14.96,1.775,8,8
+26c,100.0,100.0,118.4,14.96,1.775,8,8
+27c,100.0,100.0,118.4,14.96,1.775,8,8
+28c,100.0,100.0,118.4,14.96,1.775,8,8
+29c,100.0,100.0,118.4,14.96,1.775,8,8
+30c,100.0,100.0,118.4,14.96,1.775,8,8
hold99,100.0,100.0,118.4,14.96,1.775,8,8
