exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,77.3,81.8,44.8,-10.4,-0.541,22,17
+4c,77.3,81.8,44.8,-8.01,-0.436,22,17
+5c,77.3,81.8,46.2,-5.52,-0.305,22,17
+6c,77.3,81.8,46.2,-3.12,-0.195,22,17
+7c,72.7,77.3,47.0,-6.24,-0.341,22,16
+8c,72.7,77.3,47.0,-3.99,-0.236,22,16
+9c,72.7,77.3,47.0,-1.73,-0.132,22,16
+10c,72.7,77.3,47.0,0.52,-0.027,22,16
+11c,72.7,77.3,47.0,2.78,0.077,22,16
+12c,72.7,77.3,47.7,5.1,0.211,22,16
+13c,72.7,77.3,47.7,7.36,0.318,22,16
+14c,72.7,77.3,47.7,9.61,0.425,22,16
+15c,72.7,77.3,47.7,11.87,0.532,22,16
+16c,68.2,72.7,47.7,7.31,0.305,22,15
+17c,68.2,72.7,47.7,9.43,0.405,22,15
+18c,63.6,68.2,47.7,4.28,0.17,22,14
+19c,63.6,68.2,47.7,6.25,0.264,22,14
+20c,63.6,68.2,47.7,8.22,0.357,22,14
+21c,63.6,68.2,48.4,10.26,0.5,22,14
+22c,63.6,68.2,48.4,12.23,0.595,22,14
+23c,63.6,68.2,48.4,14.2,0.691,22,14
+24c,63.6,68.2,48.4,16.17,0.786,22,14
+25c,63.6,68.2,48.4,18.14,0.882,22,14
+26c,63.6,68.2,48.4,20.11,0.977,22,14
+27c,59.1,63.6,48.4,13.74,0.664,22,13
+28c,59.1,63.6,48.4,15.57,0.752,22,13
+29c,59.1,63.6,48.4,17.4,0.841,22,13
+30c,59.1,63.6,48.4,19.23,0.93,22,13
hold99,45.5,50.0,48.4,47.69,2.327,22,10
