cell,n_matches,+1c,+2c,+3c,+4c,+5c,+6c,+7c,+8c,+9c,+10c,+11c,+12c,+13c,+14c,+15c,+16c,+17c,+18c,+19c,+20c,+21c,+22c,+23c,+24c,+25c,+26c,+27c,+28c,+29c,+30c,+31c,+32c,+33c,+34c,+35c,+36c,+37c,+38c,+39c,+40c,+41c,+42c,+43c,+44c,+45c,+46c,+47c,+48c,+49c,+50c,+51c,+52c,+53c,+54c,+55c,+56c,+57c,+58c,+59c,+60c,+61c,+62c,+63c,+64c,+65c,+66c,+67c,+68c,+69c,+70c
ATP_CHALL_leader_55-59,15,0.05,-0.11,-0.28,-0.23,-0.18,-0.36,-1.02,-0.99,-0.95,-0.92,-0.89,-0.86,-0.83,-0.79,-0.76,-0.73,-0.70,-0.66,-0.63,-0.60,-0.57,-0.54,-0.50,-0.47,-0.44,-0.41,-0.38,-0.65,-0.62,-0.59,-0.57,-0.54,-0.51,-0.48,-0.45,-0.42,-0.39,-0.37,-0.34,-0.65,-1.69,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68
ATP_CHALL_leader_60-64,30,-0.11,-0.01,0.10,0.20,0.31,0.41,0.51,0.62,0.72,0.58,0.42,-0.01,-0.44,-0.36,-0.28,-0.19,-0.11,-0.03,0.05,0.13,-0.07,0.01,0.09,-0.44,-0.37,-0.30,-0.23,-0.16,-0.40,-0.65,-0.59,-0.53,-0.46,-0.73,-1.00,-0.95,-1.59,-1.91,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29
ATP_CHALL_leader_65-69,9,-0.21,-0.18,-0.16,-0.13,-0.10,-0.07,-0.04,-0.01,0.02,0.04,-0.20,-0.18,-0.15,-0.13,-0.10,-0.08,-0.05,-0.03,-0.00,0.02,0.05,0.07,0.10,0.12,0.15,0.17,0.20,0.22,0.25,0.27,-0.05,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
ATP_CHALL_leader_70-74,18,-0.45,-0.40,-0.34,-0.28,-0.23,-0.17,-0.11,-0.33,-0.28,-0.23,-0.17,-0.12,-0.07,-0.32,-0.27,-0.22,-0.17,-0.12,-0.07,-0.02,0.03,0.08,0.13,0.18,0.23,0.28,-0.36,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70,-0.70
ATP_CHALL_leader_75-79,17,0.06,0.12,0.18,0.24,0.01,0.06,0.12,0.18,0.23,0.29,0.35,0.41,0.46,0.52,0.58,0.63,0.69,0.75,0.81,0.86,-0.12,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10
ATP_CHALL_leader_80-84,29,-0.18,-0.08,0.02,0.12,-0.09,0.00,0.14,0.26,0.04,0.12,0.21,-0.03,0.05,0.13,0.21,0.30,0.04,0.09,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55
ATP_CHALL_underdog_15-19,16,-0.01,-0.09,-0.05,-0.08,-0.04,0.00,0.05,0.09,0.13,0.08,0.12,0.05,0.09,0.01,-0.07,-0.16,-0.14,-0.11,-0.09,-0.20,-0.32,-0.30,-0.28,-0.26,-0.24,-0.23,-0.21,-0.19,-0.17,-0.16,-0.14,-0.12,-0.28,-0.27,-0.25,-0.24,-0.23,-0.21,-0.20,-0.18,-0.17,-0.15,-0.14,-0.12,-0.11,-0.10,-0.31,-0.30,-0.29,-0.28,-0.27,-0.26,-0.24,-0.23,-0.22,-0.21,-0.20,-0.19,-0.18,-0.45,-0.44,-0.43,-0.42,-0.42,-0.41,-0.40,-0.70,-0.69,-0.69,-0.69
ATP_CHALL_underdog_20-24,25,0.01,0.00,-0.10,-0.02,-0.05,0.02,0.09,0.05,0.12,-0.04,-0.10,-0.04,-0.11,-0.06,-0.01,0.05,0.10,0.15,0.21,0.26,0.31,0.37,0.26,0.31,0.18,0.23,0.09,0.14,-0.19,-0.15,-0.12,-0.08,-0.04,-0.01,0.03,0.06,0.10,0.13,0.17,0.21,0.24,0.28,0.31,0.35,0.14,0.17,0.20,0.24,0.27,0.30,0.33,0.36,0.40,0.43,0.46,0.49,0.53,0.56,0.59,0.62,0.65,0.69,0.72,0.75,0.47,0.18,-0.12,-0.10,-0.08,-0.06
ATP_CHALL_underdog_25-29,24,-0.01,0.07,0.16,0.24,0.20,0.17,0.24,0.32,0.27,0.34,0.28,0.21,0.13,0.19,0.11,0.17,0.23,0.13,0.18,0.23,0.12,0.00,0.05,0.09,0.14,0.19,0.04,0.08,0.12,-0.23,-0.19,-0.16,-0.12,-0.09,-0.05,-0.01,0.02,-0.18,-0.14,-0.11,-0.08,-0.05,-0.02,-0.24,-0.21,-0.18,-0.15,-0.12,-0.10,-0.07,-0.04,-0.01,0.02,0.05,0.07,0.10,0.13,0.16,0.19,0.22,-0.06,-0.04,-0.33,-0.31,-0.29,-0.26,-0.24,-0.22,-0.20,-0.18
ATP_CHALL_underdog_30-34,14,-0.07,-0.14,-0.09,-0.05,-0.01,0.04,-0.20,-0.16,-0.13,-0.09,-0.06,-0.02,0.01,0.05,0.09,0.12,0.16,0.19,0.05,0.08,0.11,-0.05,-0.02,0.01,0.04,0.07,0.10,0.12,0.15,0.18,0.21,-0.21,-0.19,-0.17,-0.15,-0.13,-0.11,-0.09,-0.06,-0.04,-0.02,0.00,0.02,0.04,0.06,0.09,0.11,0.13,0.15,0.17,0.19,0.21,0.24,0.26,0.28,0.30,0.32,0.02,0.04,0.06,0.07,-0.25,-0.23,-0.22,-0.20,-0.19,-0.17,-0.17,-0.17,-0.17
