fill_ts_ET,player,category,fill_cent,source,play_type,reference_source,real_start_source,scheduled_ET,real_ET,bucket,event
05:42:51,MAK?,ATP_CHALL,19,fallback,v4_fallback_maker,,scheduled_fallback,05:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22BALMAK
05:44:08,BAL?,ATP_CHALL,80,fallback,v4_fallback_maker,,scheduled_fallback,05:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22BALMAK
05:48:47,Valentin Royer,ATP_MAIN,33,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,PREMARKET,KXATPMATCH-26JUN22QUIROY
05:50:41,Hugo Grenier,ATP_MAIN,18,reconcile,v4_reconciled,engagement_join,latch,06:00:00,06:36:30,PREMARKET,KXATPMATCH-26JUN22FARGRE
05:54:37,Anhelina Kalinina,WTA_MAIN,37,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,PREMARKET,KXWTAMATCH-26JUN22SNIKAL
05:55:23,YEV?,ATP_CHALL,53,resting_maker,v4_resting_maker,,latch,05:30:00,06:12:16,CORRIDOR,KXATPCHALLENGERMATCH-26JUN22BARYEV
05:56:07,UES?,ATP_CHALL,26,reconcile,v4_reconciled,,scheduled_fallback,05:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22POTUES
05:56:31,Henri Squire,ATP_MAIN,31,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,PREMARKET,KXATPMATCH-26JUN22SQUZHE
05:57:48,POT?,ATP_CHALL,73,resting_maker,v4_resting_maker,,scheduled_fallback,05:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22POTUES
06:00:40,AND?,ATP_MAIN,17,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22ANDSMI
06:03:42,Bu Yunchaokete,ATP_MAIN,92,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22YUNDEL
06:06:13,Anhelina Kalinina,WTA_MAIN,37,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22SNIKAL
06:07:01,Ivan Ivanov,ATP_MAIN,31,fallback,v4_fallback_maker,engagement_join,latch,06:00:00,06:37:09,CORRIDOR,KXATPMATCH-26JUN22PIRIVA
06:07:41,Daria Snigur,WTA_MAIN,61,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22SNIKAL
06:08:04,Federico Agustin Gomez,ATP_MAIN,34,fallback,v4_fallback_maker,engagement_join,latch,06:00:00,07:02:38,CORRIDOR,KXATPMATCH-26JUN22GOMTAB
06:08:05,Lautaro Midon,ATP_MAIN,21,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22GASMID
06:08:08,Gabriel Diallo,ATP_MAIN,55,staircase,v4_resting_maker,staircase,latch,06:00:00,06:08:59,CORRIDOR,KXATPMATCH-26JUN22DIAATM
06:08:28,Max Houkes,ATP_MAIN,22,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22DJEHOU
06:08:53,PAV?,ATP_MAIN,27,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22LAJPAV
06:09:19,Laslo Djere,ATP_MAIN,76,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22DJEHOU
06:09:23,Tereza Valentova,WTA_MAIN,73,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22KLUVAL
06:09:25,Anton Matusevich,ATP_MAIN,42,staircase,v4_resting_maker,staircase,latch,06:00:00,06:15:31,CORRIDOR,KXATPMATCH-26JUN22MATSAK
06:09:46,Hugo Gaston,ATP_MAIN,79,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22GASMID
06:10:15,Hugo Dellien,ATP_MAIN,7,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22YUNDEL
06:10:40,Borna Gojo,ATP_MAIN,39,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22WONGOJ
06:10:43,Hannah Klugman,WTA_MAIN,26,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22KLUVAL
06:10:49,Daniil Glinka,ATP_MAIN,53,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22GLICOP
06:10:57,Gianluca Cadenasso,ATP_MAIN,27,reconcile,v4_reconciled,engagement_join,latch,06:00:00,06:48:00,CORRIDOR,KXATPMATCH-26JUN22CADCIN
06:11:20,LAJ?,ATP_MAIN,73,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22LAJPAV
