fill_ts_ET,player,category,fill_cent,source,play_type,reference_source,real_start_source,scheduled_ET,real_ET,bucket,event
11:36:36,PAR?,ATP_CHALL,86,fallback,v4_fallback_maker,engagement_join,latch,11:00:00,11:50:26,CORRIDOR,KXATPCHALLENGERMATCH-26JUN22PARBAS
11:36:52,Adam Walton,ATP_MAIN,44,staircase,v4_resting_maker,staircase,latch,11:30:00,11:36:52,POST_REAL,KXATPMATCH-26JUN22WALKYR
11:38:59,KRU?,ATP_CHALL,61,staircase,v4_resting_maker,staircase,scheduled_fallback,07:00:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22TOBKRU
11:39:27,Gustavo Heide,ATP_MAIN,53,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22TSEHEI
11:43:46,SEA?,ATP_MAIN,39,staircase,v4_resting_maker,staircase,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22ZHASEA
11:45:39,Liam Draxl,ATP_MAIN,40,staircase,v4_resting_maker,staircase,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22DRABER
11:49:29,Michael Mmoh,ATP_MAIN,65,fallback,v4_fallback_maker,engagement_join,latch,10:30:00,12:14:35,CORRIDOR,KXATPMATCH-26JUN22GAUMMO
11:50:54,Alexei Popyrin,ATP_MAIN,65,staircase,v4_resting_maker,staircase,scheduled_fallback,09:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CHOPOP
11:57:23,Kaichi Uchida,ATP_MAIN,21,fallback,v4_fallback_maker,engagement_join,latch,10:30:00,12:08:10,CORRIDOR,KXATPMATCH-26JUN22UCHTOM
11:58:39,CEB?,ATP_MAIN,11,staircase,v4_resting_maker,staircase,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CEBCAR
12:11:19,Pierre-Hugues Herbert,ATP_MAIN,56,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22HERJUB
12:14:36,Vilius Gaubas,ATP_MAIN,33,fallback,v4_fallback_maker,engagement_join,latch,10:30:00,12:14:35,POST_REAL,KXATPMATCH-26JUN22GAUMMO
12:20:37,Zizou Bergs,ATP_MAIN,57,fallback,v4_fallback_maker,engagement_join,latch,11:00:00,13:56:12,CORRIDOR,KXATPMATCH-26JUN22BERMUN
12:24:28,Daria Kasatkina,WTA_MAIN,53,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22KESKAS
12:28:06,MER?,WTA_MAIN,56,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,11:30:00,,POST_SCHEDULED,KXWTAMATCH-26JUN20EALMER
12:44:27,Tom Gentzsch,ATP_MAIN,64,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22GENKOL
12:47:37,Zdenek Kolar,ATP_MAIN,34,staircase,v4_resting_maker,staircase,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22GENKOL
12:50:52,HER?,ATP_CHALL,23,engagement,v4_engagement_join,engagement_join,scheduled_fallback,14:00:00,,PREMARKET,KXATPCHALLENGERMATCH-26JUN22TORHER
13:32:22,GHE?,ATP_CHALL,42,staircase,v4_resting_maker,staircase,scheduled_fallback,08:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22GUEGHE
13:37:35,CAS?,ATP_CHALL,20,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,08:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22CASAGA
13:38:06,GUE?,ATP_CHALL,53,staircase,v4_resting_maker,staircase,scheduled_fallback,08:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22GUEGHE
13:44:09,HUE?,ATP_CHALL,43,staircase,v4_resting_maker,staircase,scheduled_fallback,11:00:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22HUEOLI
14:08:45,TOR?,ATP_CHALL,78,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,14:00:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22TORHER
14:26:26,MON?,ATP_CHALL,15,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,14:00:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22SOTMON
15:01:34,SOT?,ATP_CHALL,85,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,14:00:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22SOTMON
