event,player,category,side,posted,filled,bucket,our_bid,fill_cent,fv_close_bid,fv_close_ask,fv_close_last,close_spread,fv_flag,fill_minus_fv_bid,fill_minus_fv_ask,fill_minus_fv_last,our_bid_minus_close_bid,direction,leg_status,last_price
KXATPMATCH-26JUN22GIRDRA,Jack Draper,ATP_MAIN,DRA,True,False,,5,,54,71,73,17,fallback_last_at_sched,,,,-49,flat,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22MOUSVA,Corentin Moutet,ATP_MAIN,MOU,False,False,,,,,,,,,,,,,,not_posted,
KXATPMATCH-26JUN22MOUSVA,Zachary Svajda,ATP_MAIN,SVA,False,False,,,,,,,,,,,,,,not_posted,
KXATPMATCH-26JUN22MOUSHE,Corentin Moutet,ATP_MAIN,MOU,False,False,,,,,,,,,,,,,,not_posted,
KXATPMATCH-26JUN22MOUSHE,Abdullah Shelbayh,ATP_MAIN,SHE,False,False,,,,,,,,,,,,,,not_posted,
KXATPMATCH-26JUN22ZHASEA,Zhang Z.,ATP_MAIN,ZHA,True,False,,60,,59,61,61,2,5min_median,,,,1,firm,bid_unfilled_sellflow_reached,
KXATPMATCH-26JUN22ZHASEA,Searle H.,ATP_MAIN,SEA,True,True,POST,39,39,39,42,39,3,fallback_last_at_sched,0,-3,0,0,fade,filled,
KXATPMATCH-26JUN22YUNDEL,Bu Yunchaokete,ATP_MAIN,YUN,True,True,POST,92,92,92,93,93,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22YUNDEL,Hugo Dellien,ATP_MAIN,DEL,True,True,POST,7,7,7,8,8,1,5min_median,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22WONGOJ,Chak Lam Coleman Wong,ATP_MAIN,WON,True,True,POST,58,58,60,61,61,1,5min_median,-2,-3,-3,-2,firm,filled,
KXATPMATCH-26JUN22WONGOJ,Borna Gojo,ATP_MAIN,GOJ,True,True,POST,39,39,39,40,40,1,fallback_last_at_sched,0,-1,-1,0,fade,filled,
KXATPMATCH-26JUN22VIRMAR,Otto Virtanen,ATP_MAIN,VIR,True,True,POST,85,85,86,87,86,1,fallback_last_at_sched,-1,-2,-1,-1,firm,filled,
KXATPMATCH-26JUN22VIRMAR,Pedro Martinez,ATP_MAIN,MAR,True,True,PREMARKET,15,15,14,15,15,1,5min_median,1,0,0,1,fade,filled,
KXATPMATCH-26JUN22UCHTOM,Kaichi Uchida,ATP_MAIN,UCH,True,True,POST,21,21,21,22,22,1,fallback_last_at_sched,0,-1,-1,0,firm,filled,
KXATPMATCH-26JUN22UCHTOM,Bernard Tomic,ATP_MAIN,TOM,True,False,,80,,80,81,80,1,fallback_last_at_sched,,,,0,,bid_unfilled_sellflow_reached,
KXATPMATCH-26JUN22TSIBUS,Stefanos Tsitsipas,ATP_MAIN,TSI,False,False,,,,,,,,,,,,,,not_posted,
KXATPMATCH-26JUN22TSIBUS,Ignacio Buse,ATP_MAIN,BUS,False,False,,,,,,,,,,,,,,not_posted,
KXATPMATCH-26JUN22TSEHEI,Chun-Hsin Tseng,ATP_MAIN,TSE,True,True,POST,47,47,47,48,48,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22TSEHEI,Gustavo Heide,ATP_MAIN,HEI,True,True,POST,53,53,53,54,54,1,fallback_last_at_sched,0,-1,-1,0,firm,filled,
KXATPMATCH-26JUN22TRAMIK,Stefano Travaglia,ATP_MAIN,TRA,True,False,,64,,64,65,65,1,5min_median,,,,0,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22TRAMIK,Luka Mikrut,ATP_MAIN,MIK,True,True,POST,35,35,35,36,37,1,fallback_last_at_sched,0,-1,-2,0,,filled,
KXATPMATCH-26JUN22TARBOL,Oliver Tarvet,ATP_MAIN,TAR,True,True,POST,47,47,46,48,48,2,fallback_last_at_sched,1,-1,-1,1,firm,filled,
KXATPMATCH-26JUN22TARBOL,Alex Bolt,ATP_MAIN,BOL,True,True,POST,53,53,53,54,54,1,5min_median,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22SWERON,Dane Sweeny,ATP_MAIN,SWE,True,True,POST,92,92,92,93,92,1,fallback_last_at_sched,0,-1,0,0,flat,filled,
KXATPMATCH-26JUN22SWERON,Franco Roncadelli,ATP_MAIN,RON,True,True,POST,8,8,8,9,9,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22STRLAN,Jan-Lennard Struff,ATP_MAIN,STR,True,False,,40,,40,41,41,1,fallback_last_at_sched,,,,0,fade,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22STRLAN,Martin Landaluce,ATP_MAIN,LAN,True,True,POST,59,59,59,61,61,2,5min_median,0,-2,-2,0,firm,filled,
KXATPMATCH-26JUN22SQUZHE,Henri Squire,ATP_MAIN,SQU,True,True,PREMARKET,31,31,30,31,31,1,5min_median,1,0,0,1,fade,filled,
KXATPMATCH-26JUN22SQUZHE,Michael Zheng,ATP_MAIN,ZHE,True,True,POST,68,68,69,70,70,1,5min_median,-1,-2,-2,-1,firm,filled,
KXATPMATCH-26JUN22SMIFIC,Keegan Smith,ATP_MAIN,SMI,True,True,POST,62,62,62,63,65,1,5min_median,0,-1,-3,0,firm,filled,
KXATPMATCH-26JUN22SMIFIC,Juan Pablo Ficovich,ATP_MAIN,FIC,True,True,POST,36,36,37,40,39,3,5min_median,-1,-4,-3,-1,fade,filled,
KXATPMATCH-26JUN22SKABAR,Timofey Skatov,ATP_MAIN,SKA,True,False,,79,,80,81,81,1,fallback_last_at_sched,,,,-1,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22SKABAR,Alex Barrena,ATP_MAIN,BAR,True,True,PREMARKET,20,20,16,18,18,2,fallback_last_at_sched,4,2,2,4,fade,filled,
KXATPMATCH-26JUN22SCHOCO,Joel Josef Schwaerzler,ATP_MAIN,SCH,True,True,PREMARKET,17,17,17,18,18,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22SCHOCO,Christopher O'Connell,ATP_MAIN,OCO,True,False,,82,,82,83,82,1,fallback_last_at_sched,,,,0,fade,bid_unfilled_sellflow_reached,
KXATPMATCH-26JUN22SAIKWON,Nikolas Sanchez Izquierdo,ATP_MAIN,SAI,True,True,PREMARKET,13,13,17,19,22,2,5min_median,-4,-6,-9,-4,firm,filled,
KXATPMATCH-26JUN22SAIKWON,Soonwoo Kwon,ATP_MAIN,KWON,True,True,PREMARKET,85,85,80,84,84,4,5min_median,5,1,1,5,fade,filled,
KXATPMATCH-26JUN22SAFMCC,Roman Safiullin,ATP_MAIN,SAF,True,True,POST,66,66,70,71,71,1,fallback_last_at_sched,-4,-5,-5,-4,firm,filled,
KXATPMATCH-26JUN22SAFMCC,James McCabe,ATP_MAIN,MCC,True,True,PREMARKET,33,33,29,30,30,1,fallback_last_at_sched,4,3,3,4,fade,filled,
KXATPMATCH-26JUN22SACMOC,Vitaliy Sachko,ATP_MAIN,SAC,True,False,,27,,27,29,28,2,fallback_last_at_sched,,,,0,flat,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22SACMOC,Shintaro Mochizuki,ATP_MAIN,MOC,True,True,POST,71,71,72,73,73,1,fallback_last_at_sched,-1,-2,-2,-1,flat,filled,
KXATPMATCH-26JUN22ROCMEJ,Henrique Rocha,ATP_MAIN,ROC,True,True,POST,76,76,76,77,77,1,fallback_last_at_sched,0,-1,-1,0,firm,filled,
