day,fill_ts_ET,player,category,fill_cent,source,real_start_source,bucket,event
20260620,07:21:39,Makk P.,ATP_CHALL,70,fallback,latch,CORRIDOR,KXATPCHALLENGERMATCH-26JUN21GUNMAK
20260620,07:23:38,Sinja Kraus,WTA_MAIN,53,fallback,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN21ZARKRA
20260620,07:35:22,Remondy Pagotto V.,ATP_CHALL,21,engagement,scheduled_fallback,PREMARKET,KXATPCHALLENGERMATCH-26JUN21REMAND
20260620,08:37:57,Ortenblad Nogueira H.,ATP_CHALL,5,engagement,scheduled_fallback,PREMARKET,KXATPCHALLENGERMATCH-26JUN21CIGORT
20260620,09:07:17,Jan Choinski,ATP_MAIN,25,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN21GIRCHO
20260620,09:20:31,Ribero F.,ATP_CHALL,13,staircase,latch,CORRIDOR,KXATPCHALLENGERMATCH-26JUN21BALRIB
20260620,09:29:12,Andreescu S.,ATP_CHALL,52,fallback,latch,CORRIDOR,KXATPCHALLENGERMATCH-26JUN21ANDBAR
20260620,09:31:34,Zanellato N.,ATP_CHALL,90,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21ZANSCH
20260620,09:41:06,Cigarran T.,ATP_CHALL,94,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21CIGORT
20260620,09:41:11,Zanellato N.,ATP_CHALL,90,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21ZANSCH
20260620,09:52:35,Schenekenberg G.,ATP_CHALL,8,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21ZANSCH
20260620,10:10:52,FRE?,WTA_MAIN,23,fallback,scheduled_fallback,NO_SCHEDULE,KXWTAMATCH-26JUN20OSAFRE
20260620,10:21:51,Hayen A.,ATP_CHALL,16,fallback,latch,PREMARKET,KXATPCHALLENGERMATCH-26JUN21HAYMAR
20260620,10:23:20,Sofia Johnson,WTA_MAIN,30,staircase,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN21JOHARA
20260620,10:26:04,Hayen A.,ATP_CHALL,16,fallback,latch,PREMARKET,KXATPCHALLENGERMATCH-26JUN21HAYMAR
20260620,10:29:03,Potenza L.,ATP_CHALL,92,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21POTVAR
20260620,10:41:13,Varbanciu M.,ATP_CHALL,7,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21POTVAR
20260620,11:06:45,Yannick Hanfmann,ATP_MAIN,74,staircase,latch,PREMARKET,KXATPMATCH-26JUN21HANVAL
20260620,11:10:50,Ionel N.,ATP_CHALL,26,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21IONYEV
20260620,11:53:06,Wang X.,WTA_CHALL,66,fallback,scheduled_fallback,POST_SCHEDULED,KXWTACHALLENGERMATCH-26JUN21WANSHE
20260620,11:57:02,Sherif M.,WTA_CHALL,32,staircase,scheduled_fallback,POST_SCHEDULED,KXWTACHALLENGERMATCH-26JUN21WANSHE
20260620,12:11:24,ROD?,ATP_CHALL,7,engagement,scheduled_fallback,NO_SCHEDULE,KXATPCHALLENGERMATCH-26JUN21DEROD
20260620,12:11:24,DE?,ATP_CHALL,95,fallback,scheduled_fallback,NO_SCHEDULE,KXATPCHALLENGERMATCH-26JUN21DEROD
20260620,12:27:00,Parisca I.,ATP_CHALL,93,fallback,scheduled_fallback,PREMARKET,KXATPCHALLENGERMATCH-26JUN21PARBRA
20260620,12:28:12,Parisca I.,ATP_CHALL,93,fallback,scheduled_fallback,PREMARKET,KXATPCHALLENGERMATCH-26JUN21PARBRA
