category,player,match,is_anchor,window1_open_ET,scheduled_ET,realstart_ET,real_start_source,bid_min,bid_max,bid_band_width,bid_at_window1,bid_at_scheduled,bid_at_realstart,bid_precorridor_width,bid_corridor_width,bid_net_direction,bid_where_motion_corridorfrac,ask_min,ask_max,ask_band_width,ask_at_window1,ask_at_scheduled,ask_at_realstart,ask_precorridor_width,ask_corridor_width,ask_net_direction,ask_where_motion_corridorfrac,last_min,last_max,last_band_width,last_at_window1,last_at_scheduled,last_at_realstart,last_precorridor_width,last_corridor_width,last_net_direction,last_where_motion_corridorfrac,taker_buy_vol,taker_sell_vol,our_bid_path,our_fill_cent
ATP_CHALL,HUE?,26JUN22HUEOLI,,07:00:00,11:00:00,11:00:00,scheduled_fallback,40,44,4,,43,43,4,,0,,53,65,12,,64,64,12,,0,,60,60,0,,60,60,0,,0,0.0,16,0,staircase:37->38->39->40->41->42->43,43
ATP_CHALL,OLI?,26JUN22HUEOLI,,07:00:00,11:00:00,11:00:00,scheduled_fallback,35,47,12,,35,35,12,,0,,57,79,22,,77,77,22,,0,,,,,,,,,,0,,0,0,engagement_join:32->39,
ATP_CHALL,LEI?,26JUN22LEITOS,,05:30:00,09:30:00,09:30:00,scheduled_fallback,63,64,1,,64,64,1,,0,,67,67,0,,67,67,0,,0,0.0,,,,,,,,,0,,0,0,staircase:59->60->61->62,62
ATP_CHALL,TOS?,26JUN22LEITOS,,05:30:00,09:30:00,09:30:00,scheduled_fallback,32,35,3,,35,35,3,,0,,36,37,1,,36,36,1,,0,,,,,,,,,,0,,0,0,engagement_join:32->35,35
ATP_CHALL,MAR?,26JUN22MARRAD,,07:00:00,11:00:00,11:00:00,scheduled_fallback,38,40,2,,38,38,2,,0,,39,42,3,,39,39,3,,0,,,,,,,,,,0,,0,0,,
ATP_CHALL,RAD?,26JUN22MARRAD,,07:00:00,11:00:00,11:00:00,scheduled_fallback,58,61,3,,61,61,3,,0,,60,62,2,,62,62,2,,0,,60,60,0,,60,60,0,,0,0.0,1028,0,,
ATP_CHALL,BRO?,26JUN22MICBRO,,07:00:00,11:00:00,11:00:00,scheduled_fallback,7,29,22,,9,9,22,,0,,8,30,22,,10,10,22,,0,,7,29,22,,10,10,22,,0,,17225,9776,,
ATP_CHALL,MIC?,26JUN22MICBRO,,07:00:00,11:00:00,11:00:00,scheduled_fallback,69,92,23,,89,89,23,,0,,70,93,23,,90,90,23,,0,,70,93,23,,91,91,23,,0,,33496,6464,,
ATP_CHALL,PAP?,26JUN22PAPSPE,,00:00:00,04:00:00,04:00:00,scheduled_fallback,79,82,3,,82,82,3,,0,,82,83,1,,83,83,1,,0,,83,83,0,,83,83,0,,0,0.0,98,0,,79
ATP_CHALL,SPE?,26JUN22PAPSPE,,00:00:00,04:00:00,04:00:00,scheduled_fallback,17,18,1,,17,17,1,,0,,18,20,2,,20,20,2,,0,,17,19,2,,19,19,2,,0,,591,57,,17
