ts_ET,event_kind,crossed_leg,match,sib_fill,ask,ask_sz,basis,cap,qty,fill_price,event
04:13:13,complete_cross_skip,Turcanu R.,Turcanu R. vs Rubio Fierros A.,26,72,1,98,102,5,,KXATPCHALLENGERMATCH-26JUN22TURRUB
05:03:53,complete_cross_nofill,TAU?,None vs None,,34,,,,,,KXWTAMATCH-26JUN20TAUSHN
06:01:46,complete_cross_skip,Pinnington Jones J.,Pinnington Jones J. vs Ugo Carabelli C.,31,68,3,99,102,5,,KXATPMATCH-26JUN22PINUGO
06:09:00,complete_cross_skip,Terence Atmane,Terence Atmane vs Gabriel Diallo,55,45,1,100,102,5,,KXATPMATCH-26JUN22DIAATM
06:12:16,complete_cross_skip,Barrientos N.,Barrientos N. vs Yevseyev D.,53,47,2,100,102,5,,KXATPCHALLENGERMATCH-26JUN22BARYEV
06:15:32,complete_cross_skip,Sakamoto R.,Matusevich A. vs Sakamoto R.,42,56,4,98,102,5,,KXATPMATCH-26JUN22MATSAK
06:30:15,complete_cross_skip,Harris B.,Napolitano S. vs Harris B.,23,78,3,101,102,5,,KXATPMATCH-26JUN22NAPHAR
06:36:31,complete_cross_skip,Faria J.,Faria J. vs Grenier H.,18,82,2,100,102,5,,KXATPMATCH-26JUN22FARGRE
06:37:09,complete_cross_skip,Piros Z.,Piros Z. vs Ivanov I.,31,68,2,99,102,5,,KXATPMATCH-26JUN22PIRIVA
06:48:01,complete_cross_skip,Cina F.,Cadenasso G. vs Cina F.,27,73,1,100,102,5,,KXATPMATCH-26JUN22CADCIN
07:02:40,complete_cross_skip,Tabur C.,Gomez F. vs Tabur C.,34,66,1,100,102,5,,KXATPMATCH-26JUN22GOMTAB
07:14:15,complete_cross_nofill,OSA?,None vs None,,72,,,,,,KXWTAMATCH-26JUN20OSAFRE
07:46:13,complete_cross_skip,Petra Marcinko,Petra Marcinko vs Antonia Ruzic,58,40,3,98,102,5,,KXWTAMATCH-26JUN22RUZMAR
07:47:13,complete_cross_skip,Santillan A.,Cretu C. vs Santillan A.,71,39,14610,110,102,5,,KXATPCHALLENGERMATCH-26JUN22CRESAN
08:08:04,complete_cross_skip,Simakin I.,Simakin I. vs Topo M.,58,40,1,98,102,5,,KXATPCHALLENGERMATCH-26JUN22SIMTOP
08:09:55,complete_cross,Tarvet O.,Tarvet O. vs Bolt A.,53,47,,100,,5,47,KXATPMATCH-26JUN22TARBOL
08:21:07,complete_cross_skip,MAY?,None vs None,33,94,1,127,102,5,,KXATPMATCH-26JUN22MANMAY
08:29:05,complete_cross_skip,Skatov T.,Skatov T. vs Barrena A.,20,94,2,114,102,5,,KXATPMATCH-26JUN22SKABAR
08:30:16,complete_cross_skip,Sachko V.,Sachko V. vs Mochizuki S.,71,30,1,101,102,5,,KXATPMATCH-26JUN22SACMOC
08:35:51,complete_cross_skip,Sakellaridis S.,Hsu Y. vs Sakellaridis S.,39,76,1,115,102,5,,KXATPMATCH-26JUN22HSUSAK
08:47:46,complete_cross_skip,Butvilas E.,Butvilas E. vs Echargui M.,30,70,3,100,102,5,,KXATPMATCH-26JUN22BUTECH
09:09:15,complete_cross_skip,Jan-Lennard Struff,Martin Landaluce vs Jan-Lennard Struff,59,41,4,100,102,5,,KXATPMATCH-26JUN22STRLAN
09:27:24,complete_cross_skip,Den Ouden G.,Den Ouden G. vs Zhou Y.,57,45,1,102,102,5,,KXATPMATCH-26JUN22DENZHO
09:44:25,complete_cross_skip,Cigarran T.,Cigarran T. vs Andrade Da Silva L.,71,32,643,103,102,5,,KXATPCHALLENGERMATCH-26JUN22CIGAND
10:26:41,complete_cross_skip,Broady L.,Broady L. vs Holmgren A.,53,52,10,105,102,5,,KXATPMATCH-26JUN22BROHOL
11:06:22,complete_cross,Jelena Ostapenko,Francesca Jones vs Jelena Ostapenko,22,77,,99,,5,77,KXWTAMATCH-26JUN22OSTJON
11:13:29,complete_cross_skip,Travaglia S.,Travaglia S. vs Mikrut L.,35,77,2,112,102,5,,KXATPMATCH-26JUN22TRAMIK
11:16:18,complete_cross_skip,Jurij Rodionov,Crawford O. vs Rodionov J.,31,69,1,100,102,5,,KXATPMATCH-26JUN22CRAROD
11:36:52,complete_cross,Adam Walton,Nick Kyrgios vs Adam Walton,57,44,,101,,5,44,KXATPMATCH-26JUN22WALKYR
11:50:26,complete_cross_skip,Basel V.,Parisca I. vs Basel V.,86,22,3,108,102,5,,KXATPCHALLENGERMATCH-26JUN22PARBAS
11:59:43,complete_cross_skip,OCO?,Schwaerzler J. vs O'Connell C.,17,88,14029,105,102,5,,KXATPMATCH-26JUN22SCHOCO
12:08:10,complete_cross_skip,Tomic B.,Uchida K. vs Tomic B.,21,84,100,105,102,5,,KXATPMATCH-26JUN22UCHTOM
12:31:19,complete_cross_skip,Meligeni Rodrigues Alves F.,McDonald M. vs Meligeni Rodrigues Alves F.,95,8,8,103,102,5,,KXATPMATCH-26JUN22MCDMEL
13:56:23,complete_cross_nofill,Jaume Munar,Jaume Munar vs Zizou Bergs,,44,,,,,,KXATPMATCH-26JUN22BERMUN
