ts_epoch,ts_et,t_minus_scheduled_s,t_minus_actual_bell_s,t_minus_pre_match_boundary_s,leg,ticker,row_type,best_bid,bid_size,best_ask,ask_size,spread,ask_dwell_s,bid_depth_5,ask_depth_5,depth_ratio,last_traded,print_price,print_size,taker_side,trade_id,receipt,resting_bid,combined_state,quote_state,pressure_state,pair_cap,decision_action,decision_reason,layer_tags
1783794934,2026-07-11 14:35:34.000,84266.0,163466.0,163466,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,WINDOW_LEFT,,,,,,,,,,,,,,,WINDOW_LEFT,,,,,,,,WINDOW_BOUNDARY
1783794934.0,2026-07-11 14:35:34.000,84266.0,163466.0,163466.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,0.0,13538,1776,0.8840276870837143,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-2,5,RISING,SETTLED,RISING,,PLACE_REST,FIRST_TWO_SIDED_BOOK_LIVING_REST_ONE_CENT_UNDER_BID,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION+REST_ACTION
1783794934,2026-07-11 14:35:34.000,84266.0,163466.0,163466,VAN,KXATPMATCH-26JUL12LAJVAN-VAN,WINDOW_LEFT,,,,,,,,,,,,,,,WINDOW_LEFT,,,,,,,,WINDOW_BOUNDARY
1783794934.0,2026-07-11 14:35:34.000,84266.0,163466.0,163466.0,VAN,KXATPMATCH-26JUL12LAJVAN-VAN,BBO,6,200,94,200,88,0.0,14738,1776,0.8924548867627468,0,,,,,KXATPMATCH-26JUL12LAJVAN-VAN.csv.gz#row-2,5,RISING,SETTLED,RISING,,PLACE_REST,FIRST_TWO_SIDED_BOOK_LIVING_REST_ONE_CENT_UNDER_BID,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION+REST_ACTION
1783794951.0,2026-07-11 14:35:51.000,84249.0,163449.0,163449.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,17.0,13650,1776,0.8848697005056398,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-3,5,RISING,SETTLED,RISING,,HOLD_REST,NO_ACTIVE_DISCOUNT_EVIDENCE_FLOOR,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION
1783794951.0,2026-07-11 14:35:51.000,84249.0,163449.0,163449.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,17.0,1696,1776,0.48847926267281105,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-4,5,SETTLED,SETTLED,SETTLED,,HOLD_REST,NO_ACTIVE_DISCOUNT_EVIDENCE_FLOOR,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION
1783794951.0,2026-07-11 14:35:51.000,84249.0,163449.0,163449.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,17.0,1776,1776,0.5,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-5,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783794951.0,2026-07-11 14:35:51.000,84249.0,163449.0,163449.0,VAN,KXATPMATCH-26JUL12LAJVAN-VAN,BBO,6,200,94,200,88,17.0,14850,1776,0.8931793576326236,0,,,,,KXATPMATCH-26JUL12LAJVAN-VAN.csv.gz#row-3,5,RISING,SETTLED,RISING,,HOLD_REST,NO_ACTIVE_DISCOUNT_EVIDENCE_FLOOR,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION
1783794951.0,2026-07-11 14:35:51.000,84249.0,163449.0,163449.0,VAN,KXATPMATCH-26JUL12LAJVAN-VAN,BBO,6,200,94,200,88,17.0,1696,1776,0.48847926267281105,0,,,,,KXATPMATCH-26JUL12LAJVAN-VAN.csv.gz#row-4,5,SETTLED,SETTLED,SETTLED,,HOLD_REST,NO_ACTIVE_DISCOUNT_EVIDENCE_FLOOR,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION
1783794951.0,2026-07-11 14:35:51.000,84249.0,163449.0,163449.0,VAN,KXATPMATCH-26JUL12LAJVAN-VAN,BBO,6,200,94,200,88,17.0,1776,1776,0.5,0,,,,,KXATPMATCH-26JUL12LAJVAN-VAN.csv.gz#row-5,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783794965.0,2026-07-11 14:36:05.000,84235.0,163435.0,163435.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,31.0,1776,1777,0.4998592738530819,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-6,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783794966.0,2026-07-11 14:36:06.000,84234.0,163434.0,163434.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,32.0,1776,1778,0.49971862689926844,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-7,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783794966.0,2026-07-11 14:36:06.000,84234.0,163434.0,163434.0,VAN,KXATPMATCH-26JUL12LAJVAN-VAN,BBO,6,200,94,200,88,32.0,1776,1777,0.4998592738530819,0,,,,,KXATPMATCH-26JUL12LAJVAN-VAN.csv.gz#row-6,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783794967.0,2026-07-11 14:36:07.000,84233.0,163433.0,163433.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,33.0,1777,1778,0.49985935302391,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-8,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783794967.0,2026-07-11 14:36:07.000,84233.0,163433.0,163433.0,VAN,KXATPMATCH-26JUL12LAJVAN-VAN,BBO,6,200,94,200,88,33.0,1777,1777,0.5,0,,,,,KXATPMATCH-26JUL12LAJVAN-VAN.csv.gz#row-7,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783795003.0,2026-07-11 14:36:43.000,84197.0,163397.0,163397.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,69.0,1902,1778,0.5168478260869566,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-9,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783795003.0,2026-07-11 14:36:43.000,84197.0,163397.0,163397.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,69.0,1902,1978,0.4902061855670103,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-10,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783795003.0,2026-07-11 14:36:43.000,84197.0,163397.0,163397.0,VAN,KXATPMATCH-26JUL12LAJVAN-VAN,BBO,6,200,94,200,88,69.0,1902,1777,0.5169883120413156,0,,,,,KXATPMATCH-26JUL12LAJVAN-VAN.csv.gz#row-8,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783795003.0,2026-07-11 14:36:43.000,84197.0,163397.0,163397.0,VAN,KXATPMATCH-26JUL12LAJVAN-VAN,BBO,6,200,94,200,88,69.0,1902,1977,0.4903325599381284,0,,,,,KXATPMATCH-26JUL12LAJVAN-VAN.csv.gz#row-9,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783795058.0,2026-07-11 14:37:38.000,84142.0,163342.0,163342.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,124.0,1917,1978,0.4921694480102696,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-11,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783795058.0,2026-07-11 14:37:38.000,84142.0,163342.0,163342.0,VAN,KXATPMATCH-26JUL12LAJVAN-VAN,BBO,6,200,94,200,88,124.0,1917,1977,0.49229583975346686,0,,,,,KXATPMATCH-26JUL12LAJVAN-VAN.csv.gz#row-10,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783795059.0,2026-07-11 14:37:39.000,84141.0,163341.0,163341.0,LAJ,KXATPMATCH-26JUL12LAJVAN-LAJ,BBO,6,200,94,200,88,125.0,1919,1978,0.4924300744162176,0,,,,,KXATPMATCH-26JUL12LAJVAN-LAJ.csv.gz#row-12,5,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
