ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 11:23:53 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,72,98,123,50.0
2026-04-18 11:23:56 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,74,98,123,50.0
2026-04-18 11:32:49 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,32,500,6,116,5,194,4,823,3,540,94,15,95,25,96,543,97,74,98,123,63.0
2026-04-18 11:34:19 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,32,500,6,116,5,194,4,823,3,540,94,365,95,25,96,543,97,74,98,123,63.0
2026-04-18 11:34:25 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,32,500,6,116,5,194,4,823,3,540,94,365,95,25,96,543,97,84,98,123,63.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,156,32,500,6,116,5,194,4,823,94,365,95,25,96,543,97,84,98,123,64.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,156,33,161,32,500,6,116,5,194,94,365,95,25,96,543,97,84,98,123,64.0
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,156,33,161,32,500,6,116,5,194,39,143,94,365,95,25,96,543,97,84,36.5
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,161,32,500,6,116,5,194,39,143,94,365,95,25,96,543,97,84,36.5
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,161,32,500,6,116,5,194,39,143,40,140,94,365,95,25,96,543,36.5
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,273,32,500,6,116,5,194,39,143,40,140,94,365,95,25,96,543,36.5
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,273,32,500,6,116,5,194,39,143,40,240,94,365,95,25,96,543,36.5
2026-04-18 11:38:24 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,273,32,500,6,116,5,194,39,235,40,240,94,365,95,25,96,543,36.5
2026-04-18 11:40:13 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,273,32,500,6,116,5,344,39,235,40,240,94,365,95,25,96,543,36.5
2026-04-18 11:42:53 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,273,32,500,6,116,5,344,39,235,40,240,89,1,94,365,95,25,36.5
2026-04-18 11:42:53 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,273,32,500,6,116,5,344,39,235,40,240,84,1,89,1,94,365,36.5
2026-04-18 11:42:53 AM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,273,32,500,6,116,5,344,39,235,40,240,74,1,84,1,89,1,36.5
2026-04-18 12:00:16 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,362,33,273,32,500,6,116,5,344,39,235,40,240,74,1,84,1,89,1,36.5
2026-04-18 12:00:16 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,362,33,273,32,500,6,116,5,344,39,735,40,240,74,1,84,1,89,1,36.5
2026-04-18 12:00:20 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,362,33,273,32,500,6,116,5,344,39,235,40,240,74,1,84,1,89,1,36.5
2026-04-18 12:00:20 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,273,32,500,6,116,5,344,39,235,40,240,74,1,84,1,89,1,36.5
2026-04-18 12:06:25 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,287,32,500,6,116,5,344,39,235,40,240,74,1,84,1,89,1,36.5
2026-04-18 12:06:25 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,287,32,509,6,116,5,344,39,235,40,240,74,1,84,1,89,1,36.5
2026-04-18 12:06:25 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,287,32,509,6,116,5,344,39,235,40,254,74,1,84,1,89,1,36.5
2026-04-18 12:06:25 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,262,33,287,32,509,6,116,5,344,39,235,40,254,73,99,74,1,84,1,36.5
2026-04-18 12:19:06 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,274,33,287,32,509,6,116,5,344,39,235,40,254,73,99,74,1,84,1,36.5
2026-04-18 12:19:06 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,274,33,300,32,509,6,116,5,344,39,235,40,254,73,99,74,1,84,1,36.5
2026-04-18 12:19:06 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,274,33,300,32,522,6,116,5,344,39,235,40,254,73,99,74,1,84,1,36.5
2026-04-18 12:19:06 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,274,33,300,32,522,31,13,6,116,39,235,40,254,73,99,74,1,84,1,36.5
2026-04-18 12:19:06 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,274,33,300,32,522,31,13,30,14,39,235,40,254,73,99,74,1,84,1,36.5
2026-04-18 12:21:41 PM,KXATPCHALLENGERMATCH-26APR18CHUPAR-CHU,34,274,33,300,32,522,31,13,30,14,39,235,40,254,72,1321,73,99,74,1,36.5
