ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid,bid_depth_5,ask_depth_5,depth_ratio
2026-04-18 04:12:30 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,4,500,1,1827,,,,,,,96,500,97,10,99,1827,,,,,50.0,2327,2337,0.499
2026-04-18 04:12:42 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,7,4,500,1,1827,,,,,96,500,97,10,99,1827,,,,,50.5,2334,2337,0.500
2026-04-18 04:12:42 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,7,4,500,1,1827,,,,,95,7,96,500,97,10,99,1827,,,50.0,2334,2344,0.499
2026-04-18 04:13:38 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,7,4,500,1,3327,,,,,95,7,96,500,97,10,99,1827,,,50.0,3834,2344,0.621
2026-04-18 04:13:38 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,7,4,500,1,3327,,,,,95,7,96,500,97,10,99,2027,,,50.0,3834,2544,0.601
2026-04-18 04:13:39 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,7,4,500,2,900,1,3327,,,95,7,96,500,97,10,99,2027,,,50.0,4734,2544,0.650
2026-04-18 04:13:39 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,7,4,500,2,900,1,3327,,,95,7,96,500,97,10,98,120,99,2027,50.0,4734,2664,0.640
2026-04-18 04:13:39 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,7,4,500,3,540,2,900,1,3327,95,7,96,500,97,10,98,120,99,2027,50.0,5274,2664,0.664
2026-04-18 04:13:39 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,7,4,500,3,540,2,900,1,3327,95,7,96,500,97,82,98,120,99,2027,50.0,5274,2736,0.658
2026-04-18 04:13:39 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,7,4,823,3,540,2,900,1,3327,95,7,96,500,97,82,98,120,99,2027,50.0,5597,2736,0.672
2026-04-18 04:13:39 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,7,4,823,3,540,2,900,1,3327,95,7,96,543,97,82,98,120,99,2027,50.0,5597,2779,0.668
2026-04-18 04:13:40 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,201,4,823,3,540,2,900,1,3327,95,7,96,543,97,82,98,120,99,2027,50.0,5791,2779,0.676
2026-04-18 04:13:40 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,5,201,4,823,3,540,2,900,1,3327,95,32,96,543,97,82,98,120,99,2027,50.0,5791,2804,0.674
2026-04-18 04:13:40 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,6,116,5,201,4,823,3,540,2,900,95,32,96,543,97,82,98,120,99,2027,50.5,2580,2804,0.479
2026-04-18 04:13:40 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,6,116,5,201,4,823,3,540,2,900,94,15,95,32,96,543,97,82,98,120,50.0,2580,792,0.765
2026-04-18 04:14:58 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,6,116,5,201,4,823,3,540,2,900,94,15,95,32,96,543,97,82,98,123,50.0,2580,795,0.764
2026-04-18 04:14:59 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,6,116,5,201,4,823,3,540,2,900,94,15,95,32,96,543,97,84,98,123,50.0,2580,797,0.764
2026-04-18 04:19:19 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,6,116,5,194,4,823,3,540,2,900,94,15,95,32,96,543,97,84,98,123,50.0,2573,797,0.764
2026-04-18 04:19:19 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,84,98,123,50.0,2573,790,0.765
2026-04-18 04:20:29 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,6,116,5,194,4,823,3,540,2,900,94,365,95,25,96,543,97,84,98,123,50.0,2573,1140,0.693
2026-04-18 04:21:15 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,7,1,6,116,5,194,4,823,3,540,94,365,95,25,96,543,97,84,98,123,50.5,1674,1140,0.595
2026-04-18 04:21:15 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,7,1,6,116,5,194,4,823,3,540,93,1,94,365,95,25,96,543,97,84,50.0,1674,1018,0.622
2026-04-18 04:22:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,59,800,7,1,6,116,5,194,4,823,93,1,94,365,95,25,96,543,97,84,76.0,1934,1018,0.655
2026-04-18 04:22:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,60,800,59,800,7,1,6,116,5,194,93,1,94,365,95,25,96,543,97,84,76.5,1911,1018,0.652
2026-04-18 04:22:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,62,800,60,800,59,800,7,1,6,116,93,1,94,365,95,25,96,543,97,84,77.5,2517,1018,0.712
2026-04-18 04:22:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,62,800,60,800,59,800,7,1,6,116,85,800,93,1,94,365,95,25,96,543,73.5,2517,1734,0.592
2026-04-18 04:22:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,62,800,60,800,59,800,7,1,6,116,85,800,88,800,93,1,94,365,95,25,73.5,2517,1991,0.558
2026-04-18 04:22:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,62,800,60,800,59,800,7,1,6,116,85,800,87,800,88,800,93,1,94,365,73.5,2517,2766,0.476
2026-04-18 04:33:44 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,67,500,62,800,60,800,59,800,7,1,85,800,87,800,88,800,93,1,94,365,76.0,2901,2766,0.512
2026-04-18 04:33:46 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,67,500,62,800,60,800,59,800,7,1,84,9,85,800,87,800,88,800,93,1,75.5,2901,2410,0.546
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,67,500,60,800,59,800,7,1,6,116,84,9,85,800,87,800,88,800,93,1,75.5,2217,2410,0.479
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,67,500,59,800,7,1,6,116,5,194,84,9,85,800,87,800,88,800,93,1,75.5,1611,2410,0.401
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,67,500,7,1,6,116,5,194,4,823,84,9,85,800,87,800,88,800,93,1,75.5,1634,2410,0.404
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,67,1300,7,1,6,116,5,194,4,823,84,9,85,800,87,800,88,800,93,1,75.5,2434,2410,0.502
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,67,1300,66,800,7,1,6,116,5,194,84,9,85,800,87,800,88,800,93,1,75.5,2411,2410,0.500
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,68,800,67,1300,66,800,7,1,6,116,84,9,85,800,87,800,88,800,93,1,76.0,3017,2410,0.556
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,68,800,67,1300,66,800,7,1,6,116,84,75,85,800,87,800,88,800,93,1,76.0,3017,2476,0.549
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,68,800,67,1300,66,800,7,1,6,116,85,800,87,800,88,800,93,1,94,365,76.5,3017,2766,0.522
2026-04-18 04:35:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,68,800,67,1300,66,800,7,1,6,116,83,70,85,800,87,800,88,800,93,1,75.5,3017,2471,0.550
2026-04-18 04:38:44 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,68,800,67,1300,66,800,7,1,6,116,83,70,85,800,87,800,88,800,94,365,75.5,3017,2835,0.516
2026-04-18 04:38:44 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,68,800,67,1300,66,800,6,116,5,194,83,70,85,800,87,800,88,800,94,365,75.5,3210,2835,0.531
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,39,68,800,67,1300,66,800,6,116,83,70,85,800,87,800,88,800,94,365,77.0,3055,2835,0.519
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,39,68,800,67,1300,66,800,6,116,76,45,83,70,85,800,87,800,88,800,73.5,3055,2515,0.548
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,39,68,800,67,1300,66,800,6,116,76,45,85,800,87,800,88,800,94,365,73.5,3055,2810,0.521
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,39,68,800,67,1300,66,800,6,116,75,23,76,45,85,800,87,800,88,800,73.0,3055,2468,0.553
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,39,70,37,68,800,67,1300,66,800,75,23,76,45,85,800,87,800,88,800,73.0,2976,2468,0.547
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,39,70,37,68,800,67,1300,66,800,75,38,76,45,85,800,87,800,88,800,73.0,2976,2483,0.545
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,39,70,37,68,800,67,1300,66,800,75,38,76,45,77,47,85,800,87,800,73.0,2976,1730,0.632
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,67,70,37,68,800,67,1300,66,800,75,38,76,45,77,47,85,800,87,800,73.0,3004,1730,0.635
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,67,70,63,68,800,67,1300,66,800,75,38,76,45,77,47,85,800,87,800,73.0,3030,1730,0.637
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,67,70,63,68,800,67,1300,66,800,75,38,76,75,77,47,85,800,87,800,73.0,3030,1760,0.633
2026-04-18 04:41:12 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,67,70,63,68,800,67,1300,66,800,75,38,76,75,77,78,85,800,87,800,73.0,3030,1791,0.629
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,67,70,63,68,800,67,500,66,800,75,38,76,75,77,78,85,800,87,800,73.0,2230,1791,0.555
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,67,70,63,68,800,67,500,6,116,75,38,76,75,77,78,85,800,87,800,73.0,1546,1791,0.463
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,67,70,63,67,500,6,116,5,194,75,38,76,75,77,78,85,800,87,800,73.0,940,1791,0.344
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,67,70,63,67,500,6,116,5,194,75,38,76,75,77,78,87,800,88,800,73.0,940,1791,0.344
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,67,70,63,67,500,6,116,5,194,75,38,76,75,77,78,88,800,94,365,73.0,940,1356,0.409
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,67,70,63,67,500,6,116,5,194,75,38,76,75,77,78,94,365,95,26,73.0,940,582,0.618
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,867,70,63,67,500,6,116,5,194,75,38,76,75,77,78,94,365,95,26,73.0,1740,582,0.749
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,867,70,63,69,800,67,500,6,116,75,38,76,75,77,78,94,365,95,26,73.0,2346,582,0.801
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,867,70,863,69,800,67,500,6,116,75,38,76,75,77,78,94,365,95,26,73.0,3146,582,0.844
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,867,70,863,69,800,67,500,6,116,75,838,76,75,77,78,94,365,95,26,73.0,3146,1382,0.695
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,867,70,863,69,800,67,500,6,116,75,838,76,75,77,78,78,800,94,365,73.0,3146,2156,0.593
2026-04-18 04:41:53 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,867,70,863,69,800,67,500,6,116,75,838,76,75,77,878,78,800,94,365,73.0,3146,2956,0.516
2026-04-18 04:45:27 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,867,70,863,69,800,67,500,6,116,75,838,76,75,77,878,78,800,89,1,73.0,3146,2592,0.548
2026-04-18 04:47:36 PM,KXATPCHALLENGERMATCH-26APR19MARPOT-MAR,71,867,70,863,69,800,67,500,6,116,75,838,76,75,77,878,78,800,89,1,73.0,3146,2592,0.548
