ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 12:34:00 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,120,50.0
2026-04-18 12:35:29 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,123,50.0
2026-04-18 12:35:30 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,84,98,123,50.0
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,64,155,6,116,5,194,4,823,3,540,94,15,95,25,96,543,97,84,98,123,79.0
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,64,155,63,157,6,116,5,194,4,823,94,15,95,25,96,543,97,84,98,123,79.0
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,64,155,63,157,62,160,6,116,5,194,94,15,95,25,96,543,97,84,98,123,79.0
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,64,155,63,157,62,160,58,172,6,116,94,15,95,25,96,543,97,84,98,123,79.0
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,64,155,63,157,62,160,58,172,47,213,94,15,95,25,96,543,97,84,98,123,79.0
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,64,155,63,157,62,160,58,172,47,213,85,2640,94,15,95,25,96,543,97,84,74.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,64,155,63,157,62,160,58,172,47,213,85,2640,86,2829,94,15,95,25,96,543,74.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,64,155,63,157,62,160,58,172,47,213,85,2640,86,2829,87,3046,94,15,95,25,74.5
2026-04-18 12:35:37 PM,KXATPCHALLENGERMATCH-26APR19SATMAT-MAT,64,155,63,157,62,160,58,172,47,213,85,2640,86,2829,87,3046,91,4444,94,15,74.5
