ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 03:14:29 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,6,116,5,199,4,823,3,540,2,900,94,1015,95,30,96,543,97,82,98,120,50.0
2026-04-18 03:15:02 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,6,116,5,199,4,823,3,540,2,900,94,1015,95,30,96,543,97,82,98,123,50.0
2026-04-18 03:15:04 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,6,116,5,199,4,823,3,540,2,900,94,1015,95,30,96,543,97,84,98,123,50.0
2026-04-18 03:16:56 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,7,8,6,116,5,199,4,823,3,540,94,1015,95,30,96,543,97,84,98,123,50.5
2026-04-18 03:16:56 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,7,8,6,116,5,199,4,823,3,540,93,8,94,1015,95,30,96,543,97,84,50.0
2026-04-18 03:16:58 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,42,500,7,8,6,116,5,199,4,823,93,8,94,1015,95,30,96,543,97,84,67.5
2026-04-18 03:18:16 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,500,7,8,6,116,5,199,93,8,94,1015,95,30,96,543,97,84,68.0
2026-04-18 03:18:16 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,736,7,8,6,116,5,199,93,8,94,1015,95,30,96,543,97,84,68.0
2026-04-18 03:18:16 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,736,41,172,7,8,6,116,93,8,94,1015,95,30,96,543,97,84,68.0
2026-04-18 03:18:16 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,736,41,172,31,323,7,8,93,8,94,1015,95,30,96,543,97,84,68.0
2026-04-18 03:18:16 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,736,41,172,31,323,20,500,93,8,94,1015,95,30,96,543,97,84,68.0
2026-04-18 03:18:16 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,736,41,172,31,323,20,500,58,943,93,8,94,1015,95,30,96,543,50.5
2026-04-18 03:18:16 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,736,41,172,31,323,20,500,58,943,59,966,93,8,94,1015,95,30,50.5
2026-04-18 03:18:16 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,736,41,172,31,323,20,500,58,943,59,966,60,990,93,8,94,1015,50.5
2026-04-18 03:18:16 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,736,41,172,31,323,20,500,58,943,59,966,60,990,64,1111,93,8,50.5
2026-04-18 03:18:16 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,736,41,172,31,323,20,500,58,943,59,966,60,990,64,1111,75,1600,50.5
2026-04-18 03:18:47 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,230,42,736,41,172,31,323,20,500,58,942,59,966,60,990,64,1111,75,1600,50.5
2026-04-18 03:19:54 PM,KXATPCHALLENGERMATCH-26APR19RIEYUN-RIE,43,448,42,736,41,172,31,323,20,500,58,942,59,966,60,990,64,1111,75,1600,50.5
