category,leader_cell,underdog_cell,scenario,leader_exit,underdog_exit,n_matches,both_clip_pct,one_clip_pct,neither_clip_pct,leader_wr_pct,underdog_wr_pct,leader_avg_pnl_c,underdog_avg_pnl_c,combined_ev_c,combined_roi_pct,combined_pnl_stdev
ATP_CHALL,ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,BASELINE_10C,+10c,+10c,1,100.0,0.0,0.0,100.0,100.0,100,100,200,22.22,0
ATP_CHALL,ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,V3_OPTIMAL,+21c,+7c,1,100.0,0.0,0.0,100.0,100.0,210,70,280,31.11,0
ATP_CHALL,ATP_CHALL_leader_55-59,ATP_CHALL_underdog_30-34,WORST_CASE,hold99,hold99,1,0.0,100.0,0.0,100.0,0.0,400,-315,85,9.39,0
ATP_CHALL,ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,BASELINE_10C,+10c,+10c,17,100.0,0.0,0.0,100.0,100.0,129.1,134.4,263.5,20.75,27.8
ATP_CHALL,ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,V3_OPTIMAL,+21c,+11c,17,88.2,11.8,0.0,94.1,94.1,213.5,105,318.5,24.82,322.8
ATP_CHALL,ATP_CHALL_leader_55-59,ATP_CHALL_underdog_35-39,WORST_CASE,hold99,hold99,17,0.0,100.0,0.0,76.5,23.5,275.6,-185,90.6,6.18,167.3
ATP_CHALL,ATP_CHALL_leader_55-59,ATP_CHALL_underdog_40-44,BASELINE_10C,+10c,+10c,10,60.0,40.0,0.0,90.0,70.0,25,-86.5,-61.5,-5.62,449.1
ATP_CHALL,ATP_CHALL_leader_55-59,ATP_CHALL_underdog_40-44,V3_OPTIMAL,+21c,hold99,10,10.0,90.0,0.0,70.0,40.0,-69,-55,-124,-8.87,453.0
ATP_CHALL,ATP_CHALL_leader_55-59,ATP_CHALL_underdog_40-44,WORST_CASE,hold99,hold99,10,0.0,100.0,0.0,60.0,40.0,-8.5,-55,-63.5,-5.26,127.0
ATP_CHALL,ATP_CHALL_leader_60-64,ATP_CHALL_underdog_30-34,BASELINE_10C,+10c,+10c,3,66.7,33.3,0.0,100.0,66.7,100,-48.3,51.7,5.65,256.9
ATP_CHALL,ATP_CHALL_leader_60-64,ATP_CHALL_underdog_30-34,V3_OPTIMAL,+27c,+7c,3,66.7,33.3,0.0,100.0,66.7,270,-68.3,201.7,21.4,239.6
