sequence,changed_leg,valid_from_et,valid_from_tminus_scheduled,valid_from_tminus_bell,valid_to_et,duration_seconds,NIK_bid,NIK_ask,NIK_spread,VRB_bid,VRB_ask,VRB_spread
1,GATE_OPEN,2026-07-19T04:30:00-04:00,T-480.000,T-485.000,2026-07-19T06:14:33-04:00,6273.0,,,,,,
2,NIK,2026-07-19T06:14:33-04:00,T-375.450,T-380.450,2026-07-19T06:14:33-04:00,0.0,5,92,87,,,
3,VRB,2026-07-19T06:14:33-04:00,T-375.450,T-380.450,2026-07-19T06:28:01-04:00,808.0,5,92,87,5,92,87
4,NIK,2026-07-19T06:28:01-04:00,T-361.983,T-366.983,2026-07-19T06:28:05-04:00,4.0,23,33,10,5,92,87
5,VRB,2026-07-19T06:28:05-04:00,T-361.917,T-366.917,2026-07-19T06:28:24-04:00,19.0,23,33,10,67,77,10
6,NIK,2026-07-19T06:28:24-04:00,T-361.600,T-366.600,2026-07-19T06:28:24-04:00,0.0,29,33,4,67,77,10
7,VRB,2026-07-19T06:28:24-04:00,T-361.600,T-366.600,2026-07-19T06:30:39-04:00,135.0,29,33,4,67,76,9
8,NIK,2026-07-19T06:30:39-04:00,T-359.350,T-364.350,2026-07-19T07:07:16-04:00,2197.0,29,32,3,67,76,9
9,NIK,2026-07-19T07:07:16-04:00,T-322.733,T-327.733,2026-07-19T07:07:33-04:00,17.0,29,31,2,67,76,9
10,NIK,2026-07-19T07:07:33-04:00,T-322.450,T-327.450,2026-07-19T07:07:33-04:00,0.0,29,30,1,67,76,9
11,NIK,2026-07-19T07:07:33-04:00,T-322.450,T-327.450,2026-07-19T07:07:35-04:00,2.0,23,30,7,67,76,9
12,NIK,2026-07-19T07:07:35-04:00,T-322.417,T-327.417,2026-07-19T07:07:47-04:00,12.0,28,30,2,67,76,9
13,NIK,2026-07-19T07:07:47-04:00,T-322.217,T-327.217,2026-07-19T07:07:47-04:00,0.0,28,29,1,67,76,9
14,NIK,2026-07-19T07:07:47-04:00,T-322.217,T-327.217,2026-07-19T07:07:48-04:00,1.0,23,29,6,67,76,9
15,NIK,2026-07-19T07:07:48-04:00,T-322.200,T-327.200,2026-07-19T07:11:51-04:00,243.0,28,29,1,67,76,9
16,VRB,2026-07-19T07:11:51-04:00,T-318.150,T-323.150,2026-07-19T07:12:07-04:00,16.0,28,29,1,67,75,8
17,VRB,2026-07-19T07:12:07-04:00,T-317.883,T-322.883,2026-07-19T07:12:08-04:00,1.0,28,29,1,67,74,7
