sequence,changed_leg,valid_from_et,valid_from_tminus_scheduled,valid_from_tminus_bell,valid_to_et,duration_seconds,NIK_bid,NIK_ask,NIK_spread,VRB_bid,VRB_ask,VRB_spread
18,VRB,2026-07-19T07:12:08-04:00,T-317.867,T-322.867,2026-07-19T07:12:08-04:00,0.0,28,29,1,67,76,9
19,VRB,2026-07-19T07:12:08-04:00,T-317.867,T-322.867,2026-07-19T07:12:08-04:00,0.0,28,29,1,67,75,8
20,VRB,2026-07-19T07:12:08-04:00,T-317.867,T-322.867,2026-07-19T07:12:09-04:00,1.0,28,29,1,67,73,6
21,VRB,2026-07-19T07:12:09-04:00,T-317.850,T-322.850,2026-07-19T07:12:09-04:00,0.0,28,29,1,67,72,5
22,VRB,2026-07-19T07:12:09-04:00,T-317.850,T-322.850,2026-07-19T07:12:10-04:00,1.0,28,29,1,67,71,4
23,VRB,2026-07-19T07:12:10-04:00,T-317.833,T-322.833,2026-07-19T07:12:10-04:00,0.0,28,29,1,67,70,3
24,VRB,2026-07-19T07:12:10-04:00,T-317.833,T-322.833,2026-07-19T07:12:11-04:00,1.0,28,29,1,67,69,2
25,VRB,2026-07-19T07:12:11-04:00,T-317.817,T-322.817,2026-07-19T07:12:23-04:00,12.0,28,29,1,67,68,1
26,VRB,2026-07-19T07:12:23-04:00,T-317.617,T-322.617,2026-07-19T07:13:08-04:00,45.0,28,29,1,67,75,8
27,VRB,2026-07-19T07:13:08-04:00,T-316.867,T-321.867,2026-07-19T07:13:35-04:00,27.0,28,29,1,67,74,7
28,VRB,2026-07-19T07:13:35-04:00,T-316.417,T-321.417,2026-07-19T07:13:37-04:00,2.0,28,29,1,67,73,6
29,VRB,2026-07-19T07:13:37-04:00,T-316.383,T-321.383,2026-07-19T07:13:37-04:00,0.0,28,29,1,69,73,4
30,VRB,2026-07-19T07:13:37-04:00,T-316.383,T-321.383,2026-07-19T07:13:37-04:00,0.0,28,29,1,69,72,3
31,VRB,2026-07-19T07:13:37-04:00,T-316.383,T-321.383,2026-07-19T07:13:37-04:00,0.0,28,29,1,69,71,2
32,VRB,2026-07-19T07:13:37-04:00,T-316.383,T-321.383,2026-07-19T07:15:22-04:00,105.0,28,29,1,69,70,1
33,VRB,2026-07-19T07:15:22-04:00,T-314.633,T-319.633,2026-07-19T07:16:21-04:00,59.0,28,29,1,67,68,1
34,VRB,2026-07-19T07:16:21-04:00,T-313.650,T-318.650,2026-07-19T07:16:51-04:00,30.0,28,29,1,67,75,8
35,VRB,2026-07-19T07:16:51-04:00,T-313.150,T-318.150,2026-07-19T07:17:07-04:00,16.0,28,29,1,67,74,7
36,VRB,2026-07-19T07:17:07-04:00,T-312.883,T-317.883,2026-07-19T07:17:09-04:00,2.0,28,29,1,67,73,6
37,VRB,2026-07-19T07:17:09-04:00,T-312.850,T-317.850,2026-07-19T07:17:09-04:00,0.0,28,29,1,67,75,8
38,VRB,2026-07-19T07:17:09-04:00,T-312.850,T-317.850,2026-07-19T07:17:13-04:00,4.0,28,29,1,67,74,7
39,VRB,2026-07-19T07:17:13-04:00,T-312.783,T-317.783,2026-07-19T07:18:21-04:00,68.0,28,29,1,69,74,5
40,VRB,2026-07-19T07:18:21-04:00,T-311.650,T-316.650,2026-07-19T07:18:55-04:00,34.0,28,29,1,69,75,6
41,VRB,2026-07-19T07:18:55-04:00,T-311.083,T-316.083,2026-07-19T07:19:25-04:00,30.0,28,29,1,69,74,5
42,VRB,2026-07-19T07:19:25-04:00,T-310.583,T-315.583,2026-07-19T07:19:59-04:00,34.0,28,29,1,69,75,6
43,VRB,2026-07-19T07:19:59-04:00,T-310.017,T-315.017,2026-07-19T07:20:19-04:00,20.0,28,29,1,69,74,5
44,VRB,2026-07-19T07:20:19-04:00,T-309.683,T-314.683,2026-07-19T07:20:22-04:00,3.0,28,29,1,69,73,4
45,VRB,2026-07-19T07:20:22-04:00,T-309.633,T-314.633,2026-07-19T07:20:22-04:00,0.0,28,29,1,69,72,3
46,VRB,2026-07-19T07:20:22-04:00,T-309.633,T-314.633,2026-07-19T07:20:22-04:00,0.0,28,29,1,69,71,2
47,VRB,2026-07-19T07:20:22-04:00,T-309.633,T-314.633,2026-07-19T07:20:35-04:00,13.0,28,29,1,69,70,1
48,VRB,2026-07-19T07:20:35-04:00,T-309.417,T-314.417,2026-07-19T07:20:44-04:00,9.0,28,29,1,69,75,6
49,VRB,2026-07-19T07:20:44-04:00,T-309.267,T-314.267,2026-07-19T07:21:06-04:00,22.0,28,29,1,67,75,8
50,VRB,2026-07-19T07:21:06-04:00,T-308.900,T-313.900,2026-07-19T07:21:09-04:00,3.0,28,29,1,67,74,7
51,VRB,2026-07-19T07:21:09-04:00,T-308.850,T-313.850,2026-07-19T07:21:11-04:00,2.0,28,29,1,67,73,6
52,VRB,2026-07-19T07:21:11-04:00,T-308.817,T-313.817,2026-07-19T07:21:11-04:00,0.0,28,29,1,67,72,5
53,VRB,2026-07-19T07:21:11-04:00,T-308.817,T-313.817,2026-07-19T07:21:11-04:00,0.0,28,29,1,67,71,4
54,VRB,2026-07-19T07:21:11-04:00,T-308.817,T-313.817,2026-07-19T07:21:11-04:00,0.0,28,29,1,67,70,3
55,VRB,2026-07-19T07:21:11-04:00,T-308.817,T-313.817,2026-07-19T07:21:12-04:00,1.0,28,29,1,67,69,2
56,VRB,2026-07-19T07:21:12-04:00,T-308.800,T-313.800,2026-07-19T07:21:20-04:00,8.0,28,29,1,67,68,1
57,VRB,2026-07-19T07:21:20-04:00,T-308.667,T-313.667,2026-07-19T07:21:52-04:00,32.0,28,29,1,67,75,8
58,VRB,2026-07-19T07:21:52-04:00,T-308.133,T-313.133,2026-07-19T07:22:09-04:00,17.0,28,29,1,67,74,7
59,VRB,2026-07-19T07:22:09-04:00,T-307.850,T-312.850,2026-07-19T07:22:11-04:00,2.0,28,29,1,67,73,6
60,VRB,2026-07-19T07:22:11-04:00,T-307.817,T-312.817,2026-07-19T07:22:11-04:00,0.0,28,29,1,67,72,5
61,VRB,2026-07-19T07:22:11-04:00,T-307.817,T-312.817,2026-07-19T07:22:11-04:00,0.0,28,29,1,67,71,4
62,VRB,2026-07-19T07:22:11-04:00,T-307.817,T-312.817,2026-07-19T07:22:11-04:00,0.0,28,29,1,67,70,3
63,VRB,2026-07-19T07:22:11-04:00,T-307.817,T-312.817,2026-07-19T07:22:12-04:00,1.0,28,29,1,67,69,2
64,VRB,2026-07-19T07:22:12-04:00,T-307.800,T-312.800,2026-07-19T07:22:20-04:00,8.0,28,29,1,67,68,1
65,VRB,2026-07-19T07:22:20-04:00,T-307.667,T-312.667,2026-07-19T07:22:52-04:00,32.0,28,29,1,67,75,8
66,VRB,2026-07-19T07:22:52-04:00,T-307.133,T-312.133,2026-07-19T07:23:09-04:00,17.0,28,29,1,67,74,7
67,VRB,2026-07-19T07:23:09-04:00,T-306.850,T-311.850,2026-07-19T07:23:11-04:00,2.0,28,29,1,67,73,6
68,VRB,2026-07-19T07:23:11-04:00,T-306.817,T-311.817,2026-07-19T07:23:11-04:00,0.0,28,29,1,67,72,5
69,VRB,2026-07-19T07:23:11-04:00,T-306.817,T-311.817,2026-07-19T07:23:12-04:00,1.0,28,29,1,67,71,4
70,VRB,2026-07-19T07:23:12-04:00,T-306.800,T-311.800,2026-07-19T07:23:15-04:00,3.0,28,29,1,67,70,3
71,VRB,2026-07-19T07:23:15-04:00,T-306.750,T-311.750,2026-07-19T07:23:15-04:00,0.0,28,29,1,67,69,2
72,VRB,2026-07-19T07:23:15-04:00,T-306.750,T-311.750,2026-07-19T07:23:20-04:00,5.0,28,29,1,67,68,1
73,VRB,2026-07-19T07:23:20-04:00,T-306.667,T-311.667,2026-07-19T07:23:53-04:00,33.0,28,29,1,67,75,8
74,VRB,2026-07-19T07:23:53-04:00,T-306.117,T-311.117,2026-07-19T07:24:10-04:00,17.0,28,29,1,67,74,7
75,VRB,2026-07-19T07:24:10-04:00,T-305.833,T-310.833,2026-07-19T07:24:11-04:00,1.0,28,29,1,67,73,6
76,VRB,2026-07-19T07:24:11-04:00,T-305.817,T-310.817,2026-07-19T07:24:12-04:00,1.0,28,29,1,67,72,5
77,VRB,2026-07-19T07:24:12-04:00,T-305.800,T-310.800,2026-07-19T07:24:12-04:00,0.0,28,29,1,67,71,4
78,VRB,2026-07-19T07:24:12-04:00,T-305.800,T-310.800,2026-07-19T07:24:13-04:00,1.0,28,29,1,67,70,3
79,VRB,2026-07-19T07:24:13-04:00,T-305.783,T-310.783,2026-07-19T07:24:13-04:00,0.0,28,29,1,67,69,2
80,VRB,2026-07-19T07:24:13-04:00,T-305.783,T-310.783,2026-07-19T07:24:20-04:00,7.0,28,29,1,67,68,1
81,VRB,2026-07-19T07:24:20-04:00,T-305.667,T-310.667,2026-07-19T07:24:52-04:00,32.0,28,29,1,67,75,8
82,VRB,2026-07-19T07:24:52-04:00,T-305.133,T-310.133,2026-07-19T07:25:20-04:00,28.0,28,29,1,67,74,7
83,VRB,2026-07-19T07:25:20-04:00,T-304.667,T-309.667,2026-07-19T07:25:52-04:00,32.0,28,29,1,67,75,8
84,VRB,2026-07-19T07:25:52-04:00,T-304.133,T-309.133,2026-07-19T07:26:20-04:00,28.0,28,29,1,67,74,7
85,VRB,2026-07-19T07:26:20-04:00,T-303.667,T-308.667,2026-07-19T07:26:51-04:00,31.0,28,29,1,67,75,8
86,VRB,2026-07-19T07:26:51-04:00,T-303.150,T-308.150,2026-07-19T07:27:20-04:00,29.0,28,29,1,67,74,7
87,VRB,2026-07-19T07:27:20-04:00,T-302.667,T-307.667,2026-07-19T07:27:52-04:00,32.0,28,29,1,67,75,8
88,VRB,2026-07-19T07:27:52-04:00,T-302.133,T-307.133,2026-07-19T07:28:08-04:00,16.0,28,29,1,67,74,7
89,VRB,2026-07-19T07:28:08-04:00,T-301.867,T-306.867,2026-07-19T07:28:09-04:00,1.0,28,29,1,67,73,6
90,VRB,2026-07-19T07:28:09-04:00,T-301.850,T-306.850,2026-07-19T07:28:09-04:00,0.0,28,29,1,67,72,5
91,VRB,2026-07-19T07:28:09-04:00,T-301.850,T-306.850,2026-07-19T07:28:09-04:00,0.0,28,29,1,67,71,4
92,VRB,2026-07-19T07:28:09-04:00,T-301.850,T-306.850,2026-07-19T07:28:10-04:00,1.0,28,29,1,67,70,3
93,VRB,2026-07-19T07:28:10-04:00,T-301.833,T-306.833,2026-07-19T07:28:10-04:00,0.0,28,29,1,67,69,2
94,VRB,2026-07-19T07:28:10-04:00,T-301.833,T-306.833,2026-07-19T07:28:20-04:00,10.0,28,29,1,67,68,1
95,VRB,2026-07-19T07:28:20-04:00,T-301.667,T-306.667,2026-07-19T07:28:53-04:00,33.0,28,29,1,67,75,8
96,VRB,2026-07-19T07:28:53-04:00,T-301.117,T-306.117,2026-07-19T07:29:08-04:00,15.0,28,29,1,67,74,7
97,VRB,2026-07-19T07:29:08-04:00,T-300.867,T-305.867,2026-07-19T07:29:09-04:00,1.0,28,29,1,67,73,6
98,VRB,2026-07-19T07:29:09-04:00,T-300.850,T-305.850,2026-07-19T07:29:09-04:00,0.0,28,29,1,67,72,5
99,VRB,2026-07-19T07:29:09-04:00,T-300.850,T-305.850,2026-07-19T07:29:09-04:00,0.0,28,29,1,67,71,4
100,VRB,2026-07-19T07:29:09-04:00,T-300.850,T-305.850,2026-07-19T07:29:10-04:00,1.0,28,29,1,67,70,3
101,VRB,2026-07-19T07:29:10-04:00,T-300.833,T-305.833,2026-07-19T07:29:11-04:00,1.0,28,29,1,67,69,2
102,VRB,2026-07-19T07:29:11-04:00,T-300.817,T-305.817,2026-07-19T07:29:20-04:00,9.0,28,29,1,67,68,1
103,VRB,2026-07-19T07:29:20-04:00,T-300.667,T-305.667,2026-07-19T07:29:51-04:00,31.0,28,29,1,67,75,8
104,VRB,2026-07-19T07:29:51-04:00,T-300.150,T-305.150,2026-07-19T07:30:10-04:00,19.0,28,29,1,67,74,7
105,VRB,2026-07-19T07:30:10-04:00,T-299.833,T-304.833,2026-07-19T07:30:10-04:00,0.0,28,29,1,67,73,6
106,VRB,2026-07-19T07:30:10-04:00,T-299.833,T-304.833,2026-07-19T07:30:11-04:00,1.0,28,29,1,67,72,5
107,VRB,2026-07-19T07:30:11-04:00,T-299.817,T-304.817,2026-07-19T07:30:11-04:00,0.0,28,29,1,67,71,4
108,VRB,2026-07-19T07:30:11-04:00,T-299.817,T-304.817,2026-07-19T07:30:11-04:00,0.0,28,29,1,67,70,3
109,VRB,2026-07-19T07:30:11-04:00,T-299.817,T-304.817,2026-07-19T07:30:11-04:00,0.0,28,29,1,67,69,2
110,VRB,2026-07-19T07:30:11-04:00,T-299.817,T-304.817,2026-07-19T07:30:11-04:00,0.0,28,29,1,67,70,3
111,VRB,2026-07-19T07:30:11-04:00,T-299.817,T-304.817,2026-07-19T07:30:11-04:00,0.0,28,29,1,67,75,8
112,VRB,2026-07-19T07:30:11-04:00,T-299.817,T-304.817,2026-07-19T07:30:17-04:00,6.0,28,29,1,67,69,2
113,VRB,2026-07-19T07:30:17-04:00,T-299.717,T-304.717,2026-07-19T07:39:00-04:00,523.0,28,29,1,67,68,1
114,VRB,2026-07-19T07:39:00-04:00,T-291.000,T-296.000,2026-07-19T07:39:00-04:00,0.0,28,29,1,67,75,8
115,VRB,2026-07-19T07:39:00-04:00,T-291.000,T-296.000,2026-07-19T07:39:00-04:00,0.0,28,29,1,67,74,7
116,VRB,2026-07-19T07:39:00-04:00,T-291.000,T-296.000,2026-07-19T07:39:18-04:00,18.0,28,29,1,67,75,8
117,VRB,2026-07-19T07:39:18-04:00,T-290.700,T-295.700,2026-07-19T07:39:32-04:00,14.0,28,29,1,67,74,7
118,VRB,2026-07-19T07:39:32-04:00,T-290.467,T-295.467,2026-07-19T07:39:32-04:00,0.0,28,29,1,67,73,6
119,VRB,2026-07-19T07:39:32-04:00,T-290.467,T-295.467,2026-07-19T07:39:37-04:00,5.0,28,29,1,69,73,4
120,VRB,2026-07-19T07:39:37-04:00,T-290.383,T-295.383,2026-07-19T07:39:37-04:00,0.0,28,29,1,67,73,6
121,VRB,2026-07-19T07:39:37-04:00,T-290.383,T-295.383,2026-07-19T07:39:37-04:00,0.0,28,29,1,67,75,8
122,VRB,2026-07-19T07:39:37-04:00,T-290.383,T-295.383,2026-07-19T07:40:27-04:00,50.0,28,29,1,67,74,7
123,VRB,2026-07-19T07:40:27-04:00,T-289.550,T-294.550,2026-07-19T07:40:31-04:00,4.0,28,29,1,68,74,6
124,VRB,2026-07-19T07:40:31-04:00,T-289.483,T-294.483,2026-07-19T07:40:31-04:00,0.0,28,29,1,68,73,5
125,VRB,2026-07-19T07:40:31-04:00,T-289.483,T-294.483,2026-07-19T07:44:07-04:00,216.0,28,29,1,69,73,4
126,VRB,2026-07-19T07:44:07-04:00,T-285.883,T-290.883,2026-07-19T07:48:26-04:00,259.0,28,29,1,70,73,3
127,VRB,2026-07-19T07:48:26-04:00,T-281.567,T-286.567,2026-07-19T07:48:42-04:00,16.0,28,29,1,71,73,2
128,VRB,2026-07-19T07:48:42-04:00,T-281.300,T-286.300,2026-07-19T07:51:20-04:00,158.0,28,29,1,72,73,1
129,NIK,2026-07-19T07:51:20-04:00,T-278.667,T-283.667,2026-07-19T07:51:20-04:00,0.0,24,29,5,72,73,1
130,NIK,2026-07-19T07:51:20-04:00,T-278.667,T-283.667,2026-07-19T07:51:20-04:00,0.0,24,28,4,72,73,1
131,NIK,2026-07-19T07:51:20-04:00,T-278.667,T-283.667,2026-07-19T07:51:20-04:00,0.0,23,28,5,72,73,1
132,NIK,2026-07-19T07:51:20-04:00,T-278.667,T-283.667,2026-07-19T07:51:20-04:00,0.0,23,27,4,72,73,1
133,NIK,2026-07-19T07:51:20-04:00,T-278.667,T-283.667,2026-07-19T07:51:21-04:00,1.0,24,27,3,72,73,1
134,NIK,2026-07-19T07:51:21-04:00,T-278.650,T-283.650,2026-07-19T07:51:22-04:00,1.0,24,26,2,72,73,1
135,NIK,2026-07-19T07:51:22-04:00,T-278.633,T-283.633,2026-07-19T07:51:22-04:00,0.0,24,28,4,72,73,1
136,NIK,2026-07-19T07:51:22-04:00,T-278.633,T-283.633,2026-07-19T07:51:26-04:00,4.0,24,27,3,72,73,1
137,NIK,2026-07-19T07:51:26-04:00,T-278.567,T-283.567,2026-07-19T07:51:37-04:00,11.0,25,27,2,72,73,1
138,VRB,2026-07-19T07:51:37-04:00,T-278.383,T-283.383,2026-07-19T07:51:45-04:00,8.0,25,27,2,73,73,0
139,VRB,2026-07-19T07:51:45-04:00,T-278.250,T-283.250,2026-07-19T07:51:51-04:00,6.0,25,27,2,74,73,-1
140,NIK,2026-07-19T07:51:51-04:00,T-278.150,T-283.150,2026-07-19T07:52:05-04:00,14.0,26,27,1,74,73,-1
141,VRB,2026-07-19T07:52:05-04:00,T-277.917,T-282.917,2026-07-19T07:52:15-04:00,10.0,26,27,1,73,73,0
142,VRB,2026-07-19T07:52:15-04:00,T-277.750,T-282.750,2026-07-19T07:53:20-04:00,65.0,26,27,1,72,73,1
143,NIK,2026-07-19T07:53:20-04:00,T-276.667,T-281.667,2026-07-19T07:53:51-04:00,31.0,24,27,3,72,73,1
144,NIK,2026-07-19T07:53:51-04:00,T-276.150,T-281.150,2026-07-19T07:54:09-04:00,18.0,25,27,2,72,73,1
145,NIK,2026-07-19T07:54:09-04:00,T-275.850,T-280.850,2026-07-19T07:55:21-04:00,72.0,26,27,1,72,73,1
146,NIK,2026-07-19T07:55:21-04:00,T-274.650,T-279.650,2026-07-19T07:55:50-04:00,29.0,24,27,3,72,73,1
147,NIK,2026-07-19T07:55:50-04:00,T-274.167,T-279.167,2026-07-19T07:56:06-04:00,16.0,25,27,2,72,73,1
148,VRB,2026-07-19T07:56:06-04:00,T-273.900,T-278.900,2026-07-19T07:56:08-04:00,2.0,25,27,2,73,73,0
149,NIK,2026-07-19T07:56:08-04:00,T-273.867,T-278.867,2026-07-19T07:56:23-04:00,15.0,26,27,1,73,73,0
150,NIK,2026-07-19T07:56:23-04:00,T-273.617,T-278.617,2026-07-19T07:56:23-04:00,0.0,26,28,2,73,73,0
151,NIK,2026-07-19T07:56:23-04:00,T-273.617,T-278.617,2026-07-19T07:56:36-04:00,13.0,27,28,1,73,73,0
152,NIK,2026-07-19T07:56:36-04:00,T-273.400,T-278.400,2026-07-19T07:56:36-04:00,0.0,24,28,4,73,73,0
153,NIK,2026-07-19T07:56:36-04:00,T-273.400,T-278.400,2026-07-19T07:57:14-04:00,38.0,25,28,3,73,73,0
154,NIK,2026-07-19T07:57:14-04:00,T-272.767,T-277.767,2026-07-19T07:57:15-04:00,1.0,26,28,2,73,73,0
155,VRB,2026-07-19T07:57:15-04:00,T-272.750,T-277.750,2026-07-19T07:57:20-04:00,5.0,26,28,2,73,74,1
156,NIK,2026-07-19T07:57:20-04:00,T-272.667,T-277.667,2026-07-19T07:57:22-04:00,2.0,25,28,3,73,74,1
157,NIK,2026-07-19T07:57:22-04:00,T-272.633,T-277.633,2026-07-19T07:57:22-04:00,0.0,24,28,4,73,74,1
158,NIK,2026-07-19T07:57:22-04:00,T-272.633,T-277.633,2026-07-19T07:57:24-04:00,2.0,23,28,5,73,74,1
159,VRB,2026-07-19T07:57:24-04:00,T-272.600,T-277.600,2026-07-19T07:57:25-04:00,1.0,23,28,5,73,75,2
160,VRB,2026-07-19T07:57:25-04:00,T-272.583,T-277.583,2026-07-19T07:57:56-04:00,31.0,23,28,5,72,75,3
161,NIK,2026-07-19T07:57:56-04:00,T-272.067,T-277.067,2026-07-19T07:58:11-04:00,15.0,24,28,4,72,75,3
162,VRB,2026-07-19T07:58:11-04:00,T-271.817,T-276.817,2026-07-19T07:59:20-04:00,69.0,24,28,4,72,74,2
163,NIK,2026-07-19T07:59:20-04:00,T-270.667,T-275.667,2026-07-19T07:59:24-04:00,4.0,23,28,5,72,74,2
164,VRB,2026-07-19T07:59:24-04:00,T-270.600,T-275.600,2026-07-19T07:59:52-04:00,28.0,23,28,5,72,75,3
165,NIK,2026-07-19T07:59:52-04:00,T-270.133,T-275.133,2026-07-19T08:00:26-04:00,34.0,24,28,4,72,75,3
166,VRB,2026-07-19T08:00:26-04:00,T-269.567,T-274.567,2026-07-19T08:01:10-04:00,44.0,24,28,4,72,74,2
167,VRB,2026-07-19T08:01:10-04:00,T-268.833,T-273.833,2026-07-19T08:01:37-04:00,27.0,24,28,4,73,74,1
168,VRB,2026-07-19T08:01:37-04:00,T-268.383,T-273.383,2026-07-19T08:01:37-04:00,0.0,24,28,4,72,74,2
169,VRB,2026-07-19T08:01:37-04:00,T-268.383,T-273.383,2026-07-19T08:01:40-04:00,3.0,24,28,4,72,73,1
170,VRB,2026-07-19T08:01:40-04:00,T-268.333,T-273.333,2026-07-19T08:01:40-04:00,0.0,24,28,4,72,75,3
171,VRB,2026-07-19T08:01:40-04:00,T-268.333,T-273.333,2026-07-19T08:04:14-04:00,154.0,24,28,4,72,74,2
172,NIK,2026-07-19T08:04:14-04:00,T-265.767,T-270.767,2026-07-19T08:04:14-04:00,0.0,25,28,3,72,74,2
173,NIK,2026-07-19T08:04:14-04:00,T-265.767,T-270.767,2026-07-19T08:04:53-04:00,39.0,26,28,2,72,74,2
174,VRB,2026-07-19T08:04:53-04:00,T-265.117,T-270.117,2026-07-19T08:14:05-04:00,552.0,26,28,2,73,74,1
175,NIK,2026-07-19T08:14:05-04:00,T-255.917,T-260.917,2026-07-19T08:14:05-04:00,0.0,23,28,5,73,74,1
176,NIK,2026-07-19T08:14:05-04:00,T-255.917,T-260.917,2026-07-19T08:14:21-04:00,16.0,24,28,4,73,74,1
177,NIK,2026-07-19T08:14:21-04:00,T-255.650,T-260.650,2026-07-19T08:16:05-04:00,104.0,25,28,3,73,74,1
178,NIK,2026-07-19T08:16:05-04:00,T-253.917,T-258.917,2026-07-19T08:17:20-04:00,75.0,27,28,1,73,74,1
179,VRB,2026-07-19T08:17:20-04:00,T-252.667,T-257.667,2026-07-19T08:17:20-04:00,0.0,27,28,1,72,74,2
180,VRB,2026-07-19T08:17:20-04:00,T-252.667,T-257.667,2026-07-19T08:17:20-04:00,0.0,27,28,1,72,75,3
181,VRB,2026-07-19T08:17:20-04:00,T-252.667,T-257.667,2026-07-19T08:17:30-04:00,10.0,27,28,1,72,73,1
182,VRB,2026-07-19T08:17:30-04:00,T-252.500,T-257.500,2026-07-19T08:18:26-04:00,56.0,27,28,1,72,74,2
183,VRB,2026-07-19T08:18:26-04:00,T-251.567,T-256.567,2026-07-19T08:19:16-04:00,50.0,27,28,1,73,74,1
184,VRB,2026-07-19T08:19:16-04:00,T-250.733,T-255.733,2026-07-19T08:20:50-04:00,94.0,27,28,1,72,74,2
185,VRB,2026-07-19T08:20:50-04:00,T-249.167,T-254.167,2026-07-19T08:22:14-04:00,84.0,27,28,1,73,74,1
186,NIK,2026-07-19T08:22:14-04:00,T-247.767,T-252.767,2026-07-19T08:22:16-04:00,2.0,25,28,3,73,74,1
187,NIK,2026-07-19T08:22:16-04:00,T-247.733,T-252.733,2026-07-19T08:22:16-04:00,0.0,23,28,5,73,74,1
188,NIK,2026-07-19T08:22:16-04:00,T-247.733,T-252.733,2026-07-19T08:22:20-04:00,4.0,24,28,4,73,74,1
189,NIK,2026-07-19T08:22:20-04:00,T-247.667,T-252.667,2026-07-19T08:22:24-04:00,4.0,23,28,5,73,74,1
190,VRB,2026-07-19T08:22:24-04:00,T-247.600,T-252.600,2026-07-19T08:22:25-04:00,1.0,23,28,5,73,75,2
191,VRB,2026-07-19T08:22:25-04:00,T-247.583,T-252.583,2026-07-19T08:22:55-04:00,30.0,23,28,5,72,75,3
192,NIK,2026-07-19T08:22:55-04:00,T-247.083,T-252.083,2026-07-19T08:23:11-04:00,16.0,24,28,4,72,75,3
193,VRB,2026-07-19T08:23:11-04:00,T-246.817,T-251.817,2026-07-19T08:24:15-04:00,64.0,24,28,4,72,74,2
194,VRB,2026-07-19T08:24:15-04:00,T-245.750,T-250.750,2026-07-19T08:24:43-04:00,28.0,24,28,4,72,73,1
195,NIK,2026-07-19T08:24:43-04:00,T-245.283,T-250.283,2026-07-19T08:24:44-04:00,1.0,23,28,5,72,73,1
196,VRB,2026-07-19T08:24:44-04:00,T-245.267,T-250.267,2026-07-19T08:24:54-04:00,10.0,23,28,5,72,75,3
197,NIK,2026-07-19T08:24:54-04:00,T-245.100,T-250.100,2026-07-19T08:25:19-04:00,25.0,24,28,4,72,75,3
198,VRB,2026-07-19T08:25:19-04:00,T-244.683,T-249.683,2026-07-19T08:25:22-04:00,3.0,24,28,4,72,74,2
199,VRB,2026-07-19T08:25:22-04:00,T-244.633,T-249.633,2026-07-19T08:25:33-04:00,11.0,24,28,4,72,73,1
200,NIK,2026-07-19T08:25:33-04:00,T-244.450,T-249.450,2026-07-19T08:25:34-04:00,1.0,23,28,5,72,73,1
201,VRB,2026-07-19T08:25:34-04:00,T-244.433,T-249.433,2026-07-19T08:25:55-04:00,21.0,23,28,5,72,75,3
202,NIK,2026-07-19T08:25:55-04:00,T-244.083,T-249.083,2026-07-19T08:26:18-04:00,23.0,24,28,4,72,75,3
