episode_id,leg,side,peak_price_cents,peak_ts_et,peak_tminus_scheduled,peak_tminus_bell,trough_price_cents,trough_ts_et,trough_tminus_scheduled,trough_tminus_bell,resume_price_cents,resume_ts_et,resume_tminus_scheduled,resume_tminus_bell,depth_cents,seconds_peak_to_trough,seconds_at_trough_before_resume,seconds_peak_to_resume,full_recovery_ts_et,full_recovery_tminus_scheduled,full_recovery_tminus_bell
NIK_ask_0001,NIK,ask,92,2026-07-19T06:14:33-04:00,T-375.450,T-380.450,26,2026-07-19T07:51:21-04:00,T-278.650,T-283.650,28,2026-07-19T07:51:22-04:00,T-278.633,T-283.633,66,5808.0,1.0,5809.0,,,
VRB_ask_0001,VRB,ask,92,2026-07-19T06:14:33-04:00,T-375.450,T-380.450,74,2026-07-19T07:12:07-04:00,T-317.883,T-322.883,76,2026-07-19T07:12:08-04:00,T-317.867,T-322.867,18,3454.0,1.0,3455.0,,,
NIK_bid_0001,NIK,bid,29,2026-07-19T06:28:24-04:00,T-361.600,T-366.600,23,2026-07-19T07:07:33-04:00,T-322.450,T-327.450,28,2026-07-19T07:07:35-04:00,T-322.417,T-327.417,6,2349.0,2.0,2351.0,,,
NIK_bid_0002,NIK,bid,28,2026-07-19T07:07:35-04:00,T-322.417,T-327.417,23,2026-07-19T07:07:47-04:00,T-322.217,T-327.217,28,2026-07-19T07:07:48-04:00,T-322.200,T-327.200,5,12.0,1.0,13.0,2026-07-19T07:07:48-04:00,T-322.200,T-327.200
NIK_bid_0003,NIK,bid,28,2026-07-19T07:07:48-04:00,T-322.200,T-327.200,23,2026-07-19T07:51:20-04:00,T-278.667,T-283.667,24,2026-07-19T07:51:20-04:00,T-278.667,T-283.667,5,2612.0,0.0,2612.0,,,
VRB_ask_0002,VRB,ask,76,2026-07-19T07:12:08-04:00,T-317.867,T-322.867,68,2026-07-19T07:12:11-04:00,T-317.817,T-322.817,75,2026-07-19T07:12:23-04:00,T-317.617,T-322.617,8,3.0,12.0,15.0,2026-07-19T10:40:14-04:00,T-109.767,T-114.767
VRB_ask_0003,VRB,ask,75,2026-07-19T07:12:23-04:00,T-317.617,T-322.617,68,2026-07-19T07:15:22-04:00,T-314.633,T-319.633,75,2026-07-19T07:16:21-04:00,T-313.650,T-318.650,7,179.0,59.0,238.0,2026-07-19T07:16:21-04:00,T-313.650,T-318.650
VRB_bid_0001,VRB,bid,69,2026-07-19T07:13:37-04:00,T-316.383,T-321.383,67,2026-07-19T07:15:22-04:00,T-314.633,T-319.633,69,2026-07-19T07:17:13-04:00,T-312.783,T-317.783,2,105.0,111.0,216.0,2026-07-19T07:17:13-04:00,T-312.783,T-317.783
VRB_ask_0004,VRB,ask,75,2026-07-19T07:16:21-04:00,T-313.650,T-318.650,73,2026-07-19T07:17:07-04:00,T-312.883,T-317.883,75,2026-07-19T07:17:09-04:00,T-312.850,T-317.850,2,46.0,2.0,48.0,2026-07-19T07:17:09-04:00,T-312.850,T-317.850
VRB_ask_0005,VRB,ask,75,2026-07-19T07:17:09-04:00,T-312.850,T-317.850,74,2026-07-19T07:17:09-04:00,T-312.850,T-317.850,75,2026-07-19T07:18:21-04:00,T-311.650,T-316.650,1,0.0,72.0,72.0,2026-07-19T07:18:21-04:00,T-311.650,T-316.650
VRB_bid_0002,VRB,bid,69,2026-07-19T07:17:13-04:00,T-312.783,T-317.783,67,2026-07-19T07:20:44-04:00,T-309.267,T-314.267,69,2026-07-19T07:39:32-04:00,T-290.467,T-295.467,2,211.0,1128.0,1339.0,2026-07-19T07:39:32-04:00,T-290.467,T-295.467
VRB_ask_0006,VRB,ask,75,2026-07-19T07:18:21-04:00,T-311.650,T-316.650,74,2026-07-19T07:18:55-04:00,T-311.083,T-316.083,75,2026-07-19T07:19:25-04:00,T-310.583,T-315.583,1,34.0,30.0,64.0,2026-07-19T07:19:25-04:00,T-310.583,T-315.583
VRB_ask_0007,VRB,ask,75,2026-07-19T07:19:25-04:00,T-310.583,T-315.583,70,2026-07-19T07:20:22-04:00,T-309.633,T-314.633,75,2026-07-19T07:20:35-04:00,T-309.417,T-314.417,5,57.0,13.0,70.0,2026-07-19T07:20:35-04:00,T-309.417,T-314.417
VRB_ask_0008,VRB,ask,75,2026-07-19T07:20:35-04:00,T-309.417,T-314.417,68,2026-07-19T07:21:12-04:00,T-308.800,T-313.800,75,2026-07-19T07:21:20-04:00,T-308.667,T-313.667,7,37.0,8.0,45.0,2026-07-19T07:21:20-04:00,T-308.667,T-313.667
VRB_ask_0009,VRB,ask,75,2026-07-19T07:21:20-04:00,T-308.667,T-313.667,68,2026-07-19T07:22:12-04:00,T-307.800,T-312.800,75,2026-07-19T07:22:20-04:00,T-307.667,T-312.667,7,52.0,8.0,60.0,2026-07-19T07:22:20-04:00,T-307.667,T-312.667
