ts_epoch,exchange_ts,price_cents,size,trade_id,true_print,taker_side
1784150606,2026-07-15T21:23:26.911864Z,93,10.0,fc241174-008f-4651-4154-1e3efca5c426,True,yes
1784150606,2026-07-15T21:23:26.911864Z,94,6.32,cdce0169-c1dc-4405-4fbb-c3830e20ccc8,True,yes
1784150794,2026-07-15T21:26:34.649482Z,94,56.21,fc695630-fc54-4831-a106-acfb20ac1604,True,yes
1784150794,2026-07-15T21:26:34.649482Z,93,1.0,e6248749-9f19-4824-bd93-6373fde8b4ee,True,yes
1784150892,2026-07-15T21:28:12.090358Z,6,57.21,9ce4c803-dcc7-45e4-8a5b-36ec014a7f5a,True,no
1784151694,2026-07-15T21:41:34.155687Z,60,4.86,8750bff4-7250-7749-165a-cf32e3a8c653,True,yes
1784152128,2026-07-15T21:48:48.395595Z,58,0.83,fe0a3e9c-ddf7-7a48-f000-fb1f6c5d3088,True,yes
1784152606,2026-07-15T21:56:46.100942Z,11,15.32,e067420e-3994-4ca7-6de4-dfec83e753f4,True,no
1784152606,2026-07-15T21:56:46.100942Z,11,1.0,b56be557-555f-4357-65b6-68d6fa59437b,True,no
1784155801,2026-07-15T22:50:01.067608Z,46,4.0,e38a8605-66cd-6dc9-4e26-d2f3990985da,True,no
1784156255,2026-07-15T22:57:35.828072Z,46,5.0,650ca427-3e3f-62d9-815b-03b4b39d8cdd,True,no
1784156695,2026-07-15T23:04:55.069134Z,46,12.0,f02eb86f-d4e1-7b56-841d-e6daea7f9a5a,True,yes
1784156695,2026-07-15T23:04:55.069134Z,46,1.0,444123ab-0add-7a66-b467-1dc355dcd806,True,yes
1784156695,2026-07-15T23:04:55.069134Z,46,1.0,04f945ae-030c-7c5d-a6e7-19cb24bb72df,True,yes
1784158345,2026-07-15T23:32:25.408304Z,50,9.0,5acdccf5-fe7b-4fa7-7f91-8296b12f1325,True,yes
1784158579,2026-07-15T23:36:19.244304Z,50,59.0,a520e9b4-c70a-6f9f-e70b-4f5e0ed7ae35,True,yes
1784158579,2026-07-15T23:36:19.244304Z,51,15.0,8b6d9a3e-e380-61a5-cb1e-474621d29b2e,True,yes
1784158579,2026-07-15T23:36:19.244304Z,51,7.0,8b3739ab-c97b-6cb2-f8a1-ef053be9ea34,True,yes
1784158579,2026-07-15T23:36:19.244304Z,51,45.0,780102ee-ee62-6aaf-e533-cde5eedbe54b,True,yes
1784158579,2026-07-15T23:36:19.244304Z,51,64.67,3d83ac8b-1516-61f3-dc57-2681277ab94c,True,yes
1784158597,2026-07-15T23:36:37.805874Z,49,21.5,509e7c00-7492-7024-9576-cb09e738b395,True,no
1784158598,2026-07-15T23:36:38.161121Z,49,464.5,cd722903-00f6-4ccc-6671-682f77f51e79,True,no
1784158620,2026-07-15T23:37:00.155488Z,44,243.0,f8d3853d-3146-644a-d6de-b8502fa6d8ee,True,yes
1784158622,2026-07-15T23:37:02.506784Z,44,124.0,0b8cd5a2-15de-59e6-c144-93a993d929e2,True,yes
1784158624,2026-07-15T23:37:04.687597Z,44,62.0,dcf18890-2136-6dee-7a71-d69c50ca71ca,True,yes
1784158626,2026-07-15T23:37:06.963345Z,44,31.0,8b476845-b02a-4aee-59f4-d51f91f3c602,True,yes
1784158629,2026-07-15T23:37:09.361814Z,44,15.0,260dcc06-0252-649a-0721-bea5f0f9958a,True,yes
1784160384,2026-07-16T00:06:24.316320Z,43,60.0,92dab011-6b97-6acb-9084-349091807c16,True,yes
1784160384,2026-07-16T00:06:24.316320Z,43,125.0,28a674ef-bb81-6ed1-89c4-fac8c1654a82,True,yes
1784161584,2026-07-16T00:26:24.067765Z,43,2.0,382b6645-5929-4901-c23b-0ab910b1ea72,True,yes
1784162099,2026-07-16T00:34:59.650960Z,41,1.0,d465109f-0879-4eb4-4223-e87a839731a3,True,no
1784162099,2026-07-16T00:34:59.650960Z,41,11.0,08d1b517-e683-4568-7ee5-c79629b4a878,True,no
1784162100,2026-07-16T00:35:00.531212Z,40,5.0,d2c9bf1a-3cfa-7424-e6a6-e60d286db0ed,True,no
1784162100,2026-07-16T00:35:00.531212Z,40,1.0,a44080e5-204c-71e1-db78-68e042ee0795,True,no
1784163349,2026-07-16T00:55:49.707865Z,40,1.0,b4ad00db-a57a-7222-2e14-815393b777c9,True,yes
1784163349,2026-07-16T00:55:49.707865Z,43,85.0,8941982a-5fc5-7725-0431-3718bfde7892,True,yes
1784163349,2026-07-16T00:55:49.707865Z,43,57.0,0e442a77-79a9-78af-0d54-6f9496a680dc,True,yes
1784163359,2026-07-16T00:55:59.500190Z,43,1.0,702b16d2-09b9-562b-2991-82bbccf5428c,True,yes
1784163359,2026-07-16T00:55:59.500190Z,44,3.95,22cef054-c5f2-596a-14aa-c7d36a29985e,True,yes
1784163359,2026-07-16T00:55:59.430799Z,41,1.0,1eae385d-5db8-4872-0dd1-e668bc9ad314,True,yes
1784163495,2026-07-16T00:58:15.676843Z,44,206.64,b7e40031-9ea6-7757-fc47-67ba758f171d,True,yes
1784163495,2026-07-16T00:58:15.676843Z,44,12.05,09d9ae6a-1f4e-7e76-cd03-49c40b61e576,True,yes
1784163534,2026-07-16T00:58:54.884052Z,46,218.69,2eb9617f-8a8b-5eba-6cf8-22011416c832,True,no
1784163538,2026-07-16T00:58:58.660357Z,47,205.15,6bbf68b8-34f3-7885-64b3-a9d4a3e9b526,True,yes
1784165668,2026-07-16T01:34:28.411428Z,46,8.97,96be637c-2ad7-6b0e-e3bc-90af26bc2a6a,True,no
1784165851,2026-07-16T01:37:31.475635Z,44,1249.83,b949f39f-6c8c-485a-9d54-5a9fecfb95e5,True,no
1784165851,2026-07-16T01:37:31.475635Z,46,272.34,b8872ba6-93db-4ade-8a57-b1044089cc3e,True,no
1784165851,2026-07-16T01:37:31.475635Z,45,14.0,6093ff3c-bf03-47ba-955b-538b3db17f78,True,no
1784165851,2026-07-16T01:37:31.475635Z,46,1.0,55bbfca0-ed85-44db-826a-6533a0fd390c,True,no
1784165851,2026-07-16T01:37:31.475635Z,44,195.0,3e872921-1d05-481e-b216-8fa4a5d5b9cb,True,no
1784165851,2026-07-16T01:37:31.475635Z,45,10.0,07a456cf-60af-4108-aaca-54b8cf0ba34d,True,no
1784165857,2026-07-16T01:37:37.237683Z,44,1090.17,8b715aeb-4bdc-627e-b708-4172dc889675,True,no
1784165857,2026-07-16T01:37:37.237683Z,44,623.59,686f39fa-6439-6c46-beb2-d014799f1257,True,no
1784165867,2026-07-16T01:37:47.437440Z,44,1105.94,f0d56bb8-bf00-757f-6810-594df45d5046,True,no
1784165867,2026-07-16T01:37:47.437440Z,44,625.41,3262ce66-3229-7492-5736-649a99e48deb,True,no
1784165867,2026-07-16T01:37:47.437440Z,44,1.0,17af30f2-19b1-7f9c-732b-78cfce60acc7,True,no
1784165880,2026-07-16T01:38:00.215217Z,44,265.0,f49b71bb-0fdc-4b49-b5e4-7f677f080f8a,True,no
1784165880,2026-07-16T01:38:00.215217Z,44,343.06,f2004115-e9b4-442b-8098-72efaf130f46,True,no
1784165880,2026-07-16T01:38:00.215217Z,42,500.88,de57607a-5399-41fe-8a5f-1b7c07c6e840,True,no
1784165880,2026-07-16T01:38:00.215217Z,42,183.8,ce73f0d9-3e58-470f-bfb4-4d162f373992,True,no
1784165880,2026-07-16T01:38:00.215217Z,42,243.0,7ac17b21-37bd-4847-9824-c1d4b3e7a744,True,no
1784165880,2026-07-16T01:38:00.215217Z,43,161.0,7a78c9d6-d4d2-410c-b62e-515f4b033357,True,no
1784165880,2026-07-16T01:38:00.215217Z,43,1.0,4201bf07-6509-418a-9edf-292ec9146ccc,True,no
1784165955,2026-07-16T01:39:15.989657Z,45,5.0,ccd07cf1-953b-4c6b-36b9-d73334789992,True,yes
1784165955,2026-07-16T01:39:15.989657Z,44,1.0,2ccac164-af87-449d-0aad-09f06c8d9c8b,True,yes
1784166284,2026-07-16T01:44:44.710109Z,42,500.0,8fa8e7f3-ce96-6eb8-654a-c1395f89cf23,True,no
1784166876,2026-07-16T01:54:36.026898Z,41,23.41,bbe70bf8-c582-7568-dbeb-c37f658f81e2,True,yes
1784166881,2026-07-16T01:54:41.943566Z,41,234.22,31a99703-e3be-4dac-b335-46ee570e2ca6,True,yes
1784166896,2026-07-16T01:54:56.346232Z,41,49.18,565a75f7-ca52-6537-6f7a-a3a59a8eae63,True,yes
1784166911,2026-07-16T01:55:11.206694Z,42,67.65,fcba4abe-a481-6df0-566d-08d2add2e985,True,yes
1784166911,2026-07-16T01:55:11.206694Z,41,1.0,96b043a0-accd-6f2b-54b4-003db9a99496,True,yes
1784166946,2026-07-16T01:55:46.692677Z,42,114.4,831a86c1-6f01-64d0-341c-5c24211e601d,True,yes
1784166985,2026-07-16T01:56:25.037022Z,42,45.76,ac12b9b7-fb75-534c-e30c-07bd95d985e9,True,yes
1784168251,2026-07-16T02:17:31.480637Z,41,5.0,8f876d28-c40e-4c28-e407-ff529df87ce4,True,yes
1784168361,2026-07-16T02:19:21.068329Z,41,11.71,a7d46544-7f02-57dc-91e3-45b034e9313c,True,yes
1784168997,2026-07-16T02:29:57.729599Z,41,2.34,b5420f8f-bcbe-7030-a44d-3a9177e821d8,True,yes
1784170792,2026-07-16T02:59:52.001094Z,41,23.0,81864f2f-69fe-49b0-a422-319abad509cc,True,yes
1784171277,2026-07-16T03:07:57.562694Z,40,4.05,43482f85-3978-4407-714f-e3198fa7e3ff,True,no
1784171299,2026-07-16T03:08:19.556923Z,41,110.08,82151505-e456-4398-eefb-6d2687f71638,True,yes
1784171777,2026-07-16T03:16:17.933969Z,41,175.0,bbdc55a5-5112-4c14-8dec-65311f65cbb8,True,yes
1784172349,2026-07-16T03:25:49.272580Z,41,45.0,92b411db-cb79-4bae-5f70-50935f1ebdf9,True,yes
1784172349,2026-07-16T03:25:49.272580Z,41,1.0,468c772e-2421-4c06-4c4d-03835fc939f3,True,yes
1784172380,2026-07-16T03:26:20.413703Z,42,4.57,a858b25e-58d1-5b2c-c219-d67fc61b6729,True,yes
1784172834,2026-07-16T03:33:54.307292Z,42,22.88,88ce6efe-9e19-78f0-273d-997986a2ea19,True,yes
1784173642,2026-07-16T03:47:22.752482Z,41,2.34,e196d3f2-a38a-6ce3-71cc-f565941d8e60,True,yes
1784174362,2026-07-16T03:59:22.911568Z,41,14.05,6f843f95-f532-5e33-b2f6-38166d3b070c,True,yes
1784174922,2026-07-16T04:08:42.512190Z,39,1.0,dc1389cb-10cf-5a17-bc2a-ae791b3f1108,True,no
1784174922,2026-07-16T04:08:42.512190Z,39,9.0,d5f7c35c-cb8a-5415-b2ea-ce0c074cb15e,True,no
1784174922,2026-07-16T04:08:42.512190Z,39,258.0,43711ea3-7a70-5497-8b34-5a55af18b325,True,no
1784174922,2026-07-16T04:08:42.512190Z,39,9.0,28a1fe47-664d-5778-a5e0-0b1b91901f62,True,no
1784174961,2026-07-16T04:09:21.797136Z,40,47.98,a962831f-d496-50e6-9753-99a38bfbffca,True,yes
1784175435,2026-07-16T04:17:15.778461Z,40,2.39,41b75fbf-bdd2-4fd2-dd36-2067e9a01e66,True,yes
1784175472,2026-07-16T04:17:52.628725Z,40,23.0,d9f6e644-3fee-4ac2-0085-dc9a25f3c4fa,True,yes
1784175736,2026-07-16T04:22:16.420253Z,40,35.98,7fa0b148-64ee-685e-e4f5-45b9101c113e,True,yes
1784175856,2026-07-16T04:24:16.027885Z,40,62.38,9fec808f-c5a2-4c56-7091-21130144536e,True,yes
1784175884,2026-07-16T04:24:44.322761Z,40,23.0,da5cd8da-514a-7a72-8c1d-3a7643b41dfa,True,yes
1784175940,2026-07-16T04:25:40.419271Z,40,50.0,da9eb471-90da-7096-71da-166bd165bac2,True,yes
1784175991,2026-07-16T04:26:31.874894Z,40,2.0,4b2d729e-a246-566a-a90f-4491615aa2ea,True,yes
1784176509,2026-07-16T04:35:09.029614Z,39,31.91,65e29a57-aba1-6772-3442-2db5e29eb1b5,True,no
1784176533,2026-07-16T04:35:33.863580Z,40,23.99,896a0513-9c5a-678a-d488-44093e6af7ea,True,yes
1784176575,2026-07-16T04:36:15.607173Z,39,300.0,cb4d7459-4185-5ae2-55ef-6b2d98f36f09,True,no
1784176584,2026-07-16T04:36:24.118822Z,39,28.09,52ab2a98-89b9-69b6-2806-9d1592ea4e05,True,no
1784176730,2026-07-16T04:38:50.903145Z,40,11.99,a7dddecd-2296-65fa-0161-a1288385de92,True,yes
1784176796,2026-07-16T04:39:56.901597Z,40,23.99,51bf73cd-d2b6-4d6a-c5a7-523f01bbf5f6,True,yes
1784177186,2026-07-16T04:46:26.938467Z,40,0.28,91d526ad-cf9a-4a22-eef3-c6d8f63e49b2,True,yes
1784177385,2026-07-16T04:49:45.738154Z,40,83.97,6b0d05a6-036e-7fd6-5278-58bf6f67057a,True,yes
1784177683,2026-07-16T04:54:43.440369Z,40,0.02,42805896-bc5e-64ca-4b6e-17ffe113af2a,True,yes
1784177703,2026-07-16T04:55:03.641027Z,39,100.0,7395b9af-3f5b-55d8-1abb-628c3a28b21e,True,no
1784177719,2026-07-16T04:55:19.537910Z,39,100.0,31bd6c9a-0b27-40b4-1363-d62e7e00cd8a,True,no
1784178197,2026-07-16T05:03:17.405243Z,40,4.79,1afeb67a-bcee-56a2-0770-c5a27381e322,True,yes
1784178376,2026-07-16T05:06:16.373374Z,40,144.24,dbc22994-9066-5cd6-6256-8b98a734ff82,True,yes
1784178376,2026-07-16T05:06:16.373374Z,40,15.76,2abe9cfb-51ad-5e1c-5315-e33469d64b9e,True,yes
1784178453,2026-07-16T05:07:33.694025Z,40,43.0,b7286873-8901-5a78-b92f-d23e4daff166,True,yes
1784178453,2026-07-16T05:07:33.694025Z,40,9.0,a6a8246b-d93d-5e1e-9645-5fa82ce4e399,True,yes
1784179702,2026-07-16T05:28:22.845816Z,40,23.99,20b2b893-ee4d-419e-6b03-4cb6d3787041,True,yes
1784179767,2026-07-16T05:29:27.084375Z,39,28.72,5185f9c2-d147-6be0-f5c7-b0aa8c2894da,True,no
1784179889,2026-07-16T05:31:29.302638Z,40,3.79,a2f7d227-7bf9-5516-3ac8-cb1ecdfee085,True,yes
1784179905,2026-07-16T05:31:45.025373Z,40,4.37,cc16183b-4509-5d06-c9fc-87031ec76946,True,yes
1784179905,2026-07-16T05:31:45.025373Z,40,5.22,6e4ad92e-69d1-5262-d6e4-3a059aae3f85,True,yes
1784180351,2026-07-16T05:39:11.078575Z,40,12.0,5fe5e746-e97d-6042-4944-6a628d718c22,True,yes
1784180587,2026-07-16T05:43:07.135633Z,40,11.99,7da4a9f9-0d4d-450a-3401-ed247e3c5bd2,True,yes
1784180943,2026-07-16T05:49:03.812794Z,40,2.39,a0c8a157-02a5-5d6e-6955-e1ecf4b6049a,True,yes
1784181265,2026-07-16T05:54:25.653598Z,40,370.68,91083b3b-43d9-7cba-0737-bed506840c22,True,yes
1784181970,2026-07-16T06:06:10.419177Z,39,159.57,5e742fee-4537-7f44-c094-3397101ad8de,True,no
1784182973,2026-07-16T06:22:53.165363Z,40,11.99,6e7c60a2-2cbc-792b-2ab9-8a66b2f71791,True,yes
1784183232,2026-07-16T06:27:12.960641Z,40,2.39,9872903d-1210-5623-1a40-10bdc19a6ed9,True,yes
1784184302,2026-07-16T06:45:02.233250Z,40,2.39,ae6b90bf-94c4-6b0f-fe32-2bc545c4ed1d,True,yes
1784192452,2026-07-16T09:00:52.786651Z,40,39.0,5508d248-6e88-6bc6-e623-8519ba72557e,True,no
1784192461,2026-07-16T09:01:01.548078Z,39,280.0,50fc9f66-84bc-6041-e649-af67e8def29a,True,no
1784192461,2026-07-16T09:01:01.548078Z,39,12.0,09efe331-5077-60bc-c1b6-e4af54519b59,True,no
1784194163,2026-07-16T09:29:23.914020Z,40,11.0,2eb90b7a-cedb-60b8-64fe-cbd9316f5af1,True,yes
1784194163,2026-07-16T09:29:23.914020Z,40,12.99,2b9e78fb-58c9-6dbe-79ea-fc1f78c21dad,True,yes
1784194920,2026-07-16T09:42:00.669950Z,40,223.91,dd378236-20c8-5d00-3444-0c61fec4d98e,True,yes
1784194920,2026-07-16T09:42:00.669950Z,40,16.01,b5c25efb-d521-5436-0e70-33b01d7b1b85,True,yes
1784195140,2026-07-16T09:45:40.612174Z,40,11.99,4824f6a8-f408-6ab0-474c-00f7981316ba,True,yes
1784196021,2026-07-16T10:00:21.506185Z,40,15.0,8dae5d28-2d3c-4a60-687d-0dcaa27d0a5a,True,yes
1784196237,2026-07-16T10:03:57.479030Z,40,7.19,c2a32ea7-58d8-757c-c78a-1c3410f600da,True,yes
1784198359,2026-07-16T10:39:19.337918Z,40,119.96,57481680-7e98-55b4-866c-21aea84c9f42,True,yes
1784198447,2026-07-16T10:40:47.079741Z,40,10.0,b8544823-eaed-70e2-bd73-47dc24a6db1f,True,yes
1784198447,2026-07-16T10:40:47.079741Z,40,34.0,792becd1-4096-7d0e-96ec-83f292f9c931,True,yes
1784198447,2026-07-16T10:40:47.079741Z,40,199.0,5f6fad90-c486-7025-b9b8-5daa0aebc0e8,True,yes
1784198447,2026-07-16T10:40:47.079741Z,40,1.0,5f2f06e6-cf6f-7e48-a852-f5143f1526d3,True,yes
1784198447,2026-07-16T10:40:47.079741Z,40,114.0,580e98fb-228e-71b0-8ceb-d3e7d9a7a5de,True,yes
1784198447,2026-07-16T10:40:47.079741Z,40,97.95,4500cf9e-e884-7784-b293-da6587fa6992,True,yes
1784198447,2026-07-16T10:40:47.079741Z,40,24.0,35bfb168-3331-7aad-81fc-fc21bddeadad,True,yes
1784199499,2026-07-16T10:58:19.270247Z,41,117.11,d08bc6b8-f685-75bd-7778-4116b6e767a6,True,yes
1784199590,2026-07-16T10:59:50.541342Z,41,23.42,a424bf02-df09-7539-ee7c-498a21f52312,True,yes
1784199860,2026-07-16T11:04:20.801652Z,41,5.0,2b0eb8d3-f8e1-5201-c92f-5f5602bce122,True,yes
1784200163,2026-07-16T11:09:23.546759Z,41,11.71,2973773a-56a9-5db1-398d-e21810544a3e,True,yes
1784200311,2026-07-16T11:11:51.716329Z,41,5.85,9ee0fbc8-7989-79bd-bb8a-3340b58017a2,True,yes
1784200350,2026-07-16T11:12:30.757844Z,39,171.27,eb7b5956-711c-532b-8fe7-61bd6e2503dd,True,no
1784200350,2026-07-16T11:12:30.757844Z,40,39.0,9deeb74f-78ae-5977-a540-d91783f68289,True,no
1784200350,2026-07-16T11:12:30.757844Z,40,20.0,84b35de8-f946-5953-8788-b7c8bbd90d7c,True,no
1784200350,2026-07-16T11:12:30.757844Z,40,1.0,6f56d362-4e73-5633-be2e-8fc09bf90a59,True,no
