ts_epoch,t_minus_bell_min,spread,bid_dwell_s,ask_dwell_s,book_changes_30min,trades_60min,median_size_60min,midsum_abs_dev
1784148754,1207.4,88,0,0,1,0,,0.0
1784148814,1206.4,88,60,60,1,0,,0.0
1784148874,1205.4,87,120,11,2,0,,1.0
1784148934,1204.4,87,180,71,2,0,,1.0
1784148994,1203.4,87,240,131,3,0,,1.0
1784149054,1202.4,87,300,191,3,0,,1.0
1784149114,1201.4,87,360,251,3,0,,1.0
1784149174,1200.4,87,420,311,3,0,,1.0
1784149234,1199.4,87,480,371,3,0,,1.0
1784149294,1198.4,87,540,431,3,0,,1.0
1784149354,1197.4,87,600,491,3,0,,1.0
1784149414,1196.4,87,660,551,3,0,,1.0
1784149474,1195.4,87,720,611,3,0,,1.0
1784149534,1194.4,87,780,671,3,0,,1.0
1784149594,1193.4,87,840,731,3,0,,1.0
1784149654,1192.4,87,900,791,3,0,,1.0
1784149714,1191.4,87,960,851,3,0,,1.0
1784149774,1190.4,87,1020,911,3,0,,1.0
1784149834,1189.4,87,1080,971,3,0,,1.0
1784149894,1188.4,87,1140,1031,3,0,,1.0
1784149954,1187.4,87,1200,1091,3,0,,1.0
1784150014,1186.4,87,1260,1151,3,0,,1.0
1784150074,1185.4,87,1320,1211,3,0,,1.0
1784150134,1184.4,87,1380,1271,3,0,,1.0
1784150194,1183.4,87,1440,1331,3,0,,0.5
1784150254,1182.4,87,1500,1391,3,0,,0.5
1784150314,1181.4,87,1560,1451,3,0,,0.5
1784150374,1180.4,87,1620,1511,3,0,,0.5
1784150434,1179.4,87,1680,1571,3,0,,0.5
1784150494,1178.4,87,1740,1631,3,0,,0.5
1784150554,1177.4,87,1800,1691,3,0,,0.5
1784150614,1176.4,88,1860,3,4,2,8.16,0.5
1784150674,1175.4,87,1920,29,4,2,8.16,0.0
1784150734,1174.4,87,1980,89,4,2,8.16,0.5
1784150794,1173.4,87,2040,149,3,4,8.16,1.0
1784150854,1172.4,87,2100,22,38,4,8.16,1.5
1784150914,1171.4,86,2160,22,40,5,10.0,1.0
1784150974,1170.4,88,2220,0,192,5,10.0,2.0
1784151034,1169.4,88,2280,0,359,5,10.0,2.0
1784151094,1168.4,86,2340,0,535,5,10.0,1.0
1784151154,1167.4,88,2400,0,717,5,10.0,2.0
1784151214,1166.4,88,2460,0,911,5,10.0,2.0
1784151274,1165.4,88,2520,0,1102,5,10.0,2.0
1784151334,1164.4,86,2580,0,1280,5,10.0,1.0
1784151394,1163.4,88,2640,0,1472,5,10.0,2.0
1784151454,1162.4,88,2700,0,1641,5,10.0,2.0
1784151514,1161.4,86,2760,0,1857,5,10.0,1.0
1784151574,1160.4,86,2820,0,1981,5,10.0,1.0
1784151634,1159.4,88,2880,0,2077,5,10.0,2.0
1784151694,1158.4,52,5,11,2170,6,8.16,0.0
1784151754,1157.4,50,11,8,2177,6,8.16,0.5
1784151814,1156.4,48,55,58,2184,6,8.16,0.5
1784151874,1155.4,48,115,118,2184,6,8.16,1.0
1784151934,1154.4,47,0,178,2186,6,8.16,1.5
1784151994,1153.4,47,60,238,2188,6,8.16,1.5
1784152054,1152.4,47,120,298,2188,6,8.16,1.5
1784152114,1151.4,47,180,358,2188,6,8.16,1.5
1784152174,1150.4,45,240,35,2192,7,6.32,3.5
1784152234,1149.4,45,300,95,2192,7,6.32,3.5
1784152294,1148.4,45,360,155,2192,7,6.32,3.5
1784152354,1147.4,45,420,215,2192,7,6.32,3.5
1784152414,1146.4,45,480,275,2190,7,6.32,3.5
1784152474,1145.4,45,540,335,2189,7,6.32,3.5
1784152534,1144.4,45,600,395,2189,7,6.32,3.5
1784152594,1143.4,45,660,455,2189,7,6.32,3.5
1784152654,1142.4,45,720,515,2161,9,6.32,3.5
1784152714,1141.4,46,39,575,2160,9,6.32,2.0
1784152774,1140.4,46,99,635,2014,9,6.32,2.0
1784152834,1139.4,46,159,695,1847,9,6.32,2.0
1784152894,1138.4,46,219,755,1667,9,6.32,2.0
1784152954,1137.4,46,279,815,1487,9,6.32,2.0
1784153014,1136.4,46,339,875,1293,9,6.32,2.0
1784153074,1135.4,46,399,935,1102,9,6.32,2.0
1784153134,1134.4,46,459,995,923,9,6.32,2.0
1784153194,1133.4,46,519,1055,735,9,6.32,2.0
1784153254,1132.4,46,579,1115,565,9,6.32,2.0
1784153314,1131.4,46,639,1175,346,9,6.32,2.0
1784153374,1130.4,46,699,1235,222,9,6.32,2.0
1784153434,1129.4,46,759,1295,126,9,6.32,2.0
1784153494,1128.4,46,819,1355,31,9,6.32,2.0
1784153554,1127.4,42,879,52,31,9,6.32,0.0
1784153614,1126.4,42,939,112,25,9,6.32,0.0
1784153674,1125.4,39,30,172,30,9,6.32,1.5
1784153734,1124.4,4,55,17,40,9,6.32,2.5
