c,D,time_bin_min_before_start,match_N,reach_dip_by_time_raw
5,3,240,39,0.0
5,3,180,39,0.05128205128205128
5,3,120,39,0.05128205128205128
5,3,90,39,0.05128205128205128
5,3,60,39,0.10256410256410256
5,3,40,39,0.20512820512820512
5,3,30,39,0.20512820512820512
5,3,20,39,0.23076923076923078
5,3,10,39,0.23076923076923078
5,3,5,39,0.23076923076923078
5,3,2,39,0.2564102564102564
5,3,1,39,0.28205128205128205
5,5,240,39,0.0
5,5,180,39,0.0
5,5,120,39,0.0
5,5,90,39,0.0
5,5,60,39,0.0
5,5,40,39,0.0
5,5,30,39,0.0
5,5,20,39,0.0
5,5,10,39,0.0
5,5,5,39,0.0
5,5,2,39,0.0
5,5,1,39,0.0
6,3,240,36,0.0
6,3,180,36,0.05555555555555555
6,3,120,36,0.05555555555555555
6,3,90,36,0.05555555555555555
6,3,60,36,0.05555555555555555
6,3,40,36,0.08333333333333333
6,3,30,36,0.1388888888888889
6,3,20,36,0.19444444444444445
6,3,10,36,0.25
6,3,5,36,0.2777777777777778
6,3,2,36,0.3055555555555556
6,3,1,36,0.3055555555555556
6,5,240,36,0.0
6,5,180,36,0.0
6,5,120,36,0.0
6,5,90,36,0.0
6,5,60,36,0.0
6,5,40,36,0.0
6,5,30,36,0.0
6,5,20,36,0.0
6,5,10,36,0.0
6,5,5,36,0.027777777777777776
6,5,2,36,0.027777777777777776
6,5,1,36,0.027777777777777776
7,3,240,41,0.0
7,3,180,41,0.04878048780487805
7,3,120,41,0.12195121951219512
7,3,90,41,0.14634146341463414
7,3,60,41,0.17073170731707318
7,3,40,41,0.21951219512195122
7,3,30,41,0.21951219512195122
7,3,20,41,0.21951219512195122
7,3,10,41,0.21951219512195122
7,3,5,41,0.21951219512195122
7,3,2,41,0.2682926829268293
7,3,1,41,0.2926829268292683
7,5,240,41,0.0
7,5,180,41,0.0
7,5,120,41,0.024390243902439025
7,5,90,41,0.024390243902439025
7,5,60,41,0.024390243902439025
7,5,40,41,0.04878048780487805
7,5,30,41,0.04878048780487805
7,5,20,41,0.04878048780487805
7,5,10,41,0.04878048780487805
7,5,5,41,0.04878048780487805
7,5,2,41,0.04878048780487805
7,5,1,41,0.04878048780487805
8,3,240,50,0.02
8,3,180,50,0.06
8,3,120,50,0.1
8,3,90,50,0.12
8,3,60,50,0.12
8,3,40,50,0.14
8,3,30,50,0.18
8,3,20,50,0.24
8,3,10,50,0.24
8,3,5,50,0.3
8,3,2,50,0.3
8,3,1,50,0.3
8,5,240,50,0.0
8,5,180,50,0.02
8,5,120,50,0.02
8,5,90,50,0.02
8,5,60,50,0.02
8,5,40,50,0.02
8,5,30,50,0.02
8,5,20,50,0.02
8,5,10,50,0.04
8,5,5,50,0.04
8,5,2,50,0.04
8,5,1,50,0.04
8,8,240,50,0.0
8,8,180,50,0.0
