c,tbin,dbucket,occ_N,fill_reach,deepen_frac,extra_dip,mean_vol,present_N,occupancy,match_N,fill_reach_pooled,occupancy_pooled,pooled_N
5,2,0,2,0.0,0.0,,0.0,2,1.0,2,0.2391124411053101,0.8209876192295332,94.8
5,3,0,5,0.4,0.2,0.5,4708.2,7,0.7142857142857143,5,0.5326119596168781,0.6103124884434749,94.8
5,3,3,1,1.0,1.0,3.0,0.0,7,0.14285714285714285,1,1.0,0.14285714285714285,94.8
5,3,5,1,1.0,1.0,5.0,0.0,7,0.14285714285714285,1,1.0,0.14285714285714285,94.8
5,5,-1,1,1.0,0.0,0.0,0.0,5,0.2,1,1.0,0.1531470276339592,94.8
5,5,0,2,0.5,0.5,1.0,0.0,5,0.4,2,0.7089626365789675,0.4192585895117541,94.8
5,5,1,2,1.0,1.0,1.5,0.0,5,0.4,2,1.0,0.2972067460983387,94.8
5,5,2,1,1.0,1.0,2.0,0.0,5,0.2,1,1.0,0.1831475382842088,94.8
5,7,-1,1,1.0,0.0,0.0,0.0,9,0.1111111111111111,1,0.8083911370720887,0.1751947853382884,94.8
5,7,0,3,0.5,0.5,1.5,7516.0,9,0.3333333333333333,3,0.6908046380474335,0.47026155644218753,94.8
5,7,1,3,1.0,1.0,1.6666666666666667,7656.0,9,0.3333333333333333,3,1.0,0.27025375012189234,94.8
5,7,2,2,1.0,1.0,2.5,0.0,9,0.2222222222222222,2,1.0,0.19834224540454243,94.8
5,7,3,1,1.0,1.0,3.0,0.0,9,0.1111111111111111,1,1.0,0.1111111111111111,94.8
5,7,5,1,1.0,1.0,6.0,0.0,9,0.1111111111111111,1,1.0,0.1111111111111111,94.8
5,7,6,1,1.0,1.0,6.0,0.0,9,0.1111111111111111,1,1.0,0.1795141708522562,94.8
5,10,-1,1,1.0,1.0,1.0,0.0,9,0.1111111111111111,1,0.7031179620639608,0.33171930000166827,94.8
5,10,0,4,0.75,0.75,1.0,5590.75,9,0.4444444444444444,4,0.7249464913621773,0.5021865285634205,94.8
5,10,1,2,1.0,1.0,1.5,0.0,9,0.2222222222222222,2,1.0,0.20443220759339414,94.8
