c,seg1_mean_dc,seg1_std,seg1_event_N,seg2_mean_dc,seg2_std,seg2_event_N,pooled_event_N
5,0.83,5.98,65,0.89,3.69,65,67
6,1.05,5.96,86,0.48,3.66,86,89
7,0.88,5.67,101,0.56,4.05,100,104
8,0.87,5.65,122,0.6,3.84,121,125
9,1.36,6.71,127,0.36,4.77,126,130
10,0.97,6.0,117,0.34,4.79,116,120
11,0.57,6.34,112,0.39,4.96,111,115
12,0.32,6.65,119,0.45,5.07,118,122
13,-0.22,6.59,124,1.03,5.76,123,126
14,0.11,7.64,133,0.8,5.92,133,135
15,0.06,7.73,139,0.98,6.34,138,141
16,0.09,9.99,151,1.04,6.9,150,152
17,-0.05,9.27,184,0.61,6.86,183,187
18,0.01,9.26,199,0.8,7.57,198,203
19,0.28,9.22,210,0.67,7.99,209,213
20,-0.15,9.16,226,0.43,7.54,225,229
21,-0.3,8.74,231,0.58,7.5,230,234
22,-0.43,8.29,251,0.29,7.46,251,255
23,-0.65,7.04,256,0.5,7.28,256,260
24,-0.79,7.99,276,1.17,7.9,276,278
25,-0.47,8.43,299,1.0,7.69,299,300
26,-0.28,8.54,326,1.03,7.45,326,327
27,0.15,8.79,345,1.3,8.19,345,346
28,0.01,8.87,376,1.53,8.95,375,378
29,0.2,9.31,379,1.57,9.18,378,380
30,0.11,9.68,402,1.2,9.31,400,404
31,0.19,9.38,398,1.14,9.63,395,403
32,0.25,10.23,404,1.37,9.97,401,409
33,-0.23,10.24,417,1.72,10.35,414,424
34,-0.33,10.41,428,1.42,9.99,425,435
35,-0.49,10.63,449,0.63,9.9,447,458
36,-0.47,10.72,468,0.77,9.84,465,479
37,-0.88,10.68,495,1.04,9.82,493,507
38,-0.61,11.12,511,0.69,9.96,510,520
39,-0.76,10.66,519,0.48,9.84,517,531
40,-0.29,11.26,520,0.03,9.82,517,533
41,-0.25,11.74,520,0.02,9.9,517,535
42,0.21,12.01,519,0.14,9.84,516,532
43,0.14,11.91,509,0.11,9.99,507,522
44,0.6,12.16,488,0.08,10.1,486,501
45,0.62,12.11,485,-0.02,9.48,483,499
46,0.89,12.17,467,-0.19,9.49,466,479
47,0.89,12.21,433,-0.06,9.31,432,444
48,0.93,11.6,378,-0.08,8.93,377,387
49,0.66,10.72,300,0.4,7.59,299,309
50,0.63,9.51,248,-0.04,6.67,247,255
51,0.61,6.46,224,-0.68,6.31,222,229
52,0.39,9.76,287,-0.17,7.59,285,293
53,-0.2,10.74,349,0.0,8.74,347,356
54,0.09,11.79,435,-0.06,9.19,433,441
55,0.13,12.46,475,0.09,9.01,472,481
56,0.29,12.11,500,-0.0,8.94,497,507
57,0.33,12.2,513,0.39,9.1,510,521
58,0.49,12.23,543,0.41,9.81,541,553
59,0.74,11.94,545,0.36,9.51,543,555
60,1.12,11.67,561,0.5,9.21,559,572
61,0.99,11.53,553,0.49,9.16,551,565
62,1.21,10.89,557,0.17,9.28,556,572
63,1.23,11.54,533,0.04,9.09,532,547
64,1.29,11.12,536,-0.35,9.45,534,549
65,1.48,10.55,509,-0.35,8.73,507,523
66,1.09,10.57,482,-0.47,8.58,479,495
67,0.91,10.5,466,-0.82,8.89,463,479
68,0.83,10.16,443,-1.32,9.44,440,454
69,0.88,10.32,426,-1.13,9.22,423,434
70,0.85,9.42,424,-0.99,9.37,422,431
71,0.88,9.23,407,-1.06,8.92,406,414
72,0.54,9.12,406,-1.2,8.78,404,409
73,0.92,8.77,391,-1.27,8.86,390,394
74,1.04,8.35,373,-1.22,8.55,372,375
75,1.21,7.96,352,-0.76,7.7,351,355
76,1.09,7.47,320,-0.82,7.66,319,323
77,1.2,7.78,295,-0.79,7.45,294,298
78,1.32,7.05,282,-0.56,7.2,281,285
79,1.71,6.56,253,-0.68,7.42,253,256
80,1.56,6.0,242,-0.64,8.02,242,245
81,1.32,6.72,223,-0.71,8.46,223,226
82,0.79,6.99,209,-0.77,8.42,209,212
83,0.78,7.18,200,-0.84,8.39,200,203
84,0.59,7.0,190,-1.18,8.21,190,193
85,0.42,7.3,160,-1.35,8.12,160,163
86,-0.24,8.69,148,-1.01,7.64,148,152
87,-0.44,8.7,138,-0.96,6.08,138,142
88,-0.41,8.25,126,-1.11,5.1,126,129
89,-0.35,8.01,121,-0.87,4.32,121,124
90,-0.73,7.77,118,-0.78,4.22,118,121
91,-1.34,8.18,115,-0.29,5.0,115,118
92,-1.7,8.52,100,-0.15,5.25,100,102
93,-1.28,6.47,87,0.11,5.19,87,88
94,-1.66,7.24,65,0.37,5.63,65,66
