c,n,med_dip,off_reach50,off_reach60,current_offset,cur_fill_pred,new_fill_pred
5,35,2.0,2,2,2,0.8,0.8
6,43,2.0,2,2,2,0.791,0.791
7,49,3.0,3,2,2,0.776,0.776
8,56,3.0,3,2,2,0.786,0.786
9,62,3.0,3,2,2,0.79,0.79
10,55,3.0,3,3,2,0.8,0.636
11,55,4.0,4,3,2,0.782,0.673
12,54,3.0,3,3,2,0.759,0.611
13,48,3.0,3,3,2,0.75,0.604
14,53,3.0,3,3,2,0.755,0.604
15,53,4.0,4,3,3,0.623,0.623
16,45,4.0,4,3,3,0.644,0.644
17,49,4.0,4,3,3,0.653,0.653
18,52,3.0,3,2,3,0.577,0.788
19,52,3.5,4,2,3,0.596,0.769
20,55,4.0,4,3,3,0.618,0.618
21,55,4.0,4,3,3,0.655,0.655
22,60,4.0,4,3,3,0.683,0.683
23,67,4.0,4,3,3,0.701,0.701
24,63,4.0,4,4,3,0.746,0.635
25,59,4.0,4,4,10,0.288,0.661
26,65,5.0,5,4,10,0.338,0.692
27,70,5.0,5,4,10,0.343,0.714
28,69,5.0,5,4,10,0.319,0.71
29,66,4.5,4,4,10,0.303,0.682
30,72,4.5,4,4,10,0.278,0.639
31,75,4.0,4,4,10,0.307,0.613
32,85,5.0,5,4,10,0.318,0.682
33,85,5.0,5,4,10,0.282,0.682
34,85,5.0,5,4,10,0.294,0.682
35,83,5.0,5,4,2,0.916,0.651
36,87,5.0,5,4,2,0.908,0.678
37,81,5.0,5,4,2,0.901,0.704
38,84,5.0,5,4,2,0.893,0.702
39,74,5.0,5,4,2,0.865,0.649
40,69,5.0,5,4,2,0.899,0.652
41,72,5.0,5,4,2,0.889,0.625
42,76,5.0,5,4,2,0.882,0.658
43,73,5.0,5,4,2,0.863,0.658
44,69,6.0,6,4,2,0.855,0.667
45,68,5.0,5,4,2,0.868,0.662
46,69,5.0,5,4,2,0.87,0.652
47,68,5.0,5,4,2,0.868,0.632
48,69,5.0,5,4,2,0.884,0.681
49,68,5.0,5,4,2,0.868,0.647
50,66,5.0,5,4,2,0.894,0.621
51,69,5.0,5,4,2,0.913,0.638
52,68,6.0,6,5,2,0.926,0.603
53,73,6.0,6,5,2,0.945,0.658
54,75,6.0,6,5,2,0.933,0.613
55,71,5.0,5,4,2,0.93,0.62
56,74,5.0,5,4,2,0.946,0.635
57,81,5.0,5,4,2,0.951,0.667
58,86,5.0,5,4,2,0.953,0.663
59,94,5.0,5,4,2,0.947,0.66
60,104,5.0,5,4,2,0.952,0.654
61,107,5.0,5,4,2,0.944,0.673
62,111,6.0,6,4,2,0.955,0.703
63,111,7.0,7,5,2,0.928,0.604
64,113,6.0,6,4,2,0.92,0.664
65,112,6.0,6,4,7,0.438,0.661
66,101,6.0,6,4,7,0.426,0.644
67,94,6.0,6,4,7,0.404,0.649
68,88,6.0,6,5,7,0.42,0.625
69,84,5.0,5,3,7,0.357,0.786
70,81,5.0,5,4,7,0.358,0.642
71,73,6.0,6,5,7,0.425,0.616
72,74,6.0,6,5,7,0.473,0.608
73,71,8.0,8,6,7,0.521,0.62
74,72,7.5,8,5,7,0.514,0.611
75,74,8.0,8,5,12,0.419,0.622
76,72,10.0,8,6,12,0.472,0.681
77,69,12.0,8,8,12,0.522,0.623
78,65,11.0,8,8,12,0.492,0.6
79,62,11.5,8,7,12,0.5,0.613
80,58,10.0,8,6,12,0.466,0.655
81,46,12.0,8,8,12,0.543,0.674
82,51,16.0,8,8,12,0.588,0.686
83,46,18.0,8,8,12,0.609,0.674
84,46,19.5,8,8,12,0.63,0.674
85,50,23.0,8,8,2,1.0,0.72
86,48,24.0,8,8,2,0.979,0.75
87,51,24.0,8,8,2,0.98,0.784
88,51,24.0,8,8,2,0.98,0.765
89,44,16.5,8,8,2,0.977,0.773
90,49,16.0,8,8,2,0.98,0.735
91,53,17.0,8,8,2,0.981,0.736
92,44,16.5,8,8,2,0.977,0.727
93,37,19.0,8,8,2,1.0,0.757
94,31,19.0,8,8,2,1.0,0.71
