tbin,match_N,mean_paired_yes_bid_sum,mean_paired_mid_sum,hazard_frac,mean_own_spread,mean_partner_spread
240,2031,0.9764680569150882,0.9967933656775344,0.020003206676620734,0.021512952302744148,0.02014435358117217
180,2088,0.9749680901444713,0.9974534755862213,0.02109999828056803,0.02361947688876011,0.022663949366123995
120,2060,0.9728662375513657,0.9977390257333643,0.022847240177156208,0.024731989086163426,0.024739312393552263
90,2107,0.9706541845440881,0.9984044465516467,0.022987112130746303,0.027828136962250852,0.02765775536402812
60,2119,0.9672835888561191,0.9986538827837286,0.028258867215973565,0.031608253246489346,0.03126647767361772
45,2031,0.963023395870927,0.9980371448157548,0.03033345112275895,0.035097464993200655,0.03527354870481473
30,1878,0.962778365295227,0.9980163351797132,0.02645703439022364,0.03502031354867127,0.03553582214099909
20,1679,0.961566682558946,0.9977350347703806,0.025853446401391606,0.03545337124327595,0.03667362555863769
15,1603,0.9584527500922849,0.9965746261211377,0.027244798938498252,0.03759770866133935,0.038513159338740735
10,1443,0.9571184977839982,0.997076976906928,0.026911526911526915,0.04077951027951028,0.03954770235595988
7,1288,0.9559131344845629,0.9968138409209838,0.022903726708074536,0.041331521739130433,0.040201465201465204
5,1218,0.9589045253863134,0.9967115066225165,0.02599890530925014,0.037710727969348656,0.03773592715231788
3,1023,0.9567457962413451,0.995944609297725,0.017595307917888565,0.03919354838709677,0.03938180019782393
2,958,0.9547523709167545,0.9948103266596418,0.030271398747390398,0.03928496868475991,0.04096417281348788
