c,D,target_below,match_N,pooled_N,reach_dip_raw,reach_dip_pooled_match,mean_premkt_volume,reach_dip_pooled_match_mono
5,1,4,18,80.1,0.6666666666666666,0.6826580906319193,3847.7,0.6826580906319193
5,2,3,18,80.1,0.3333333333333333,0.5046476605190311,3847.7,0.5046476605190311
5,3,2,18,80.1,0.1111111111111111,0.32216223553071144,3847.7,0.32216223553071144
5,4,1,18,80.1,0.05555555555555555,0.1550251242361623,3847.7,0.1550251242361623
5,5,0,18,80.1,0.0,0.10536666980604201,3847.7,0.10536666980604201
6,1,5,27,114.6,0.6666666666666666,0.7160534675660956,7589.4,0.7160534675660956
6,2,4,27,114.6,0.4074074074074074,0.489945089976969,7589.4,0.489945089976969
6,3,3,27,114.6,0.25925925925925924,0.34666599128949327,7589.4,0.34666599128949327
6,4,2,27,114.6,0.037037037037037035,0.18344297369189047,7589.4,0.18344297369189047
6,5,1,27,114.6,0.0,0.12401830210178616,7589.4,0.12401830210178616
6,6,0,27,114.6,0.0,0.08099786047946822,7589.4,0.08099786047946822
7,1,6,22,151.0,0.8636363636363636,0.7785001158843036,8153.7,0.7785001158843036
7,2,5,22,151.0,0.7272727272727273,0.5608255216677059,8153.7,0.5608255216677059
7,3,4,22,151.0,0.5454545454545454,0.363611265106505,8153.7,0.363611265106505
7,4,3,22,151.0,0.36363636363636365,0.23581768895234834,8153.7,0.23581768895234834
7,5,2,22,151.0,0.2727272727272727,0.1604818128116191,8153.7,0.1604818128116191
7,6,1,22,151.0,0.22727272727272727,0.10237702415312505,8153.7,0.10237702415312505
7,7,0,22,151.0,0.0,0.051024988910115886,8153.7,0.051024988910115886
8,1,7,32,150.6,0.59375,0.7707120161874383,9798.5,0.7707120161874383
8,2,6,32,150.6,0.59375,0.556138851308943,9798.5,0.556138851308943
8,3,5,32,150.6,0.40625,0.35835781878299255,9798.5,0.35835781878299255
8,4,4,32,150.6,0.21875,0.23001062305632294,9798.5,0.23001062305632294
8,5,3,32,150.6,0.1875,0.1633986915060852,9798.5,0.1633986915060852
8,6,2,32,150.6,0.125,0.10868326588234731,9798.5,0.10868326588234731
8,7,1,32,150.6,0.0625,0.06279737023975616,9798.5,0.06279737023975616
8,8,0,32,150.6,0.0,0.030425287464134965,9798.5,0.030425287464134965
9,1,8,31,178.0,0.8387096774193549,0.7655299373001534,953.4,0.7655299373001534
9,2,7,31,178.0,0.3870967741935484,0.555872567393063,953.4,0.555872567393063
9,3,6,31,178.0,0.3870967741935484,0.36457441811479535,953.4,0.36457441811479535
9,4,5,31,178.0,0.25806451612903225,0.25045370569348957,953.4,0.25045370569348957
9,5,4,31,178.0,0.16129032258064516,0.18138254820850355,953.4,0.18138254820850355
9,6,3,31,178.0,0.06451612903225806,0.12936419448895092,953.4,0.12936419448895092
9,7,2,31,178.0,0.03225806451612903,0.08744404207719926,953.4,0.08744404207719926
9,8,1,31,178.0,0.03225806451612903,0.048492518802589625,953.4,0.048492518802589625
