anchor_c,reliable_depth,reliable_fill,reliable_cost,reliable_roc_at_cost,reliable_roc_lift,reliable_combined_roc,aggr_depth,aggr_fill,aggr_lift,aggr_capped,roc_anchor,env_med_dip_bid,match_N
5,0,0.5561,5,0.3842,0.0,0.3842,0,0.5561,0.0,False,0.3842,0.0,119
6,1,0.4827,5,0.3842,0.0391,0.3422,1,0.4827,0.0391,False,0.3031,2.0,127
7,2,0.4069,5,0.3842,0.059,0.2982,2,0.4069,0.059,False,0.2392,2.5,134
8,2,0.4394,6,0.3031,0.0455,0.2451,3,0.3623,0.0669,False,0.1996,4.0,144
9,3,0.4153,6,0.3031,0.0554,0.2251,4,0.334,0.0716,False,0.1698,3.5,154
10,3,0.4565,7,0.2392,0.0502,0.1794,5,0.2996,0.0764,False,0.1292,3.0,156
11,4,0.4109,7,0.2392,0.0552,0.1601,6,0.2711,0.0757,False,0.105,3.0,156
12,4,0.4321,8,0.1996,0.046,0.1391,7,0.246,0.0716,False,0.0931,7.0,163
13,4,0.4464,9,0.1698,0.0238,0.1403,8,0.2272,0.0608,False,0.1165,3.0,174
14,4,0.4528,10,0.1292,0.0107,0.1162,9,0.1913,0.0533,False,0.1055,4.0,174
15,5,0.4071,10,0.1292,0.0151,0.1072,9,0.2178,0.046,False,0.0921,3.0,179
16,3,0.5288,13,0.1165,0.0106,0.1071,11,0.1584,0.0456,False,0.0965,2.5,191
17,4,0.5058,13,0.1165,0.0148,0.102,12,0.1474,0.0438,True,0.0872,8.0,201
18,5,0.4659,13,0.1165,0.0096,0.1055,12,0.1729,0.0358,True,0.0959,4.0,214
19,6,0.4394,13,0.1165,0.0103,0.1034,12,0.1934,0.0282,True,0.0932,13.0,217
20,6,0.4419,14,0.1055,0.005,0.0992,12,0.2109,0.0222,True,0.0942,3.0,217
21,3,0.5305,18,0.0959,0.0037,0.0926,12,0.2165,0.0175,True,0.0889,2.0,228
22,4,0.4777,18,0.0959,0.0034,0.0922,12,0.2254,0.0091,True,0.0889,3.0,247
23,3,0.513,20,0.0942,0.0113,0.0834,10,0.2987,0.0133,False,0.072,4.0,249
24,4,0.4642,20,0.0942,0.0126,0.0797,11,0.2762,0.0136,False,0.0671,11.0,259
25,3,0.5103,22,0.0889,0.0158,0.0737,3,0.5103,0.0158,False,0.0579,4.0,261
26,4,0.4693,22,0.0889,0.0184,0.068,4,0.4693,0.0184,False,0.0496,4.0,261
27,5,0.4186,22,0.0889,0.0169,0.0654,7,0.3701,0.0169,False,0.0486,6.0,279
28,5,0.412,23,0.072,0.0113,0.0559,6,0.3922,0.0174,False,0.0446,3.0,285
29,5,0.4105,24,0.0671,0.0096,0.0534,7,0.3614,0.0163,False,0.0438,13.0,279
