c,tbin,dbucket,occ_N,fill_reach,deepen_frac,extra_dip,mean_vol,present_N,occupancy,match_N,fill_reach_pooled,occupancy_pooled,pooled_N
5,2,-2,1,0.0,0.0,-2.0,4101.0,3,0.3333333333333333,1,0.3329957398922916,0.30825764274040135,239.0
5,2,0,1,1.0,0.0,0.0,12844.0,3,0.3333333333333333,1,0.2967823491848357,0.41464558925103934,239.0
5,2,2,1,1.0,1.0,2.0,0.0,3,0.3333333333333333,1,1.0,0.3333333333333333,239.0
5,3,-2,1,1.0,0.0,0.0,0.0,2,0.5,1,1.0,0.3809184353944857,239.0
5,3,2,1,1.0,1.0,1.0,8846.0,2,0.5,1,1.0,0.4378232490159279,239.0
5,5,0,3,1.0,0.6666666666666666,1.3333333333333333,5567.333333333333,4,0.75,3,0.869098487338541,0.5370063569545361,239.0
5,5,2,1,1.0,1.0,1.0,8609.0,4,0.25,1,0.8519911861127535,0.2203982372225507,239.0
5,5,4,1,1.0,1.0,3.0,8709.0,4,0.25,1,1.0,0.25,239.0
5,7,0,3,0.6666666666666666,0.3333333333333333,1.0,20453.666666666668,4,0.75,3,0.7457835371597547,0.5309944685437186,239.0
5,7,1,1,0.0,0.0,,1940.0,4,0.25,1,0.36165300111855675,0.2532175243490112,239.0
5,10,-1,2,1.0,1.0,1.5,0.0,5,0.4,2,0.6053940209442462,0.34911919759225674,239.0
5,10,0,3,0.6666666666666666,0.0,0.0,18766.5,5,0.6,3,0.6384993723559655,0.47358440087418463,239.0
5,15,-3,1,0.0,0.0,-1.0,0.0,7,0.14285714285714285,1,0.456811113414887,0.2318463207951079,239.0
5,15,-2,2,1.0,0.5,0.5,0.0,7,0.2857142857142857,2,0.8335021300538542,0.23806650565271256,239.0
5,15,-1,1,0.0,0.0,-1.0,12321.0,7,0.14285714285714285,1,0.4915240342135706,0.22856444365630837,239.0
5,15,0,4,1.0,0.5,1.0,12274.416666666666,7,0.5714285714285714,4,0.7145952760869136,0.49691605664656907,239.0
5,15,2,1,1.0,1.0,4.0,0.0,7,0.14285714285714285,1,1.0,0.11903325282635628,239.0
5,15,3,2,1.0,1.0,4.5,6148.0,7,0.2857142857142857,2,1.0,0.22119479842297085,239.0
5,15,4,1,1.0,1.0,8.0,0.0,7,0.14285714285714285,1,1.0,0.14285714285714285,239.0
5,15,6,1,1.0,1.0,10.0,0.0,7,0.14285714285714285,1,1.0,0.14285714285714285,239.0
5,20,-1,3,1.0,0.6666666666666666,1.0,3591.6666666666665,5,0.6,3,0.7844679931894996,0.35148890752458634,239.0
5,20,0,4,1.0,0.75,2.0,13146.708333333334,5,0.8,4,0.8609914476884788,0.5700676147299995,239.0
5,20,1,2,1.0,1.0,4.5,0.0,5,0.4,2,0.9170845367400818,0.34452221060651694,239.0
5,20,3,1,1.0,1.0,6.0,0.0,5,0.2,1,1.0,0.1509428200626002,239.0
5,30,-4,2,1.0,0.0,0.0,0.0,8,0.25,2,1.0,0.15940682247035246,239.0
5,30,-3,2,1.0,0.5,0.5,0.0,8,0.25,2,1.0,0.18085192906295217,239.0
5,30,-2,2,1.0,1.0,1.5,0.0,8,0.25,2,0.8591784550666061,0.22504560877916344,239.0
5,30,-1,4,0.75,0.5,1.0,2576.625,8,0.5,4,0.8308770108977684,0.3284260109376871,239.0
5,30,0,4,0.7916666666666666,0.0,0.0,11361.55,8,0.5,4,0.7777405912964778,0.4190723943033695,239.0
5,30,1,1,1.0,1.0,1.0,2947.5,8,0.125,1,0.7636338619049357,0.3266249899287637,239.0
5,30,4,1,1.0,1.0,7.0,0.0,8,0.125,1,0.794449996156507,0.10549136359152503,239.0
5,30,6,1,1.0,1.0,9.0,0.0,8,0.125,1,1.0,0.09653676656014487,239.0
5,45,-4,1,1.0,0.0,0.0,0.0,11,0.09090909090909091,1,0.7840987783367087,0.0809261665361489,239.0
5,45,-3,1,1.0,1.0,1.0,0.0,11,0.09090909090909091,1,0.5063206015609609,0.18161566074076174,239.0
5,45,-2,3,0.5555555555555555,0.3333333333333333,0.11111111111111116,4681.333333333333,11,0.2727272727272727,3,0.6375707897083129,0.23633560492291195,239.0
5,45,-1,3,0.8333333333333334,0.3333333333333333,0.8333333333333334,8109.333333333333,11,0.2727272727272727,3,0.658556256904412,0.3012685388870829,239.0
5,45,0,4,0.875,0.25,1.0,13395.708333333334,11,0.36363636363636365,4,0.8612383317823351,0.5332953513735851,239.0
5,45,1,6,0.8333333333333334,0.8333333333333334,1.6666666666666667,8595.666666666666,11,0.5454545454545454,6,0.8081257140751114,0.4472083407323521,239.0
5,45,2,2,0.5,0.5,2.9999999999999996,2240.0,11,0.18181818181818182,2,0.8922844790888194,0.18383494604705664,239.0
5,45,3,2,1.0,1.0,4.5,19331.5,11,0.18181818181818182,2,0.75832212016615,0.12493420067909626,239.0
5,45,4,4,1.0,0.75,3.5,11383.0,11,0.36363636363636365,4,0.7818859236520276,0.2503323738449005,239.0
5,45,7,1,1.0,1.0,3.0,0.0,11,0.09090909090909091,1,1.0,0.07809278463456477,239.0
5,60,-3,2,1.0,0.5,0.5,2861.5,11,0.18181818181818182,2,0.9453115691647801,0.12427162121117773,239.0
