tbin,match_N,mean_paired_yes_bid_sum,mean_paired_mid_sum,hazard_frac,mean_own_spread,mean_partner_spread
240,2089,0.980231949618798,1.0021368372774555,0.01878966752515865,0.022599751888759543,0.021778220637824253
180,2942,0.9790235491077521,1.0022384403738103,0.020105980026838728,0.023037710783690914,0.02358226154014904
120,2948,0.9756198442506394,1.0017891069736937,0.021435159342785375,0.026321078904334546,0.026198886184530167
90,3204,0.9722595462274712,1.0013273245829744,0.022332298701899022,0.028093460815230245,0.029387069242432198
60,3079,0.9685769395712924,1.0004411268977014,0.019646859485079948,0.030729395856032075,0.032270730175518694
45,3053,0.9669917695546892,1.0000633497936144,0.018716925062856965,0.03243747025293311,0.03335427131806752
30,2782,0.9647159144646151,0.9994575949377105,0.01867286122522961,0.03447707253373656,0.03513710341450733
20,2390,0.9625789245585875,0.9991860611735331,0.02082054858205486,0.035398615262004385,0.03731396647048332
15,2319,0.9629482739607124,0.9987895180109994,0.019084751911401326,0.034840617877163804,0.03656156040781769
10,2038,0.959038843950118,0.9974594708459724,0.019921491658488714,0.037644995093228655,0.039311257162116614
7,1818,0.9599077196927112,0.9975292767472362,0.022277227722772276,0.03734873487348735,0.03758478545999625
5,1747,0.9608478851377571,0.9976445479239426,0.019080328181644724,0.036560293837053996,0.03712989910748933
3,1392,0.9599379108838568,0.9978615777940102,0.023706896551724137,0.03820043103448276,0.037567567567567565
2,1310,0.9600310559006211,0.9970225155279503,0.025190839694656488,0.03681679389312977,0.037010869565217396
