c,X,target,raw_N,pooled_N,match_N,reach_raw,reach_pooled,reach_pooled_match,exp_ret_match,net_raw,net_pooled,miss_cost_raw,reach_pooled_mono,reach_pooled_match_mono,minute_over_optimistic
5.0,13.0,18.0,65.0,321.3,27.0,0.7692307692307693,0.8951879339238689,0.8604863221884499,10.317629179331309,8.846153846153847,11.00335168781422,5.0,0.8951879339238689,0.8604863221884499,0.03470161173541897
6.0,15.0,21.0,192.0,379.0,27.0,0.9270833333333334,0.83444864307798,0.8682204503636205,12.0745640935775,13.46875,11.28284438337341,6.0,0.83444864307798,0.8682204503636205,-0.033771807285640554
7.0,13.0,20.0,84.0,831.4,31.0,0.9285714285714286,0.6457709875570956,0.8618161308516638,10.084038353073886,11.571428571428571,5.0284081959936415,7.0,0.6457709875570956,0.8618161308516638,-0.21604514329456814
8.0,13.0,21.0,52.0,869.4,31.0,0.8461538461538461,0.598389665545921,0.8646344063099554,10.129823065444471,9.76923076923077,3.834874358520615,8.0,0.598389665545921,0.8646344063099554,-0.26624474076403437
9.0,15.0,24.0,59.0,948.6,30.0,0.4406779661016949,0.5640544596912522,0.8688690375863812,11.825889094892972,1.5762711864406773,4.078259005145798,9.0,0.5640544596912522,0.8688690375863812,-0.304814577895129
10.0,12.0,22.0,448.0,681.8,23.0,0.43973214285714285,0.47195840985801607,0.8560202966982627,8.805771873568483,-0.32589285714285765,0.2516524420785902,10.0,0.47195840985801607,0.8560202966982627,-0.38406188684024667
11.0,12.0,23.0,135.0,799.1,24.0,0.2740740740740741,0.48017204620033743,0.8596195926611682,8.838663524659149,-4.696296296296295,0.3808376128589702,11.0,0.48017204620033743,0.8596195926611682,-0.37944754646083073
12.0,10.0,22.0,54.0,928.4,25.0,0.6481481481481481,0.618841504767224,0.8713257965056525,7.055292908530318,2.2592592592592586,2.149858379542826,12.0,0.618841504767224,0.8713257965056525,-0.25248429173842846
13.0,12.0,25.0,57.0,1298.7,26.0,0.7368421052631579,0.7041945288753799,0.8539731682146543,8.372721018231854,5.421052631578946,5.292549814251942,13.0,0.7041945288753799,0.8539731682146543,-0.14977863933927438
14.0,12.0,26.0,49.0,1104.3,25.0,0.8979591836734694,0.8756675844991038,0.8564044943820224,8.210561797752812,9.346938775510203,9.024190120673406,14.0,0.8756675844991038,0.8564044943820224,0.019263090117081383
15.0,12.0,27.0,269.0,1304.5,25.0,0.9591078066914498,0.961301500635476,0.8589665653495441,8.168510638297874,10.895910780669144,10.986096466980891,15.0,0.961301500635476,0.8589665653495441,0.10233493528593196
16.0,11.0,27.0,395.0,1643.0,26.0,0.9949367088607595,0.9792172893416188,0.860176457693994,7.245204953967559,10.863291139240506,10.436664966617924,16.0,0.9792172893416188,0.860176457693994,0.1190408316476248
17.0,13.0,30.0,325.0,1945.3,27.0,0.9846153846153847,0.9765586074357616,0.8545341649967543,8.744602184527674,12.53846153846154,12.29514168439534,17.0,0.9765586074357616,0.8545341649967543,0.12202444243900734
18.0,13.0,31.0,247.0,2174.0,27.0,0.9757085020242915,0.9782955235332019,0.8578256553549762,8.654582889076803,12.246963562753036,12.324811075149073,18.0,0.9782955235332019,0.8578256553549762,0.12046986817822569
19.0,16.0,35.0,390.0,2102.4,26.0,0.9871794871794872,0.9739114420846459,0.867277735342453,11.328171654746196,15.551282051282053,15.068425905373337,19.0,0.9739114420846459,0.867277735342453,0.10663370674219286
