c,tbin,fill
5,20,0.2761754867786345
5,30,0.44912204863308547
5,40,0.5561322800256543
5,50,0.5211585055215195
5,60,0.5255887118083817
5,70,0.5288147233098134
5,80,0.53142857413392
5,90,0.48508861354892197
5,100,0.5368020413002288
5,110,0.5297958077552992
5,120,0.5566662897614912
5,130,0.5106357964574354
5,140,0.602370297860439
5,150,0.680659650748586
5,160,0.644263939673259
5,170,0.6620232962281728
5,180,0.6363752144230437
5,190,0.6726295814148064
5,200,0.6627179934802359
5,210,0.6761131423440556
5,220,0.6932668663177237
5,230,0.7824366807748595
5,240,0.6575191357141053
6,20,0.27172938333983787
6,30,0.45276158542832967
6,40,0.5495932899658951
6,50,0.5214577661607097
6,60,0.5300790725721386
6,70,0.5199105069047082
6,80,0.5353475314939411
6,90,0.47726557360668165
6,100,0.5307942718508187
6,110,0.5258853752946635
6,120,0.56480216014124
6,130,0.5221472860895338
6,140,0.5933486264365442
6,150,0.6562978857416825
6,160,0.6182644329306008
6,170,0.6322987571060735
6,180,0.6252767489749255
6,190,0.6631904697010992
6,200,0.6443173302569564
6,210,0.668335427954734
6,220,0.6640918447467267
6,230,0.7256143135008551
6,240,0.6108025548458761
7,20,0.26579058809994527
7,30,0.4487943039308113
7,40,0.5424675779667958
7,50,0.5281472970421421
7,60,0.5405885381351313
7,70,0.5098354535795308
7,80,0.5332294134625016
7,90,0.4811095156720044
7,100,0.5242060687465249
7,110,0.5338568477464457
7,120,0.5707360391856269
7,130,0.5291175694932307
7,140,0.5830319331922637
7,150,0.6226629124089406
7,160,0.5990679510515642
7,170,0.6012333605648787
7,180,0.6021722174221255
7,190,0.6329418132112286
7,200,0.6124888251534475
7,210,0.6283906924829555
7,220,0.6283255913507233
7,230,0.6728054247621417
7,240,0.5566453886639203
8,20,0.27377911886469897
8,30,0.47405888771513405
8,40,0.5621727775906451
8,50,0.5569390330844701
8,60,0.569393106573752
8,70,0.5432360077451864
8,80,0.5639566724269736
8,90,0.5241074188481346
8,100,0.539168971144197
8,110,0.540133718527506
8,120,0.5831022808092112
8,130,0.5528372572407964
8,140,0.5892852256714048
8,150,0.6170925678791707
8,160,0.6193050635513956
8,170,0.6099034943974743
8,180,0.6127002153952398
8,190,0.6454138477571031
8,200,0.6233534882509093
8,210,0.6238485908941792
8,220,0.6383945900128597
8,230,0.6623127351517861
8,240,0.5599458807611989
9,20,0.28608189489782865
9,30,0.5075986784959783
9,40,0.5779084331055934
9,50,0.5975857161125233
9,60,0.6083978553212951
9,70,0.5740135706152425
9,80,0.6002473118826744
9,90,0.5687116044136967
9,100,0.5681126775149843
9,110,0.5754793939595529
9,120,0.6350412581908824
9,130,0.6021985060429802
9,140,0.6010820981924816
9,150,0.616136831966055
9,160,0.6251586458749707
9,170,0.6100993306658834
9,180,0.6229732063443895
9,190,0.6493901957773621
9,200,0.6166227795952358
9,210,0.6198543692567726
9,220,0.6333426994379778
9,230,0.6450245429696755
9,240,0.5521920311928842
10,20,0.2884994874566591
10,30,0.5253417280526615
10,40,0.5812330986781119
10,50,0.6297749143695972
10,60,0.6316302764231381
10,70,0.5962668189974091
10,80,0.6205399512293853
10,90,0.5978235701348267
10,100,0.5855030211354922
10,110,0.6030817578251864
10,120,0.6498128268885737
10,130,0.622590727656232
10,140,0.6078746907469582
10,150,0.618790435590924
10,160,0.63493958850196
10,170,0.6093527814463754
10,180,0.6259862650896986
10,190,0.641155852682537
10,200,0.6124845496200866
10,210,0.6212827782244094
10,220,0.6463326117062477
10,230,0.6590471517530988
10,240,0.5559317584288532
11,20,0.3154994961089747
11,30,0.5652409826064604
11,40,0.615013759621497
11,50,0.6679934868752351
11,60,0.6724197006383615
11,70,0.6588277620944085
11,80,0.6789082202132213
11,90,0.6751440379184142
11,100,0.645503984261253
11,110,0.6527265595500178
11,120,0.6984428628114295
11,130,0.6790009376625593
11,140,0.6596951584376813
11,150,0.6563345761739631
11,160,0.6736020263249894
11,170,0.650146712344524
11,180,0.6741099886653182
11,190,0.6830136931977442
11,200,0.6627000493640358
11,210,0.6738524191700951
11,220,0.6971541650489084
11,230,0.7081949799927246
11,240,0.6216231587328671
12,20,0.3179800027175258
12,30,0.5631178834131942
12,40,0.601960318538796
12,50,0.6623213941095946
12,60,0.6650555563852644
12,70,0.6551281815515932
12,80,0.6741358742875656
12,90,0.6724671510427314
12,100,0.6494571069863178
12,110,0.657307629394093
12,120,0.7029079073665068
12,130,0.6851603104199433
12,140,0.6631451055688181
12,150,0.6679858334327095
12,160,0.6763630658291386
12,170,0.6538773536128809
12,180,0.6796137431028881
12,190,0.683505144063265
12,200,0.6668158189344696
12,210,0.6978888007808363
12,220,0.7052682848270033
12,230,0.7187539124120489
12,240,0.6504954496225531
13,20,0.3281984499331329
13,30,0.5674780134674999
13,40,0.61811158399063
13,50,0.6695908345234863
13,60,0.6783455817301413
13,70,0.6734148713734485
13,80,0.6868837738316051
13,90,0.6923658686245838
13,100,0.6779493089935602
13,110,0.6851867210849758
13,120,0.7123708827931061
13,130,0.7035063184588501
13,140,0.6906000887783433
13,150,0.6845381110865544
13,160,0.6913296195772809
13,170,0.6791548485024378
13,180,0.7005017835587748
13,190,0.7014004173770384
13,200,0.6925866277715316
13,210,0.7237343009384775
13,220,0.739262223982843
13,230,0.7560867917210848
13,240,0.7023390622116737
14,20,0.3235879960373631
14,30,0.5574751730097244
14,40,0.6126983141536617
14,50,0.655086407057066
14,60,0.6651902220590064
14,70,0.6619903638536817
14,80,0.6750255321391676
14,90,0.6798365258730388
14,100,0.6653594889716277
14,110,0.661720966063017
14,120,0.6898555837950427
14,130,0.6902877896588463
14,140,0.6816704796696642
14,150,0.6721755066951222
14,160,0.6824439545257819
14,170,0.6682655308193407
14,180,0.6851440708575838
14,190,0.6935875649401607
14,200,0.6949811926877765
14,210,0.7248301227370387
14,220,0.7246017007135177
14,230,0.7453649758891587
14,240,0.7087154139316936
15,20,0.3100841165592333
15,30,0.5360670699190793
15,40,0.603062257365375
15,50,0.6377776135449336
15,60,0.6459240358019376
15,70,0.6361262523636446
15,80,0.6484616793193804
15,90,0.6472885693628424
15,100,0.6472421516670239
15,110,0.6430540695325576
15,120,0.6704053486607637
15,130,0.6657263971211822
15,140,0.6613781070248104
15,150,0.6604414998583442
15,160,0.6737543466490998
15,170,0.6638905463913736
15,180,0.6711722296156838
15,190,0.6815007246843457
15,200,0.6828742551939774
15,210,0.7073550400851477
15,220,0.7080832651871919
15,230,0.7297921975186399
15,240,0.7126065612188687
16,20,0.3117218707349817
16,30,0.5441101017736633
16,40,0.6228748901877275
16,50,0.6509437818176007
16,60,0.6592738389110159
16,70,0.6382041740503609
16,80,0.6482683667699385
16,90,0.6464501670738008
16,100,0.6651776723468447
