tbin,match_N,mean_paired_yes_bid_sum,mean_paired_mid_sum,hazard_frac,mean_own_spread,mean_partner_spread
240,1789,0.9772377378575073,0.9971273621234163,0.02126179518998635,0.020556867937137766,0.019455023643748494
180,2028,0.9752345062053484,0.9974693216215109,0.022152388960801985,0.022138566836823227,0.022490466261125785
120,2033,0.9726979066932875,0.9976812153372284,0.023168238588615876,0.024823095171361546,0.024874124168209444
90,2092,0.970644352468663,0.9984282852403815,0.023151933680440946,0.027873384076067823,0.02767803481416668
60,2095,0.9674824860000095,0.9987190137453035,0.02852293061128782,0.03100171810611085,0.03132246925009696
45,2017,0.963818519004916,0.998101042111095,0.030549862093285095,0.03429245466280128,0.03440227841112793
30,1862,0.9627847912929798,0.9979084691813832,0.026684377328055852,0.03444844875343307,0.03558247419568538
20,1667,0.9617085548679508,0.9978301035280901,0.025980994277335006,0.03553504061092543,0.036525417163001055
15,1594,0.9583517081290297,0.9965647905824786,0.02739862779072315,0.037776294039154765,0.03852734911610464
10,1435,0.9576098991320666,0.9971220971147079,0.027061556329849013,0.04025168408826946,0.03919047619047619
7,1278,0.9560087025316456,0.9967886339662447,0.023082942097026604,0.04125,0.040040216244725736
5,1211,0.958669164585068,0.9966840133222314,0.025736306083126895,0.037906000550509224,0.03795378850957535
3,1014,0.9566866267465071,0.9959381237524949,0.01775147928994083,0.039215976331360945,0.03946606786427146
2,951,0.9546390658174098,0.9947664543524417,0.029442691903259727,0.03934805467928496,0.04104033970276008
