band,N,is_fb_discount,is_fb_poststart,is_fill_rate,oos_fb_$,oos_skip_$
5-9,196,1,B1,0.291,7.27,2.5
10-16,284,3,B2,0.194,9.26,4.98
17-19,139,1,B1,0.446,2.94,1.25
20-22,165,6,B4,0.133,3.23,2.36
23-25,163,10,B1,0.086,6.2,3.09
26-28,156,1,B1,0.474,3.28,1.4
29-30,125,6,B4,0.12,4.81,2.06
31-32,116,2,B1,0.328,4.79,2.84
33-35,173,3,B1,0.26,5.68,2.07
36-37,130,4,B1,0.2,5.56,1.82
38-40,191,1,B1,0.44,5.51,1.25
41-42,120,1,B1,0.5,1.99,1.2
43-44,135,8,B1,0.23,2.45,1.61
45-46,103,1,B1,0.447,3.2,1.69
47-48,104,1,B1,0.596,2.98,2.6
49-51,172,3,B2,0.302,5.96,3.67
52-54,173,5,B2,0.202,8.79,-0.04
55-56,131,3,B1,0.275,6.34,3.86
57-58,123,10,B2,0.114,0.08,2.08
59-61,176,10,B4,0.148,9.27,1.01
62-64,195,12,B1,0.144,12.39,0.26
65-66,111,12,B1,0.234,7.68,0.64
67-68,111,15,B4,0.162,1.58,0.47
69-71,150,12,B4,0.16,3.27,2.76
72-74,151,12,B1,0.172,-2.49,-3.46
75-76,99,2,B1,0.485,3.76,3.31
77-79,134,10,B1,0.269,9.24,-0.07
80-82,125,12,B1,0.224,3.36,3.87
83-86,137,15,B1,0.292,9.85,3.03
87-94,208,12,B1,0.361,9.33,10.15
