c,D,target_above,match_N,pooled_N,reach_spike_raw,reach_spike_pooled_match
5,1,6,18,80.1,0.8888888888888888,0.8589529444570636
5,2,7,18,80.1,0.7222222222222222,0.7155351988609607
5,3,8,18,80.1,0.7222222222222222,0.6758507245493612
5,4,9,18,80.1,0.6111111111111112,0.604214796060638
5,5,10,18,80.1,0.6111111111111112,0.5861827781255714
5,6,11,18,80.1,0.6111111111111112,0.5661050878194083
5,7,12,18,80.1,0.6111111111111112,0.5194502769113717
5,8,13,18,80.1,0.6111111111111112,0.5194502769113717
5,9,14,18,80.1,0.6111111111111112,0.5104342679438384
5,10,15,18,80.1,0.6111111111111112,0.48831090526657916
5,11,16,18,80.1,0.6111111111111112,0.4792948962990458
5,12,17,18,80.1,0.6111111111111112,0.4596881122936092
5,13,18,18,80.1,0.6111111111111112,0.45067210332607577
5,14,19,18,80.1,0.5555555555555556,0.4381815445357325
5,15,20,18,80.1,0.5555555555555556,0.41857476053029585
5,16,21,18,80.1,0.5,0.3975390990731456
5,17,22,18,80.1,0.5,0.3975390990731456
5,18,23,18,80.1,0.4444444444444444,0.38504854028280233
5,19,24,18,80.1,0.4444444444444444,0.36748742864846196
5,20,25,18,80.1,0.3333333333333333,0.3314446297291458
5,21,26,18,80.1,0.2777777777777778,0.30993806197126916
5,22,27,18,80.1,0.2777777777777778,0.30993806197126916
5,23,28,18,80.1,0.2777777777777778,0.30993806197126916
5,24,29,18,80.1,0.2777777777777778,0.30092205300373587
5,25,30,18,80.1,0.2777777777777778,0.2787986903264766
5,26,31,18,80.1,0.2777777777777778,0.2787986903264766
5,27,32,18,80.1,0.2777777777777778,0.2517506634238766
5,28,33,18,80.1,0.2777777777777778,0.2517506634238766
5,29,34,18,80.1,0.2222222222222222,0.2307150019667263
5,30,35,18,80.1,0.2222222222222222,0.2307150019667263
6,1,7,27,114.6,0.8148148148148148,0.8745931472142551
6,2,8,27,114.6,0.6666666666666666,0.7017055752075856
6,3,9,27,114.6,0.5925925925925926,0.6624548535144088
6,4,10,27,114.6,0.5555555555555556,0.6068389374148421
6,5,11,27,114.6,0.5555555555555556,0.5845751908560127
6,6,12,27,114.6,0.5185185185185185,0.561348102407007
6,7,13,27,114.6,0.48148148148148145,0.5220258155179368
6,8,14,27,114.6,0.48148148148148145,0.5220258155179368
6,9,15,27,114.6,0.48148148148148145,0.5142595976363039
6,10,16,27,114.6,0.4074074074074074,0.490069167297122
6,11,17,27,114.6,0.4074074074074074,0.48230294941548896
6,12,18,27,114.6,0.37037037037037035,0.4662793161713178
6,13,19,27,114.6,0.37037037037037035,0.45851309828968473
6,14,20,27,114.6,0.37037037037037035,0.4369036620933099
6,15,21,27,114.6,0.3333333333333333,0.4141487180535754
6,16,22,27,114.6,0.3333333333333333,0.3919765191804019
6,17,23,27,114.6,0.3333333333333333,0.38524520838483856
6,18,24,27,114.6,0.3333333333333333,0.37709839377959037
6,19,25,27,114.6,0.3333333333333333,0.3553067916300321
6,20,26,27,114.6,0.2962962962962963,0.3302836026477263
6,21,27,27,114.6,0.2962962962962963,0.3143705701608451
6,22,28,27,114.6,0.2962962962962963,0.30763925936528175
6,23,29,27,114.6,0.2962962962962963,0.3009079485697184
6,24,30,27,114.6,0.2962962962962963,0.2931417306880854
6,25,31,27,114.6,0.2222222222222222,0.27568261114446685
6,26,32,27,114.6,0.2222222222222222,0.27568261114446685
6,27,33,27,114.6,0.2222222222222222,0.2523839574995678
6,28,34,27,114.6,0.2222222222222222,0.2523839574995678
6,29,35,27,114.6,0.2222222222222222,0.23021175862639437
6,30,36,27,114.6,0.2222222222222222,0.22348044783083104
7,1,8,22,151.0,0.7727272727272727,0.8423202386286034
7,2,9,22,151.0,0.6363636363636364,0.6950585426230445
7,3,10,22,151.0,0.5909090909090909,0.6537461207563191
7,4,11,22,151.0,0.5454545454545454,0.5949845805187629
7,5,12,22,151.0,0.5454545454545454,0.5767493101227931
7,6,13,22,151.0,0.5454545454545454,0.5479577108706568
7,7,14,22,151.0,0.5,0.5111587942891861
7,8,15,22,151.0,0.5,0.5111587942891861
7,9,16,22,151.0,0.5,0.5048877473287893
7,10,17,22,151.0,0.5,0.48739963156325045
7,11,18,22,151.0,0.5,0.4756636315171627
7,12,19,22,151.0,0.45454545454545453,0.4576778558168825
7,13,20,22,151.0,0.45454545454545453,0.4404769026851036
7,14,21,22,151.0,0.45454545454545453,0.4235741909923995
7,15,22,22,151.0,0.4090909090909091,0.40536019190263417
7,16,23,22,151.0,0.36363636363636365,0.3820623506300073
7,17,24,22,151.0,0.36363636363636365,0.37090422106914017
7,18,25,22,151.0,0.36363636363636365,0.36538786232678844
7,19,26,22,151.0,0.3181818181818182,0.33587037975042555
7,20,27,22,151.0,0.3181818181818182,0.31894019262054074
7,21,28,22,151.0,0.3181818181818182,0.30715278691779213
7,22,29,22,151.0,0.3181818181818182,0.2905297042712339
7,23,30,22,151.0,0.3181818181818182,0.2848365277960578
7,24,31,22,151.0,0.3181818181818182,0.27856548083566096
7,25,32,22,151.0,0.3181818181818182,0.2667705415452984
7,26,33,22,151.0,0.3181818181818182,0.2613055884596074
7,27,34,22,151.0,0.3181818181818182,0.24249244757841687
7,28,35,22,151.0,0.3181818181818182,0.24249244757841687
7,29,36,22,151.0,0.2727272727272727,0.21919460630579007
7,30,37,22,151.0,0.2727272727272727,0.21350142983061393
8,1,9,32,150.6,0.9375,0.8434804509220984
8,2,10,32,150.6,0.8125,0.6912490403227111
8,3,11,32,150.6,0.78125,0.651057645696824
8,4,12,32,150.6,0.6875,0.5891184220320951
8,5,13,32,150.6,0.625,0.5704152172138615
8,6,14,32,150.6,0.59375,0.5436117074342834
8,7,15,32,150.6,0.5,0.5051515736312712
8,8,16,32,150.6,0.5,0.5051515736312712
8,9,17,32,150.6,0.46875,0.4985115148302696
8,10,18,32,150.6,0.46875,0.4798220802710306
8,11,19,32,150.6,0.4375,0.46802994891633054
8,12,20,32,150.6,0.4375,0.4538839015494335
8,13,21,32,150.6,0.40625,0.43693969764103485
8,14,22,32,150.6,0.40625,0.4217030058479696
8,15,23,32,150.6,0.40625,0.4072859438185407
8,16,24,32,150.6,0.40625,0.38776251052975785
8,17,25,32,150.6,0.40625,0.37718735075982895
8,18,26,32,150.6,0.40625,0.37279683339922437
8,19,27,32,150.6,0.375,0.3458717861163459
8,20,28,32,150.6,0.375,0.32826062270707723
8,21,29,32,150.6,0.34375,0.3172300465454711
8,22,30,32,150.6,0.34375,0.29271499415562274
8,23,31,32,150.6,0.34375,0.2828979969062818
8,24,32,32,150.6,0.3125,0.27625793810528027
8,25,33,32,150.6,0.3125,0.26738550079538215
8,26,34,32,150.6,0.3125,0.2622334282416836
