c,D,target_above,match_N,pooled_N,reach_spike_raw,reach_spike_pooled_match
5,1,6,7,26.2,1.0,0.9108156507636168
5,2,7,7,26.2,0.7142857142857143,0.7693691715096636
5,3,8,7,26.2,0.7142857142857143,0.7041492093526152
5,4,9,7,26.2,0.7142857142857143,0.6389292471955671
5,5,10,7,26.2,0.7142857142857143,0.6085366265711583
5,6,11,7,26.2,0.7142857142857143,0.5388819435058793
5,7,12,7,26.2,0.5714285714285714,0.5007686849574268
5,8,13,7,26.2,0.2857142857142857,0.42454216786052174
5,9,14,7,26.2,0.2857142857142857,0.40057778078118667
5,10,15,7,26.2,0.2857142857142857,0.40057778078118667
5,11,16,7,26.2,0.2857142857142857,0.33535781862413844
5,12,17,7,26.2,0.2857142857142857,0.33535781862413844
5,13,18,7,26.2,0.2857142857142857,0.33535781862413844
5,14,19,7,26.2,0.2857142857142857,0.2765660900121638
5,15,20,7,26.2,0.2857142857142857,0.2765660900121638
5,16,21,7,26.2,0.2857142857142857,0.2765660900121638
5,17,22,7,26.2,0.2857142857142857,0.2765660900121638
5,18,23,7,26.2,0.2857142857142857,0.2765660900121638
5,19,24,7,26.2,0.2857142857142857,0.2765660900121638
5,20,25,7,26.2,0.2857142857142857,0.24173874847952428
5,21,26,7,26.2,0.2857142857142857,0.21777436140018921
5,22,27,7,26.2,0.2857142857142857,0.21777436140018921
5,23,28,7,26.2,0.2857142857142857,0.18294701986754966
5,24,29,7,26.2,0.2857142857142857,0.18294701986754966
5,25,30,7,26.2,0.2857142857142857,0.15898263278821465
5,26,31,7,26.2,0.2857142857142857,0.15898263278821465
5,27,32,7,26.2,0.2857142857142857,0.15898263278821465
5,28,33,7,26.2,0.2857142857142857,0.12415529125557509
5,29,34,7,26.2,0.2857142857142857,0.12415529125557509
5,30,35,7,26.2,0.2857142857142857,0.12415529125557509
6,1,7,11,27.6,0.9090909090909091,0.913752020778584
6,2,8,11,27.6,0.8181818181818182,0.7849508500678063
6,3,9,11,27.6,0.7272727272727273,0.7192975735333553
6,4,10,11,27.6,0.6363636363636364,0.6536442969989045
6,5,11,11,27.6,0.6363636363636364,0.6043717772891304
6,6,12,11,27.6,0.45454545454545453,0.531861261578774
6,7,13,11,27.6,0.45454545454545453,0.5002873144906106
6,8,14,11,27.6,0.45454545454545453,0.4371394203142837
6,9,15,11,27.6,0.45454545454545453,0.4165447176273186
6,10,16,11,27.6,0.45454545454545453,0.4165447176273186
6,11,17,11,27.6,0.36363636363636365,0.3508914410928677
6,12,18,11,27.6,0.36363636363636365,0.3508914410928677
6,13,19,11,27.6,0.36363636363636365,0.3508914410928677
6,14,20,11,27.6,0.2727272727272727,0.29404148055072443
6,15,21,11,27.6,0.2727272727272727,0.29404148055072443
6,16,22,11,27.6,0.2727272727272727,0.29404148055072443
6,17,23,11,27.6,0.2727272727272727,0.29404148055072443
6,18,24,11,27.6,0.2727272727272727,0.29404148055072443
6,19,25,11,27.6,0.2727272727272727,0.29404148055072443
6,20,26,11,27.6,0.18181818181818182,0.25778622269554624
6,21,27,11,27.6,0.18181818181818182,0.2371915200085811
6,22,28,11,27.6,0.18181818181818182,0.2371915200085811
6,23,29,11,27.6,0.09090909090909091,0.20093626215340293
6,24,30,11,27.6,0.09090909090909091,0.20093626215340293
6,25,31,11,27.6,0.09090909090909091,0.18034155946643782
6,26,32,11,27.6,0.09090909090909091,0.18034155946643782
6,27,33,11,27.6,0.09090909090909091,0.18034155946643782
6,28,34,11,27.6,0.0,0.12421180058075834
6,29,35,11,27.6,0.0,0.12421180058075834
6,30,36,11,27.6,0.0,0.12421180058075834
7,1,8,6,33.7,0.8333333333333334,0.9049543909855124
7,2,9,6,33.7,0.6666666666666666,0.7813271328921482
7,3,10,6,33.7,0.5,0.7240475764621713
7,4,11,6,33.7,0.3333333333333333,0.6667680200321946
7,5,12,6,33.7,0.16666666666666666,0.6164103022715078
7,6,13,6,33.7,0.16666666666666666,0.5291450545519585
7,7,14,6,33.7,0.16666666666666666,0.5039974959756751
7,8,15,6,33.7,0.16666666666666666,0.45370237882310854
7,9,16,6,33.7,0.16666666666666666,0.43198891074941864
7,10,17,6,33.7,0.16666666666666666,0.43198891074941864
7,11,18,6,33.7,0.0,0.3747093543194419
7,12,19,6,33.7,0.0,0.3747093543194419
7,13,20,6,33.7,0.0,0.3747093543194419
7,14,21,6,33.7,0.0,0.32541584689679837
7,15,22,6,33.7,0.0,0.32541584689679837
7,16,23,6,33.7,0.0,0.32541584689679837
7,17,24,6,33.7,0.0,0.32541584689679837
7,18,25,6,33.7,0.0,0.32541584689679837
7,19,26,6,33.7,0.0,0.32541584689679837
7,20,27,6,33.7,0.0,0.2978358075478447
7,21,28,6,33.7,0.0,0.2761223394741548
7,22,29,6,33.7,0.0,0.2761223394741548
7,23,30,6,33.7,0.0,0.24854230012520118
7,24,31,6,33.7,0.0,0.23248971561438025
7,25,32,6,33.7,0.0,0.21077624754069038
7,26,33,6,33.7,0.0,0.1947236630298694
7,27,34,6,33.7,0.0,0.1947236630298694
7,28,35,6,33.7,0.0,0.13043283849043105
7,29,36,6,33.7,0.0,0.13043283849043105
7,30,37,6,33.7,0.0,0.13043283849043105
8,1,9,7,45.3,0.8571428571428571,0.9023761840324762
8,2,10,7,45.3,0.8571428571428571,0.806809201623816
8,3,11,7,45.3,0.8571428571428571,0.7493152909336942
8,4,12,7,45.3,0.8571428571428571,0.7085683355886332
8,5,13,7,45.3,0.8571428571428571,0.6686982408660351
8,6,14,7,45.3,0.8571428571428571,0.5918809201623816
8,7,15,7,45.3,0.8571428571428571,0.5399945872801082
8,8,16,7,45.3,0.8571428571428571,0.5032097428958051
8,9,17,7,45.3,0.7142857142857143,0.4643680649526386
8,10,18,7,45.3,0.7142857142857143,0.4643680649526386
8,11,19,7,45.3,0.7142857142857143,0.4068741542625169
8,12,20,7,45.3,0.7142857142857143,0.4068741542625169
8,13,21,7,45.3,0.7142857142857143,0.4068741542625169
8,14,22,7,45.3,0.5714285714285714,0.36440595399188097
8,15,23,7,45.3,0.5714285714285714,0.36440595399188097
8,16,24,7,45.3,0.5714285714285714,0.36440595399188097
8,17,25,7,45.3,0.5714285714285714,0.36440595399188097
8,18,26,7,45.3,0.5714285714285714,0.36440595399188097
