c,D,target_below,match_N,pooled_N,reach_dip_raw,reach_dip_pooled_match,mean_premkt_volume,reach_dip_pooled_match_mono
5,1,4,7,26.2,0.5714285714285714,0.6984220840654143,29621.7,0.6984220840654143
5,2,3,7,26.2,0.42857142857142855,0.4950415596702257,29621.7,0.4950415596702257
5,3,2,7,26.2,0.2857142857142857,0.30252398972834166,29621.7,0.30252398972834166
5,4,1,7,26.2,0.14285714285714285,0.18608933639681036,29621.7,0.18608933639681036
5,5,0,7,26.2,0.0,0.0,29621.7,0.0
6,1,5,11,27.6,0.6363636363636364,0.6991932209103655,12249.8,0.6991932209103655
6,2,4,11,27.6,0.36363636363636365,0.500057462898122,12249.8,0.500057462898122
6,3,3,11,27.6,0.18181818181818182,0.3165822600540917,12249.8,0.3165822600540917
6,4,2,11,27.6,0.18181818181818182,0.21442088891272532,12249.8,0.21442088891272532
6,5,1,11,27.6,0.0,0.019874501030501306,12249.8,0.019874501030501306
6,6,0,11,27.6,0.0,0.019874501030501306,12249.8,0.019874501030501306
7,1,6,6,33.7,1.0,0.734099445537471,9310.8,0.734099445537471
7,2,5,6,33.7,0.6666666666666666,0.5668127347522804,9310.8,0.5668127347522804
7,3,4,6,33.7,0.3333333333333333,0.3411822571990699,9310.8,0.3411822571990699
7,4,3,6,33.7,0.16666666666666666,0.2429082453943838,9310.8,0.2429082453943838
7,5,2,6,33.7,0.0,0.05276336970130567,9310.8,0.05276336970130567
7,6,1,6,33.7,0.0,0.03671078519048471,9310.8,0.03671078519048471
7,7,0,6,33.7,0.0,0.01605258451082096,9310.8,0.01605258451082096
8,1,7,7,45.3,0.7142857142857143,0.7481136671177266,0.0,0.7481136671177266
8,2,6,7,45.3,0.7142857142857143,0.6111069012178619,0.0,0.6111069012178619
8,3,5,7,45.3,0.5714285714285714,0.33325033829499323,0.0,0.33325033829499323
8,4,4,7,45.3,0.2857142857142857,0.25029499323410015,0.0,0.25029499323410015
8,5,3,7,45.3,0.0,0.08906089309878214,0.0,0.08906089309878214
8,6,2,7,45.3,0.0,0.054278755074424895,0.0,0.054278755074424895
8,7,1,7,45.3,0.0,0.03478213802435724,0.0,0.03478213802435724
8,8,0,7,45.3,0.0,0.018035182679296345,0.0,0.018035182679296345
9,1,8,3,46.1,0.6666666666666666,0.7765475934994245,7531.0,0.7765475934994245
9,2,7,3,46.1,0.6666666666666666,0.6590124275708683,7531.0,0.6590124275708683
9,3,6,3,46.1,0.6666666666666666,0.3990771992118149,7531.0,0.3990771992118149
9,4,5,3,46.1,0.6666666666666666,0.3422752014359014,7531.0,0.3422752014359014
9,5,4,3,46.1,0.3333333333333333,0.1724057201943149,7531.0,0.1724057201943149
9,6,3,3,46.1,0.3333333333333333,0.13633259847435472,7531.0,0.13633259847435472
9,7,2,3,46.1,0.0,0.0989328286868135,7531.0,0.0989328286868135
9,8,1,3,46.1,0.0,0.08233021831164522,7531.0,0.08233021831164522
9,9,0,3,46.1,0.0,0.03142985348342665,7531.0,0.03142985348342665
10,1,9,8,46.5,0.875,0.8035492257262349,7862.8,0.8035492257262349
10,2,8,8,46.5,0.875,0.7217700915564599,7862.8,0.7217700915564599
10,3,7,8,46.5,0.375,0.45315737914924076,7862.8,0.45315737914924076
10,4,6,8,46.5,0.375,0.4000791228665084,7862.8,0.4000791228665084
10,5,5,8,46.5,0.25,0.2741701518405486,7862.8,0.2741701518405486
10,6,4,8,46.5,0.125,0.16747673410949096,7862.8,0.16747673410949096
10,7,3,8,46.5,0.125,0.13285106062318677,7862.8,0.13285106062318677
10,8,2,8,46.5,0.125,0.10181417429637164,7862.8,0.10181417429637164
10,9,1,8,46.5,0.0,0.0469179759617196,7862.8,0.0469179759617196
10,10,0,8,46.5,0.0,0.033382314155457594,7862.8,0.033382314155457594
11,1,10,10,49.7,0.8,0.7928555813038347,6607.3,0.7928555813038347
11,2,9,10,49.7,0.7,0.7160508941454243,6607.3,0.7160508941454243
11,3,8,10,49.7,0.2,0.47928818153994135,6607.3,0.47928818153994135
11,4,7,10,49.7,0.2,0.423199685190853,6607.3,0.423199685190853
11,5,6,10,49.7,0.2,0.30884526255957323,6607.3,0.30884526255957323
11,6,5,10,49.7,0.1,0.18989987320187132,6607.3,0.18989987320187132
11,7,4,10,49.7,0.1,0.14351799221721828,6607.3,0.14351799221721828
11,8,3,10,49.7,0.0,0.10721874863364084,6607.3,0.10721874863364084
11,9,2,10,49.7,0.0,0.05273053211490534,6607.3,0.05273053211490534
11,10,1,10,49.7,0.0,0.03655283984084648,6607.3,0.03655283984084648
11,11,0,10,49.7,0.0,0.01827641992042324,6607.3,0.01827641992042324
12,1,11,9,59.1,0.7777777777777778,0.7783609295815979,11808.2,0.7783609295815979
12,2,10,9,59.1,0.7777777777777778,0.7038510592670345,11808.2,0.7038510592670345
12,3,9,9,59.1,0.7777777777777778,0.4800618517139019,11808.2,0.4800618517139019
12,4,8,9,59.1,0.7777777777777778,0.4389552929491303,11808.2,0.4389552929491303
12,5,7,9,59.1,0.5555555555555556,0.3352690210950462,11808.2,0.3352690210950462
12,6,6,9,59.1,0.5555555555555556,0.22693822729376179,11808.2,0.22693822729376179
12,7,5,9,59.1,0.4444444444444444,0.16850077314642375,11808.2,0.16850077314642375
12,8,4,9,59.1,0.4444444444444444,0.13759184640910166,11808.2,0.13759184640910166
12,9,3,9,59.1,0.2222222222222222,0.08846600977437667,11808.2,0.08846600977437667
12,10,2,9,59.1,0.2222222222222222,0.0729353604442488,11808.2,0.0729353604442488
12,11,1,9,59.1,0.1111111111111111,0.05602207699861172,11808.2,0.05602207699861172
12,12,0,9,59.1,0.0,0.02607252903531642,11808.2,0.02607252903531642
13,1,12,16,60.4,0.75,0.8029317861924543,5280.5,0.8029317861924543
13,2,11,16,60.4,0.625,0.6840262281575062,5280.5,0.6840262281575062
13,3,10,16,60.4,0.4375,0.47361735727282095,5280.5,0.47361735727282095
13,4,9,16,60.4,0.4375,0.43319029146211674,5280.5,0.43319029146211674
