c,X,target,raw_N,pooled_N,match_N,reach_raw,reach_pooled,reach_pooled_match,exp_ret_match,net_raw,net_pooled,miss_cost_raw,reach_pooled_mono,reach_pooled_match_mono
5,1,6,25560,103876.0,2547,0.9768388106416276,0.9822899873983892,0.9696566648942293,0.8324492107499766,0.8610329031944275,0.8707870593535619,5.0,0.9822899873983892,0.9696566648942293
5,2,7,25560,103876.0,2547,0.9768388106416276,0.962272169066614,0.9557372547722869,1.6814640417340347,1.8378716707229614,1.6873042336066917,5.0,0.962272169066614,0.9557372547722869
5,3,8,25560,103876.0,2547,0.8618935837245696,0.8812879661726627,0.9045600039812434,2.1699209232310057,1.8951486349105835,1.867808951774344,5.0,0.8812879661726627,0.9045600039812434
5,4,9,25560,103876.0,2547,0.8618935837245696,0.826503454539293,0.8783847809490753,2.784845729513717,2.757042407989502,2.1574691150485172,5.0,0.826503454539293,0.8783847809490753
5,5,10,25560,103876.0,2547,0.7737480438184664,0.7760955753656439,0.8449961459970388,3.2964134872657,2.737480640411377,2.4405070391028554,5.0,0.7760955753656439,0.8449961459970388
5,6,11,25560,103876.0,2547,0.6843114241001564,0.7437678413933133,0.8151603202785784,3.803724464697314,2.5274252891540527,2.846644575056864,5.0,0.7437678413933133,0.8151603202785784
5,7,12,25560,103876.0,2547,0.6748043818466354,0.7355088289600958,0.8012558780872575,4.43689870948259,3.0976529121398926,3.4787223888568533,5.0,0.7355088289600958,0.8012558780872575
5,8,13,25560,103876.0,2547,0.6514475743348983,0.7099259112444136,0.7789059397671338,4.909090007741752,3.4688186645507812,3.828992127022472,5.0,0.7099259112444136,0.7789059397671338
5,9,14,25560,103876.0,2547,0.6514475743348983,0.6954860235961589,0.7683292573191136,5.521512673506017,4.120265960693359,4.311164168071563,5.0,0.6954860235961589,0.7683292573191136
5,10,15,25560,103876.0,2547,0.6386541471048514,0.6722229858680976,0.7511629977726223,6.0108364338808755,4.579812049865723,4.6163020557181,5.0,0.6722229858680976,0.7511629977726223
5,11,16,25560,103876.0,2547,0.6186619718309859,0.659633110388109,0.7273851745334637,6.349720558911052,4.8985915184021,5.068099667130817,5.0,0.659633110388109,0.7273851745334637
5,12,17,25560,103876.0,2547,0.6186619718309859,0.651840409935933,0.7182865339224883,6.90638728303741,5.517253398895264,5.582769136711273,5.0,0.651840409935933,0.7182865339224883
5,13,18,25560,103876.0,2547,0.5995696400625978,0.6321119172979849,0.70006727480357,7.269312905189753,5.792253494262695,5.857200445227857,5.0,0.6321119172979849,0.70006727480357
5,14,19,25560,103876.0,2547,0.5780907668231612,0.6089802998286481,0.6825968644716242,7.618531529637103,5.983724117279053,6.007697401763412,5.0,0.6089802998286481,0.6825968644716242
5,15,20,25560,103876.0,2547,0.5780907668231612,0.5941382115008741,0.6764343734865191,8.169342435760138,6.5618157386779785,6.304307936092682,5.0,0.5941382115008741,0.6764343734865191
5,16,21,25560,103876.0,2547,0.4780516431924883,0.5565689955883741,0.661323060352314,8.511988825383078,5.039084434509277,6.071752891722325,5.0,0.5565689955883741,0.661323060352314
5,17,22,25560,103876.0,2547,0.4760954616588419,0.5521173108730842,0.6545446229322578,9.013148800868722,5.474100112915039,6.522444012927468,5.0,0.5521173108730842,0.6545446229322578
5,18,23,25560,103876.0,2547,0.4760954616588419,0.5477974384965618,0.6459918725789198,9.46191149571339,5.9501953125,6.9686859148206,5.0,0.5477974384965618,0.6459918725789198
5,19,24,25560,103876.0,2547,0.4607981220657277,0.5417128048081099,0.6338041067861745,9.804359527640987,6.059154987335205,7.365811251686423,5.0,0.5417128048081099,0.6338041067861745
5,20,25,25560,103876.0,2547,0.4607981220657277,0.5375110253585982,0.6282611367970231,10.290538161378366,6.51995325088501,7.796307461217814,5.0,0.5375110253585982,0.6282611367970231
5,21,26,25560,103876.0,2547,0.4424491392801252,0.521330471807384,0.6159795974842536,10.57938347676484,6.503678321838379,7.879638172792054,5.0,0.521330471807384,0.6159795974842536
5,22,27,25560,103876.0,2547,0.4424491392801252,0.5122739448389344,0.6086138188144957,10.983780564257764,6.946126937866211,8.14074814357967,5.0,0.5122739448389344,0.6086138188144957
