c,seg1_mean_dc,seg1_std,seg1_event_N,seg2_mean_dc,seg2_std,seg2_event_N,pooled_event_N
5,0.17,3.55,58,0.32,4.43,56,59
6,1.96,10.29,76,0.99,5.74,74,77
7,1.6,9.45,94,0.99,5.71,92,96
8,1.38,9.1,109,1.35,5.91,107,112
9,1.6,9.37,114,1.41,5.93,112,116
10,1.28,9.63,116,1.82,6.71,115,120
11,1.16,9.4,124,1.7,6.82,123,128
12,0.9,9.21,135,2.25,7.91,134,139
13,-0.65,5.77,144,1.85,7.42,143,148
14,-0.75,6.09,159,2.47,8.44,158,163
15,-0.78,6.02,169,1.87,8.29,167,172
16,-1.14,6.0,187,1.67,8.57,184,191
17,-1.41,6.59,193,1.77,9.16,191,198
18,-1.34,8.66,204,1.83,9.17,202,211
19,-1.19,8.8,214,1.37,8.74,212,223
20,-0.15,10.74,227,1.69,10.85,225,236
21,0.17,11.19,234,0.81,10.77,232,244
22,0.5,11.17,261,1.18,11.55,260,272
23,0.92,11.09,261,1.21,11.53,261,271
24,0.94,12.32,278,1.06,11.96,277,285
25,0.81,11.35,308,1.73,13.33,307,313
26,0.95,11.75,311,1.59,13.94,310,314
27,0.74,11.34,323,0.77,13.47,322,328
28,0.42,11.0,342,1.1,13.55,341,345
29,0.32,11.19,345,0.46,13.8,344,347
30,0.17,12.18,362,0.82,14.29,361,365
31,0.93,11.95,360,0.65,14.53,360,364
32,0.31,12.06,362,-0.17,13.15,361,367
33,0.21,12.22,376,0.14,12.82,374,383
34,-0.13,11.61,391,0.87,12.67,388,396
35,0.38,12.15,385,0.14,12.76,382,391
36,0.03,12.52,383,0.26,12.06,380,391
37,0.3,12.33,397,-0.08,11.78,394,404
38,-0.23,11.85,419,0.31,11.11,416,426
39,0.26,12.29,421,0.56,12.08,419,429
40,-0.2,11.96,446,0.37,12.08,442,453
41,0.32,12.55,434,0.05,12.22,431,444
42,0.36,13.02,431,0.27,12.34,427,443
43,0.55,13.16,441,0.59,12.67,437,453
44,0.21,12.8,426,0.57,12.21,421,442
45,0.46,13.11,416,0.36,12.16,410,433
46,0.47,12.95,411,0.38,11.5,403,428
47,0.96,13.35,378,0.42,11.61,373,394
48,0.33,12.97,343,0.67,11.21,338,355
49,-0.04,10.96,298,0.73,9.37,294,308
50,0.41,9.35,246,0.58,6.75,242,254
51,0.18,10.18,237,0.44,7.71,232,243
52,-0.23,11.46,278,0.28,8.79,273,285
53,-0.21,12.55,327,-0.19,10.12,323,336
54,-0.11,13.32,380,-0.4,11.34,374,391
55,0.42,13.46,421,-0.38,11.77,413,436
56,0.65,13.54,441,-0.2,12.17,433,456
57,0.47,13.07,446,-0.37,12.18,439,458
58,0.56,12.89,455,-0.24,12.14,450,466
59,0.74,13.0,458,-0.78,12.63,452,468
60,0.93,12.82,475,-0.24,12.74,469,485
61,0.59,12.41,476,-0.26,12.51,470,486
62,0.42,12.37,456,-0.55,12.4,451,462
63,0.09,11.91,443,-0.51,11.76,439,450
64,0.03,12.39,449,-0.2,12.11,445,456
65,0.31,12.05,426,-0.5,11.85,422,434
66,0.05,12.16,430,-0.77,11.86,426,437
67,-0.21,11.99,404,-0.74,12.46,400,413
68,0.13,12.28,400,-0.85,12.83,396,407
69,-0.04,12.07,393,-0.69,13.28,390,404
70,-0.21,12.19,390,-1.07,13.48,387,400
71,-0.03,11.92,373,-1.33,13.39,370,383
72,-0.34,12.39,374,-1.21,13.7,371,383
73,-0.21,12.07,354,-0.49,13.31,352,363
74,-0.06,11.71,343,-1.12,12.42,340,350
75,-0.28,11.85,332,-1.05,11.66,331,339
76,-0.79,12.6,322,-1.16,11.24,321,325
77,-0.42,12.18,307,-0.87,10.48,304,312
78,-0.57,11.64,296,-1.06,9.8,293,301
79,-0.27,10.78,274,-1.03,9.04,271,278
80,0.18,10.65,261,-0.82,8.44,257,266
81,0.01,10.8,253,-1.18,8.85,250,257
82,0.56,9.52,233,-1.29,9.0,230,238
83,1.41,6.7,220,-1.57,7.86,217,227
84,1.38,6.6,196,-1.8,8.21,195,201
85,1.26,6.01,184,-1.73,8.39,181,188
86,1.01,5.84,171,-1.76,8.0,168,176
87,0.01,6.69,159,-1.97,8.11,157,163
88,0.11,6.58,148,-2.05,7.79,146,153
89,-0.44,6.93,136,-2.2,7.93,134,141
90,-0.66,7.07,122,-2.2,8.48,120,125
91,-0.93,7.0,116,-1.87,8.28,114,119
92,-1.16,7.4,93,-1.97,6.98,93,96
93,-1.38,7.75,77,-1.96,7.19,77,79
94,-0.6,5.28,58,-2.84,7.73,58,60
