c,X,target,raw_N,pooled_N,match_N,reach_raw,reach_pooled,reach_pooled_match,exp_ret_match,roc_match,net_raw,net_pooled,miss_cost_raw,reach_pooled_mono,reach_pooled_match_mono,W,xpos
5,11,16,65,321.3,18,0.7692307692307693,0.9004548719176443,0.8552479815455591,8.562668204536715,1.712533640907343,7.307692307692308,9.313047641848216,5.0,0.9004548719176443,0.8552479815455591,94,-36.5
5,12,17,65,321.3,18,0.7692307692307693,0.9004548719176443,0.8552479815455591,9.417916186082275,1.883583237216455,8.076923076923078,10.21350251376586,5.0,0.9004548719176443,0.8552479815455591,94,-35.5
5,13,18,65,321.3,18,0.7692307692307693,0.8924587024180033,0.8121876201460976,9.412725874663591,1.8825451749327182,8.846153846153847,10.951496289202778,5.0,0.8924587024180033,0.8121876201460976,94,-34.5
5,14,19,65,321.3,18,0.5692307692307692,0.8519990423749102,0.78719723183391,9.750096116878122,1.9500192233756244,5.815384615384615,11.075221450802012,5.0,0.8519990423749102,0.78719723183391,94,-33.5
5,15,20,65,321.3,18,0.5692307692307692,0.8438113478573139,0.78719723183391,10.537293348712033,2.1074586697424067,6.384615384615384,11.755278908307398,5.0,0.8438113478573139,0.78719723183391,94,-32.5
5,16,21,65,321.3,18,0.49230769230769234,0.8203495331577687,0.7410611303344866,10.292195309496346,2.058439061899269,5.338461538461539,12.082690926502275,5.0,0.8203495331577687,0.7410611303344866,94,-31.5
5,17,22,65,321.3,18,0.49230769230769234,0.8105817572420396,0.7279892349096501,10.719530949634756,2.143906189926951,5.830769230769231,12.668613837682548,5.0,0.8105817572420396,0.7279892349096501,94,-30.5
5,18,23,65,321.3,18,0.49230769230769234,0.7970313622216902,0.7279892349096501,11.447520184544404,2.289504036908881,6.323076923076924,13.148719176442421,5.0,0.7970313622216902,0.7279892349096501,94,-29.5
5,19,24,65,321.3,18,0.4,0.7783576729710318,0.7029988465974625,11.575740099961552,2.3151480199923102,4.6000000000000005,13.49758199664831,5.0,0.7783576729710318,0.7029988465974625,94,-28.5
5,20,25,65,321.3,18,0.4,0.7678237969834809,0.6818531334102268,11.686658977316414,2.3373317954632826,5.0,13.980991141967918,5.0,0.7678237969834809,0.6818531334102268,94,-27.5
5,21,26,65,321.3,18,0.4,0.760928896337084,0.6818531334102268,12.368512110726643,2.4737024221453288,5.4,14.55049078285851,5.0,0.760928896337084,0.6818531334102268,94,-26.5
5,22,27,65,321.3,18,0.4,0.7516878142207326,0.6818531334102268,13.050365244136868,2.6100730488273736,5.800000000000001,15.046157529327264,5.0,0.7516878142207326,0.6818531334102268,94,-25.5
5,23,28,65,321.3,18,0.4,0.7353124251855399,0.6818531334102268,13.732218377547095,2.7464436755094193,6.200000000000001,15.322959061527412,5.0,0.7353124251855399,0.6818531334102268,94,-24.5
5,24,29,65,321.3,18,0.36923076923076925,0.7290878621019871,0.6818531334102268,14.41407151095732,2.882814302191464,5.707692307692309,15.877759157289919,5.0,0.7290878621019871,0.6818531334102268,94,-23.5
5,25,30,65,321.3,18,0.36923076923076925,0.7274598994493655,0.6687812379853901,14.677623990772778,2.935524798154556,6.076923076923078,16.554752214508017,5.0,0.7274598994493655,0.6687812379853901,94,-22.5
5,26,31,65,321.3,18,0.36923076923076925,0.7141010294469714,0.6476355247981544,14.627450980392155,2.9254901960784307,6.446153846153848,16.83892745989945,5.0,0.7141010294469714,0.6476355247981544,94,-21.5
5,27,32,65,321.3,18,0.36923076923076925,0.680632032559253,0.6134179161860822,14.090542099192616,2.818108419838523,6.815384615384616,16.391381374192004,5.0,0.680632032559253,0.6134179161860822,94,-20.5
5,28,33,65,321.3,18,0.36923076923076925,0.6355278908307397,0.5784313725490196,13.501345636293731,2.7002691272587462,7.184615384615386,15.504285372276753,5.0,0.6355278908307397,0.5784313725490196,94,-19.5
5,29,34,65,321.3,18,0.3230769230769231,0.5770648790998323,0.5315263360246059,12.463091118800458,2.4926182237600916,5.984615384615385,14.102944697151065,5.0,0.5770648790998323,0.5315263360246059,94,-18.5
5,30,35,65,321.3,18,0.13846153846153847,0.5397175005985156,0.5065359477124182,12.119953863898498,2.4239907727796997,-0.1538461538461542,13.372851328704812,5.0,0.5397175005985156,0.5065359477124182,94,-17.5
5,31,36,65,321.3,18,0.13846153846153847,0.5397175005985156,0.5065359477124182,12.626489811610918,2.525297962322184,-0.015384615384616218,13.912568829303327,5.0,0.5397175005985156,0.5065359477124182,94,-16.5
5,32,37,65,321.3,18,0.13846153846153847,0.5397175005985156,0.5065359477124182,13.133025759323337,2.626605151864667,0.12307692307692264,14.452286329901842,5.0,0.5397175005985156,0.5065359477124182,94,-15.5
5,33,38,65,321.3,18,0.13846153846153847,0.5397175005985156,0.5065359477124182,13.639561707035753,2.7279123414071504,0.2615384615384615,14.992003830500359,5.0,0.5397175005985156,0.5065359477124182,94,-14.5
5,34,39,65,321.3,18,0.13846153846153847,0.5397175005985156,0.5065359477124182,14.146097654748173,2.8292195309496346,0.39999999999999947,15.531721331098874,5.0,0.5397175005985156,0.5065359477124182,94,-13.5
5,35,40,65,321.3,18,0.13846153846153847,0.5397175005985156,0.5065359477124182,14.65263360246059,2.930526720492118,0.5384615384615383,16.07143883169739,5.0,0.5397175005985156,0.5065359477124182,94,-12.5
5,36,41,65,321.3,18,0.13846153846153847,0.5370840316016279,0.4853902345251826,14.228758169934638,2.8457516339869278,0.6769230769230763,16.495283696432846,5.0,0.5370840316016279,0.4853902345251826,94,-11.5
5,37,42,65,321.3,18,0.13846153846153847,0.5370840316016279,0.4853902345251826,14.71414840445982,2.942829680891964,0.8153846153846152,17.032367728034473,5.0,0.5370840316016279,0.4853902345251826,94,-10.5
5,38,43,65,321.3,18,0.13846153846153847,0.5370840316016279,0.4853902345251826,15.199538638985002,3.0399077277970004,0.9538461538461531,17.569451759636102,5.0,0.5370840316016279,0.4853902345251826,94,-9.5
5,39,44,65,321.3,18,0.13846153846153847,0.5318170936078525,0.4853902345251826,15.684928873510188,3.1369857747020378,1.092307692307692,17.858989705530284,5.0,0.5318170936078525,0.4853902345251826,94,-8.5
5,40,45,65,321.3,18,0.13846153846153847,0.5285611683026094,0.4853902345251826,16.17031910803537,3.234063821607074,1.23076923076923,18.237778309791715,5.0,0.5285611683026094,0.4853902345251826,94,-7.5
5,41,46,65,321.3,18,0.13846153846153847,0.525831936796744,0.4853902345251826,16.655709342560552,3.3311418685121104,1.3692307692307688,18.63806559731865,5.0,0.525831936796744,0.4853902345251826,94,-6.5
5,42,47,65,321.3,18,0.12307692307692308,0.5227196552549677,0.46039984621299496,15.966551326412915,3.193310265282583,0.7846153846153845,19.017620301651903,5.0,0.5227196552549677,0.46039984621299496,94,-5.5
5,43,48,65,321.3,18,0.12307692307692308,0.5227196552549677,0.46039984621299496,16.426951172625913,3.2853902345251824,0.907692307692308,19.540339956906873,5.0,0.5227196552549677,0.46039984621299496,94,-4.5
5,44,49,65,321.3,18,0.12307692307692308,0.5227196552549677,0.46039984621299496,16.887351018838906,3.377470203767781,1.0307692307692307,20.06305961216184,5.0,0.5227196552549677,0.46039984621299496,94,-3.5
5,45,50,65,321.3,18,0.12307692307692308,0.5227196552549677,0.46039984621299496,17.3477508650519,3.46955017301038,1.1538461538461533,20.585779267416804,5.0,0.5227196552549677,0.46039984621299496,94,-2.5
5,46,51,65,321.3,18,0.12307692307692308,0.5199904237491022,0.4494425221068819,17.238369857747017,3.4476739715494036,1.2769230769230768,20.96657888436677,5.0,0.5199904237491022,0.4494425221068819,94,-1.5
5,47,52,65,321.3,18,0.12307692307692308,0.5199904237491022,0.4494425221068819,17.6878123798539,3.5375624759707796,1.4000000000000004,21.48656930811587,5.0,0.5199904237491022,0.4494425221068819,94,-0.5
5,48,53,65,321.3,18,0.12307692307692308,0.5183624610964807,0.4363706266820453,17.41830065359477,3.483660130718954,1.523076923076923,21.917021785970793,5.0,0.5183624610964807,0.4363706266820453,94,0.5
5,49,54,65,321.3,18,0.12307692307692308,0.5156332295906152,0.4363706266820453,17.85467128027681,3.570934256055362,1.6461538461538456,22.28527651424467,5.0,0.5156332295906152,0.4363706266820453,94,1.5
5,50,55,65,321.3,18,0.12307692307692308,0.5129039980847497,0.4144559784698192,17.063821607074203,3.4127643214148407,1.7692307692307692,22.648072779506826,5.0,0.5129039980847497,0.4144559784698192,94,2.5
5,51,56,65,321.3,18,0.12307692307692308,0.5129039980847497,0.4144559784698192,17.47827758554402,3.495655517108804,1.8923076923076927,23.16097677759157,5.0,0.5129039980847497,0.4144559784698192,94,3.5
5,52,57,65,321.3,18,0.12307692307692308,0.5101747665788843,0.39254133025759314,16.62168396770473,3.324336793540946,2.0153846153846153,23.515585348336128,5.0,0.5101747665788843,0.39254133025759314,94,4.5
5,53,58,65,321.3,18,0.1076923076923077,0.49887479051951156,0.35659361783929255,14.918300653594766,2.9836601307189534,1.2461538461538462,23.362173808953795,5.0,0.49887479051951156,0.35659361783929255,94,5.5
5,54,59,65,321.3,18,0.1076923076923077,0.49887479051951156,0.35659361783929255,15.27489427143406,3.054978854286812,1.3538461538461544,23.861048599473307,5.0,0.49887479051951156,0.35659361783929255,94,6.5
5,55,60,65,321.3,18,0.1076923076923077,0.49887479051951156,0.35659361783929255,15.631487889273355,3.126297577854671,1.4615384615384617,24.35992338999282,5.0,0.49887479051951156,0.35659361783929255,94,7.5
5,56,61,65,321.3,18,0.1076923076923077,0.49887479051951156,0.35659361783929255,15.988081507112646,3.197616301422529,1.569230769230769,24.858798180512327,5.0,0.49887479051951156,0.35659361783929255,94,8.5
5,57,62,65,321.3,18,0.1076923076923077,0.49341632750778064,0.34563629373317956,15.65436370626682,3.1308727412533637,1.6769230769230772,25.01378980129279,5.0,0.49341632750778064,0.34563629373317956,94,9.5
5,58,63,65,321.3,18,0.1076923076923077,0.49341632750778064,0.34563629373317956,15.999999999999996,3.1999999999999993,1.7846153846153845,25.50720612880058,5.0,0.49341632750778064,0.34563629373317956,94,10.5
5,59,64,65,321.3,18,0.1076923076923077,0.49341632750778064,0.34563629373317956,16.345636293733175,3.269127258746635,1.8923076923076927,26.000622456308356,5.0,0.49341632750778064,0.34563629373317956,94,11.5
5,60,65,65,321.3,18,0.1076923076923077,0.49341632750778064,0.34563629373317956,16.691272587466358,3.3382545174932714,2.0,26.494038783816137,5.0,0.49341632750778064,0.34563629373317956,94,12.5
5,61,66,65,321.3,18,0.1076923076923077,0.49341632750778064,0.34563629373317956,17.036908881199537,3.4073817762399075,2.107692307692308,26.987455111323914,5.0,0.49341632750778064,0.34563629373317956,94,13.5
5,62,67,65,321.3,18,0.1076923076923077,0.47977016997845334,0.3346789696270665,16.63744713571703,3.327489427143406,2.2153846153846155,26.55293272683744,5.0,0.47977016997845334,0.3346789696270665,94,14.5
5,63,68,65,321.3,18,0.1076923076923077,0.47977016997845334,0.3346789696270665,16.9721261053441,3.3944252210688197,2.3230769230769237,27.03270289681589,5.0,0.47977016997845334,0.3346789696270665,94,15.5
5,64,69,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,16.53979238754325,3.30795847750865,2.430769230769231,26.9393344505626,5.0,0.47158247546085696,0.32372164552095345,94,16.5
5,65,70,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,16.863514033064202,3.3727028066128404,2.5384615384615383,27.410916926023457,5.0,0.47158247546085696,0.32372164552095345,94,17.5
5,66,71,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,17.187235678585157,3.4374471357170315,2.6461538461538465,27.882499401484313,5.0,0.47158247546085696,0.32372164552095345,94,18.5
5,67,72,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,17.51095732410611,3.502191464821222,2.753846153846154,28.354081876945173,5.0,0.47158247546085696,0.32372164552095345,94,19.5
5,68,73,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,17.834678969627063,3.5669357939254125,2.861538461538462,28.82566435240603,5.0,0.47158247546085696,0.32372164552095345,94,20.5
5,69,74,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,18.158400615148015,3.6316801230296027,2.9692307692307693,29.297246827866886,5.0,0.47158247546085696,0.32372164552095345,94,21.5
5,70,75,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,18.48212226066897,3.696424452133794,3.0769230769230775,29.768829303327742,5.0,0.47158247546085696,0.32372164552095345,94,22.5
5,71,76,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,18.805843906189924,3.761168781237985,3.184615384615385,30.240411778788605,5.0,0.47158247546085696,0.32372164552095345,94,23.5
5,72,77,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,19.12956555171088,3.8259131103421757,3.292307692307693,30.711994254249454,5.0,0.47158247546085696,0.32372164552095345,94,24.5
5,73,78,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,19.45328719723183,3.890657439446366,3.4000000000000004,31.183576729710317,5.0,0.47158247546085696,0.32372164552095345,94,25.5
5,74,79,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,19.777008842752785,3.955401768550557,3.5076923076923077,31.655159205171167,5.0,0.47158247546085696,0.32372164552095345,94,26.5
5,75,80,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,20.100730488273737,4.020146097654747,3.615384615384615,32.12674168063203,5.0,0.47158247546085696,0.32372164552095345,94,27.5
5,76,81,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,20.42445213379469,4.084890426758938,3.723076923076924,32.59832415609289,5.0,0.47158247546085696,0.32372164552095345,94,28.5
5,77,82,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,20.748173779315646,4.149634755863129,3.8307692307692314,33.06990663155375,5.0,0.47158247546085696,0.32372164552095345,94,29.5
5,78,83,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,21.0718954248366,4.21437908496732,3.9384615384615387,33.5414891070146,5.0,0.47158247546085696,0.32372164552095345,94,30.5
5,79,84,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,21.395617070357552,4.279123414071511,4.046153846153846,34.013071582475455,5.0,0.47158247546085696,0.32372164552095345,94,31.5
5,80,85,65,321.3,18,0.1076923076923077,0.47158247546085696,0.32372164552095345,21.719338715878504,4.343867743175701,4.153846153846155,34.48465405793631,5.0,0.47158247546085696,0.32372164552095345,94,32.5
5,81,86,65,321.3,18,0.1076923076923077,0.4557816614795307,0.3131487889273356,21.10207612456747,4.220415224913494,4.261538461538462,33.54996408905913,5.0,0.4557816614795307,0.3131487889273356,94,33.5
5,82,87,65,321.3,18,0.1076923076923077,0.44065118506104867,0.28508266051518644,18.91772395232603,3.7835447904652058,4.36923076923077,32.65922911180272,5.0,0.44065118506104867,0.28508266051518644,94,34.5
5,83,88,65,321.3,18,0.1076923076923077,0.4237491022264783,0.26758938869665516,17.639369473279505,3.527873894655901,4.476923076923077,31.59233899928178,5.0,0.4237491022264783,0.26758938869665516,94,35.5
5,84,89,65,321.3,18,0.1076923076923077,0.37462293512090017,0.2566320645905421,16.920799692425987,3.3841599384851975,4.584615384615384,27.594733062006224,5.0,0.37462293512090017,0.2566320645905421,94,36.5
5,85,90,65,321.3,18,0.1076923076923077,0.37462293512090017,0.2566320645905421,17.17743175701653,3.4354863514033065,4.692307692307693,27.969355997127124,5.0,0.37462293512090017,0.2566320645905421,94,37.5
5,86,91,65,321.3,18,0.1076923076923077,0.3719894661240124,0.2354863514033064,15.446366782006919,3.089273356401384,4.800000000000001,28.096432846540573,5.0,0.3719894661240124,0.2354863514033064,94,38.5
5,87,92,65,321.3,18,0.1076923076923077,0.3703615034713909,0.22241445597846982,14.453094963475584,2.8906189926951167,4.907692307692308,28.31539382331817,5.0,0.3703615034713909,0.22241445597846982,94,39.5
5,88,93,65,321.3,18,0.1076923076923077,0.36490304045966004,0.20049980776624374,12.615532487504804,2.5231064975009607,5.015384615384615,28.17265980368685,5.0,0.36490304045966004,0.20049980776624374,94,40.5
5,89,94,65,321.3,18,0.1076923076923077,0.36490304045966004,0.20049980776624374,12.81603229527105,2.56320645905421,5.123076923076923,28.537562844146517,5.0,0.36490304045966004,0.20049980776624374,94,41.5
5,90,95,65,321.3,18,0.1076923076923077,0.36490304045966004,0.20049980776624374,13.016532103037292,2.6033064206074585,5.230769230769232,28.902465884606176,5.0,0.36490304045966004,0.20049980776624374,94,42.5
5,91,96,65,321.3,18,0.1076923076923077,0.36490304045966004,0.20049980776624374,13.217031910803536,2.6434063821607072,5.338461538461539,29.26736892506584,5.0,0.36490304045966004,0.20049980776624374,94,43.5
5,92,97,65,321.3,18,0.1076923076923077,0.3892371705963939,0.1978361669242658,13.61617722823287,2.7232354456465737,5.446153846153846,32.24687933425797,5.0,0.36490304045966004,0.1978361669242658,94,44.5
5,93,98,65,321.3,18,0.1076923076923077,0.4020040872832751,0.21406727828746175,15.629969418960243,3.1259938837920487,5.553846153846154,34.04693783373986,5.0,0.36490304045966004,0.1978361669242658,94,45.5
5,94,99,65,321.3,18,0.1076923076923077,0.1076923076923077,0.08333333333333333,3.25,0.65,5.661538461538463,5.661538461538463,5.0,0.1076923076923077,0.08333333333333333,94,46.5
6,1,7,192,379.0,18,1.0,0.9937066300240467,0.9924162874810406,0.9544977248862443,0.15908295414770737,1.0,0.9465475781518378,0.0,0.9937066300240467,0.9924162874810406,93,-46.0
6,2,8,192,379.0,18,0.9895833333333334,0.9839230504981105,0.9924162874810406,1.9469140123672852,0.32448566872788087,1.916666666666667,1.8508004122294743,6.0,0.9839230504981105,0.9924162874810406,93,-45.0
6,3,9,192,379.0,18,0.9895833333333334,0.969165235314325,0.9848325749620815,2.878660599696652,0.47977676661610863,2.90625,2.6919546547578146,6.0,0.969165235314325,0.9848325749620815,93,-44.0
6,4,10,192,379.0,18,0.953125,0.9461490896599106,0.9561311398903279,3.5378602263446504,0.5896433710574417,3.53125,3.4240742013053933,6.0,0.9461490896599106,0.9561311398903279,93,-43.0
6,5,11,192,379.0,18,0.953125,0.9416832703538303,0.9561311398903279,4.493991366234979,0.7489985610391631,4.484375,4.325565097904501,6.0,0.9416832703538303,0.9561311398903279,93,-42.0
6,6,12,192,379.0,18,0.953125,0.9377258673995189,0.9409637148524091,5.283280830708202,0.8805468051180337,5.4375,5.215032634833391,6.0,0.9377258673995189,0.9409637148524091,93,-41.0
6,7,13,192,379.0,18,0.953125,0.9355547921676399,0.9409637148524091,6.2242445455606115,1.0373740909267686,6.390625,6.1180212985228435,6.0,0.9355547921676399,0.9409637148524091,93,-40.0
6,8,14,192,379.0,18,0.953125,0.9324493301271038,0.9409637148524091,7.165208260413021,1.1942013767355035,7.34375,7.008780487804876,6.0,0.9324493301271038,0.9409637148524091,93,-39.0
6,9,15,192,379.0,18,0.9479166666666666,0.9254689110271384,0.9409637148524091,8.106171975265429,1.3510286625442383,8.21875,7.823497080041221,6.0,0.9254689110271384,0.9409637148524091,93,-38.0
6,10,16,192,379.0,18,0.9479166666666666,0.8831604259704569,0.9225294598063236,8.696884844242211,1.4494808073737018,9.166666666666666,7.951013397457917,6.0,0.8831604259704569,0.9225294598063236,93,-37.0
6,11,17,192,379.0,18,0.9479166666666666,0.8808244589488149,0.9026951347567378,9.242562128106407,1.5404270213510678,10.114583333333332,8.789790450017176,6.0,0.8808244589488149,0.9026951347567378,93,-36.0
6,12,18,192,379.0,18,0.9479166666666666,0.8612847818619032,0.8842608797106521,9.758137906895344,1.6263563178158906,11.0625,9.260281690140845,6.0,0.8612847818619032,0.8842608797106521,93,-35.0
6,13,19,192,379.0,18,0.9427083333333334,0.8539745791824115,0.8420254346050635,9.800256679500643,1.6333761132501072,11.911458333333334,9.97332875300584,6.0,0.8539745791824115,0.8420254346050635,93,-34.0
6,14,20,192,379.0,18,0.9427083333333334,0.8423634489866022,0.8344417220861043,10.498191576245476,1.7496985960409128,12.854166666666668,10.60669185846788,6.0,0.8423634489866022,0.8344417220861043,93,-33.0
6,15,21,192,379.0,18,0.9270833333333334,0.832277567846101,0.8252245945630614,11.111422237778557,1.851903706296426,13.46875,11.230738577808312,6.0,0.832277567846101,0.8252245945630614,93,-32.0
6,16,22,192,379.0,18,0.9270833333333334,0.8208038474750945,0.7978065569945164,11.301365068253412,1.883560844708902,14.395833333333334,11.801044314668498,6.0,0.8208038474750945,0.7978065569945164,93,-31.0
6,17,23,192,379.0,18,0.9270833333333334,0.8075300583991756,0.7790222844475558,11.648349084120873,1.9413915140201456,15.322916666666668,12.303277224321535,6.0,0.8075300583991756,0.7790222844475558,93,-30.0
6,18,24,192,379.0,18,0.90625,0.7946410168327035,0.7790222844475558,12.427371368568428,2.071228561428071,15.75,12.796798351082101,6.0,0.7946410168327035,0.7790222844475558,93,-29.0
6,19,25,192,379.0,18,0.90625,0.7892820336654071,0.7714385719285964,13.02438455256096,2.17073075876016,16.65625,13.462823771899693,6.0,0.7892820336654071,0.7714385719285964,93,-28.0
6,20,26,192,379.0,18,0.90625,0.7777670903469597,0.7516042468790106,13.240462023101156,2.2067436705168593,17.5625,13.927516317416693,6.0,0.7777670903469597,0.7516042468790106,93,-27.0
6,21,27,192,379.0,18,0.90625,0.7708828581243559,0.7516042468790106,13.992066269980166,2.3320110449966944,18.46875,14.507852971487461,6.0,0.7708828581243559,0.7516042468790106,93,-26.0
6,22,28,192,379.0,18,0.9010416666666666,0.7593953967708691,0.7516042468790106,14.743670516859176,2.457278419476529,19.229166666666664,14.948237718996905,6.0,0.7593953967708691,0.7516042468790106,93,-25.0
6,23,29,192,379.0,18,0.8697916666666666,0.741394709721745,0.7516042468790106,15.495274763738184,2.582545793956364,19.223958333333332,15.179099965647541,6.0,0.741394709721745,0.7516042468790106,93,-24.0
6,24,30,192,379.0,18,0.8697916666666666,0.7396083819993129,0.7516042468790106,16.2468790106172,2.7078131684362,20.09375,15.868691171418755,6.0,0.7396083819993129,0.7516042468790106,93,-23.0
6,25,31,192,379.0,18,0.8697916666666666,0.7352250085881141,0.7143857192859644,15.770621864426554,2.6284369774044256,20.963541666666664,16.463689453795947,6.0,0.7352250085881141,0.7143857192859644,93,-22.0
6,26,32,192,379.0,18,0.859375,0.7164273445551356,0.6761171391902929,15.165441605413603,2.5275736009022673,21.5,16.563833734111984,6.0,0.7164273445551356,0.6761171391902929,93,-21.0
6,27,33,192,379.0,18,0.859375,0.6821298522844382,0.6374985415937464,14.50869210127173,2.4181153502119552,22.359375,16.093122638268635,6.0,0.6821298522844382,0.6374985415937464,93,-20.0
6,28,34,192,379.0,18,0.8385416666666666,0.625118515973892,0.5963131489907828,13.727103021817756,2.287850503636293,22.510416666666664,14.790408794228787,6.0,0.625118515973892,0.5963131489907828,93,-19.0
6,29,35,192,379.0,18,0.7447916666666666,0.574950188938509,0.5663283164158208,13.281530743203827,2.213588457200638,20.067708333333332,13.66231535554792,6.0,0.574950188938509,0.5663283164158208,93,-18.0
6,30,36,192,379.0,18,0.7447916666666666,0.564232222603916,0.5587446038968615,13.582429121456073,2.2637381869093454,20.8125,13.862136722775679,6.0,0.564232222603916,0.5587446038968615,93,-17.0
6,31,37,192,379.0,18,0.7447916666666666,0.564232222603916,0.5587446038968615,14.141173725352935,2.3568622875588225,21.557291666666664,14.426368945379593,6.0,0.564232222603916,0.5587446038968615,93,-16.0
6,32,38,192,379.0,18,0.7447916666666666,0.564232222603916,0.5587446038968615,14.699918329249796,2.4499863882082993,22.302083333333332,14.990601167983506,6.0,0.564232222603916,0.5587446038968615,93,-15.0
6,33,39,192,379.0,18,0.7447916666666666,0.562061147372037,0.5587446038968615,15.258662933146658,2.5431104888577765,23.046875,15.463648230848504,6.0,0.562061147372037,0.5587446038968615,93,-14.0
6,34,40,192,379.0,18,0.7447916666666666,0.562061147372037,0.5587446038968615,15.817407537043517,2.6362345895072528,23.791666666666664,16.02570937822054,6.0,0.562061147372037,0.5587446038968615,93,-13.0
6,35,41,192,379.0,18,0.7447916666666666,0.562061147372037,0.5587446038968615,16.37615214094038,2.72935869015673,24.536458333333332,16.58777052559258,6.0,0.562061147372037,0.5587446038968615,93,-12.0
6,36,42,192,379.0,18,0.7447916666666666,0.559725180350395,0.5389102788472757,16.062186442655467,2.677031073775911,25.28125,17.047049124012364,6.0,0.559725180350395,0.5389102788472757,93,-11.0
6,37,43,192,379.0,18,0.7447916666666666,0.559725180350395,0.5389102788472757,16.601096721502742,2.76684945358379,26.026041666666664,17.60677430436276,6.0,0.559725180350395,0.5389102788472757,93,-10.0
6,38,44,192,379.0,18,0.7447916666666666,0.5532119546547578,0.5389102788472757,17.140007000350018,2.8566678333916697,26.770833333333332,17.860377877018205,6.0,0.5532119546547578,0.5389102788472757,93,-9.0
6,39,45,192,379.0,18,0.7447916666666666,0.5485400206114737,0.5389102788472757,17.678917279197293,2.946486213199549,27.515625,18.19400893163861,6.0,0.5485400206114737,0.5389102788472757,93,-8.0
6,40,46,192,379.0,18,0.7447916666666666,0.544115424252834,0.5389102788472757,18.21782755804457,3.036304593007428,28.260416666666664,18.53459292339402,6.0,0.544115424252834,0.5389102788472757,93,-7.0
6,41,47,192,379.0,18,0.7395833333333334,0.5414771556166265,0.5389102788472757,18.756737836891844,3.1261229728153075,28.760416666666668,18.9547097217451,6.0,0.5414771556166265,0.5389102788472757,93,-6.0
6,42,48,192,379.0,18,0.7395833333333334,0.5405839917554104,0.5313265663283164,18.939213627348035,3.1565356045580057,29.5,19.454208175884574,6.0,0.5405839917554104,0.5313265663283164,93,-5.0
