c,X,target,raw_N,pooled_N,match_N,reach_raw,reach_pooled,reach_pooled_match,exp_ret_match,roc_match,net_raw,net_pooled,miss_cost_raw,reach_pooled_mono,reach_pooled_match_mono,W,xpos
5,1,6,65,321.3,18,0.9692307692307692,0.9911419679195594,0.9750096116878124,0.8500576701268743,0.17001153402537486,0.8153846153846154,0.9389514005266937,5.0,0.9911419679195594,0.9750096116878124,94,-46.5
5,2,7,65,321.3,18,0.9692307692307692,0.9830500359109409,0.9750096116878124,1.8250672818146867,0.36501345636293736,1.7846153846153845,1.860090974383529,5.0,0.9830500359109409,0.9750096116878124,94,-45.5
5,3,8,65,321.3,18,0.9076923076923077,0.9614555901364615,0.9500192233756247,2.6001537870049973,0.5200307574009995,2.2615384615384615,2.6494613358870005,5.0,0.9614555901364615,0.9500192233756247,94,-44.5
5,4,9,65,321.3,18,0.9076923076923077,0.9380895379458942,0.9263744713571703,3.279507881584006,0.6559015763168012,3.169230769230769,3.3703615034713907,5.0,0.9380895379458942,0.9263744713571703,94,-43.5
5,5,10,65,321.3,18,0.8307692307692308,0.9225281302370123,0.9263744713571703,4.205882352941177,0.8411764705882353,3.3076923076923084,4.152836964328466,5.0,0.9225281302370123,0.9263744713571703,94,-42.5
5,6,11,65,321.3,18,0.8,0.9163035671534595,0.876393694732795,4.582468281430219,0.9164936562860438,3.8000000000000007,5.0068949006463965,5.0,0.9163035671534595,0.876393694732795,94,-41.5
5,7,12,65,321.3,18,0.8,0.9163035671534595,0.876393694732795,5.458861976163013,1.0917723952326026,4.6000000000000005,5.923198467799856,5.0,0.9163035671534595,0.876393694732795,94,-40.5
5,8,13,65,321.3,18,0.7846153846153846,0.9115633229590616,0.876393694732795,6.335255670895809,1.267051134179162,5.199999999999999,6.774622935120899,5.0,0.9115633229590616,0.876393694732795,94,-39.5
5,9,14,65,321.3,18,0.7846153846153846,0.908834091453196,0.876393694732795,7.211649365628604,1.4423298731257208,5.984615384615385,7.645247785491979,5.0,0.908834091453196,0.876393694732795,94,-38.5
5,10,15,65,321.3,18,0.7692307692307693,0.9030883409145318,0.876393694732795,8.088043060361398,1.6176086120722797,6.538461538461538,8.459995211874551,5.0,0.9030883409145318,0.876393694732795,94,-37.5
