c,raw_N,pooled_N,raw_tickers,pooled_tickers,pool_mult
5,25560,103876.0,2130,4378,4.06
6,34898,118472.7,3727,4402,3.39
7,34302,149294.5,2756,4549,4.35
8,28842,183467.2,2288,4587,6.36
9,27024,179082.0,2027,4505,6.63
10,32547,156413.3,2373,3845,4.81
11,21794,152559.7,2128,3534,7.0
12,17448,150170.5,2164,3433,8.61
13,20614,150725.2,2066,3400,7.31
14,23431,143194.0,2022,3304,6.11
15,26612,148376.3,2108,3257,5.58
16,25838,161071.6,2087,3239,6.23
17,24397,169021.1,1988,3254,6.93
18,26552,176513.3,1990,3272,6.65
19,30251,185724.6,1947,3295,6.14
20,32917,194789.6,2148,3283,5.92
21,31940,197348.3,2055,3260,6.18
22,32779,215710.6,2118,3541,6.58
23,33141,230225.3,2043,3550,6.95
24,31094,229054.0,2001,3547,7.37
25,45770,229127.4,2508,3540,5.01
26,43309,245266.8,2228,3543,5.66
27,37855,251747.3,2164,3561,6.65
28,40386,264041.3,2176,3604,6.54
29,41100,262216.1,2136,3480,6.38
30,44773,257365.6,2273,3500,5.75
31,41524,264421.3,2232,3490,6.37
32,41529,280473.8,2191,3522,6.75
33,41718,284353.3,2246,3517,6.82
34,44419,291293.2,2169,3505,6.56
35,53489,311614.5,2295,3469,5.83
36,50689,320796.3,2273,3477,6.33
37,51830,331055.3,2227,3502,6.39
38,54566,335688.5,2267,3511,6.15
39,55347,339042.4,2248,3507,6.13
40,54718,330436.3,2386,3470,6.04
41,50399,345988.4,2247,3461,6.86
42,56398,347778.5,2268,3554,6.17
43,53882,337310.1,2138,3538,6.26
44,51967,327059.3,2187,3495,6.29
45,53393,300750.3,2358,3467,5.63
46,43262,283636.6,2211,3423,6.56
47,41814,269968.8,2139,3545,6.46
48,32948,257437.5,2151,3570,7.81
49,31454,244328.7,2137,3536,7.77
50,36920,242461.8,2435,3508,6.57
51,38240,261199.2,2245,3478,6.83
52,44336,280706.3,2207,3484,6.33
53,45230,308775.0,2198,3474,6.83
54,52098,323407.1,2203,3412,6.21
55,57916,336575.3,2279,3393,5.81
56,60209,345060.8,2240,3394,5.73
57,54514,361552.4,2178,3413,6.63
58,53630,365078.7,2188,3395,6.81
59,53076,353131.6,2159,3378,6.65
60,60766,351019.5,2331,3317,5.78
61,55149,347666.9,2168,3303,6.3
62,53790,340201.2,2156,3297,6.32
63,57674,330328.9,2098,3288,5.73
64,45997,314887.7,2059,3247,6.85
65,43748,296901.8,2139,3217,6.79
66,44689,282083.7,2102,3203,6.31
67,41562,275848.8,2025,3214,6.64
68,39469,269136.3,1975,3175,6.82
69,40675,260435.6,1996,3134,6.4
70,45034,256399.2,2066,3108,5.69
71,40906,247499.8,1935,3068,6.05
72,36504,236785.6,1948,3049,6.49
73,38611,226113.9,1894,3013,5.86
74,30619,211099.4,1839,2969,6.89
75,29233,198273.7,1903,2958,6.78
76,30910,188332.7,1833,2927,6.09
77,28265,183842.3,1771,2909,6.5
78,24671,173358.2,1724,2874,7.03
79,26851,167460.6,1712,2836,6.24
80,29535,159571.2,1849,2812,5.4
81,22461,151568.5,1727,2793,6.75
82,23918,151644.0,1698,2770,6.34
83,21505,140709.5,1689,2753,6.54
84,21411,126388.0,1630,2721,5.9
85,18750,119880.5,1747,2699,6.39
86,17957,115862.4,1629,2687,6.45
87,14571,116990.7,1617,2662,8.03
88,15868,115826.4,1614,2651,7.3
89,20249,116587.2,1571,2620,5.76
90,20740,108459.5,1631,2599,5.23
91,20358,109388.6,1543,2578,5.37
92,17754,98633.9,1552,2496,5.56
93,14739,79969.4,1575,2399,5.43
94,14255,58953.6,1494,2294,4.14
