tbin,match_N,mean_paired_yes_bid_sum,mean_paired_mid_sum,hazard_frac,mean_own_spread,mean_partner_spread
240,480,0.9723859935530498,1.0006814827372428,0.007888764880952382,0.0282219392169856,0.029071152604973716
180,503,0.9736948412085749,1.0021524248144436,0.013700373088915922,0.03042307459834987,0.028982881514937678
120,480,0.973350986030359,1.0015796211308141,0.013207847322430657,0.030816136389036537,0.028636032932597137
90,527,0.9680044949802368,0.999252871067379,0.009071673734928946,0.030647240828757024,0.03189075409240917
60,506,0.966878953636127,0.9996801179850232,0.004931464155557642,0.031733778266693886,0.03284681491528217
45,515,0.969797487650602,0.9998504332250572,0.008680842742849807,0.030044784154756036,0.02962153693498561
30,479,0.9640820327738756,0.9984398128340283,0.018338392247852747,0.032932171726125364,0.03475881867079526
20,417,0.9637812076254287,0.9976566413416288,0.01123101518784972,0.033904876099120705,0.03349823522373774
15,413,0.965435296782071,0.9979485997873095,0.015234059725585149,0.03227441485068604,0.03247113907597778
10,370,0.9671410614525139,0.9974224860335196,0.014054054054054054,0.03008828828828829,0.0303584729981378
7,349,0.9640957966764419,0.9966984359726295,0.01002865329512894,0.03191021967526265,0.03313782991202346
5,328,0.9671354166666667,0.9973906250000001,0.012703252032520323,0.0300635162601626,0.030309895833333333
3,259,0.96284,0.99544,0.011583011583011582,0.03316602316602316,0.03204
2,242,0.9610878661087866,0.997907949790795,0.008264462809917356,0.03700413223140496,0.03654811715481171
