anchor_c,reliable_depth,reliable_fill,reliable_cost,reliable_roc_at_cost,reliable_roc_lift,reliable_combined_roc,aggr_depth,aggr_fill,aggr_lift,aggr_capped,roc_anchor,env_med_dip_bid,match_N
5,0,0.4569,5,0.557,0.0,0.557,0,0.4569,0.0,False,0.557,2.0,487
6,0,0.4755,6,0.5508,0.0,0.5508,1,0.3695,0.0023,False,0.5508,2.0,526
7,0,0.4822,7,0.4619,0.0,0.4619,1,0.3914,0.0348,False,0.4619,2.0,607
8,1,0.4034,7,0.4619,0.0286,0.4195,2,0.3317,0.0531,False,0.3909,3.0,649
9,1,0.4194,8,0.3909,0.0171,0.3672,3,0.2808,0.0564,False,0.3501,3.0,649
10,1,0.4266,9,0.3501,0.0243,0.3175,4,0.2586,0.0666,False,0.2932,3.0,638
11,1,0.4366,10,0.2932,0.0204,0.2669,5,0.2267,0.069,False,0.2466,2.5,651
12,1,0.4608,11,0.2466,0.0104,0.2344,6,0.2142,0.07,False,0.2241,5.0,680
13,2,0.4103,11,0.2466,0.02,0.2178,7,0.1978,0.0699,False,0.1978,2.0,706
14,2,0.4304,12,0.2241,0.022,0.195,8,0.1903,0.0719,False,0.173,2.0,713
15,3,0.4037,12,0.2241,0.0272,0.1839,9,0.1781,0.0702,False,0.1567,5.0,728
16,3,0.421,13,0.1978,0.0278,0.1596,10,0.1739,0.0729,False,0.1318,3.0,748
17,3,0.4271,14,0.173,0.0224,0.143,11,0.1687,0.0726,False,0.1207,6.0,791
18,3,0.4274,15,0.1567,0.0189,0.1314,12,0.1511,0.0662,True,0.1124,2.0,825
19,4,0.4017,15,0.1567,0.0222,0.1237,12,0.1696,0.0611,True,0.1016,3.0,836
20,4,0.4097,16,0.1318,0.01,0.1173,12,0.1891,0.0536,True,0.1073,3.0,850
21,4,0.4062,17,0.1207,0.0085,0.1082,12,0.1977,0.0495,True,0.0998,3.0,873
22,4,0.4108,18,0.1124,0.0044,0.1061,12,0.208,0.0398,True,0.1017,2.0,917
23,0,0.6713,23,0.113,0.0,0.113,12,0.2203,0.0294,True,0.113,2.0,933
24,1,0.5736,23,0.113,0.0028,0.1109,12,0.2261,0.0262,True,0.1081,4.0,967
25,2,0.5137,23,0.113,0.0076,0.1058,12,0.2354,0.0234,True,0.0982,3.0,983
26,3,0.4713,23,0.113,0.0078,0.1042,12,0.241,0.0185,True,0.0964,2.0,995
27,4,0.4306,23,0.113,0.009,0.1011,12,0.2472,0.016,True,0.0921,3.0,1014
28,5,0.4032,23,0.113,0.0122,0.095,12,0.2571,0.0126,True,0.0828,2.0,1031
29,5,0.4062,24,0.1081,0.0128,0.0894,6,0.3802,0.0138,False,0.0766,3.0,1032
30,5,0.4062,25,0.0982,0.0114,0.0816,7,0.3621,0.0155,False,0.0702,3.0,1064
31,5,0.4049,26,0.0964,0.013,0.0772,8,0.3448,0.0168,False,0.0642,3.0,1085
32,4,0.4218,28,0.0828,0.0085,0.0711,9,0.3289,0.0166,False,0.0626,2.0,1105
33,4,0.4181,29,0.0766,0.0071,0.0667,10,0.3155,0.0168,False,0.0596,2.0,1103
34,4,0.4089,30,0.0702,0.0065,0.0608,11,0.3026,0.0178,False,0.0543,3.0,1091
35,4,0.4047,31,0.0642,0.0031,0.0597,12,0.2907,0.0164,True,0.0566,2.0,1117
36,4,0.4057,32,0.0626,0.0058,0.0541,12,0.29,0.0174,True,0.0482,3.0,1110
37,2,0.4915,35,0.0566,0.004,0.0525,12,0.2848,0.0142,True,0.0485,2.0,1129
38,3,0.4324,35,0.0566,0.0038,0.0517,12,0.2765,0.0134,True,0.0479,3.0,1137
39,2,0.4795,37,0.0485,0.0013,0.0471,12,0.2673,0.0124,True,0.0458,3.0,1119
40,2,0.4849,38,0.0479,0.0021,0.0456,12,0.256,0.0101,True,0.0435,3.0,1095
41,3,0.4283,38,0.0479,0.0028,0.0441,12,0.2478,0.0087,True,0.0413,3.0,1074
42,3,0.4288,39,0.0458,0.002,0.0431,12,0.2428,0.0071,True,0.0411,3.0,1054
43,3,0.4278,40,0.0435,0.0002,0.0432,12,0.2374,0.005,True,0.043,3.0,1010
44,1,0.5849,43,0.043,0.0032,0.0408,12,0.2344,0.0059,True,0.0376,3.0,968
45,2,0.4928,43,0.043,0.0023,0.0406,12,0.2339,0.005,True,0.0383,3.0,912
46,0,0.7062,46,0.0431,0.0,0.0431,11,0.2477,0.0033,False,0.0431,3.0,830
47,0,0.708,47,0.0571,0.0,0.0571,0,0.708,0.0,False,0.0571,4.0,788
48,0,0.6944,48,0.0616,0.0,0.0616,0,0.6944,0.0,False,0.0616,4.0,730
49,0,0.6863,49,0.0679,0.0,0.0679,0,0.6863,0.0,False,0.0679,3.0,687
50,0,0.6916,50,0.069,0.0,0.069,0,0.6916,0.0,False,0.069,4.0,716
51,0,0.6874,51,0.0738,0.0,0.0738,0,0.6874,0.0,False,0.0738,4.0,771
52,1,0.5721,51,0.0738,0.0004,0.0734,1,0.5721,0.0004,False,0.073,4.0,852
53,2,0.4752,51,0.0738,0.0002,0.0735,2,0.4752,0.0002,False,0.0733,3.0,933
54,0,0.6563,54,0.0756,0.0,0.0756,0,0.6563,0.0,False,0.0756,3.0,986
55,0,0.6509,55,0.0777,0.0,0.0777,0,0.6509,0.0,False,0.0777,3.0,1048
56,1,0.5169,55,0.0777,0.0014,0.0763,1,0.5169,0.0014,False,0.0749,4.0,1069
57,0,0.665,57,0.0798,0.0,0.0798,0,0.665,0.0,False,0.0798,4.0,1131
58,0,0.668,58,0.0821,0.0,0.0821,0,0.668,0.0,False,0.0821,3.0,1167
59,0,0.6515,59,0.0857,0.0,0.0857,0,0.6515,0.0,False,0.0857,3.0,1172
60,1,0.5242,59,0.0857,0.0006,0.0851,1,0.5242,0.0006,False,0.0844,3.0,1152
61,2,0.4372,59,0.0857,0.0006,0.0849,2,0.4372,0.0006,False,0.0844,3.0,1152
62,0,0.6342,62,0.085,0.0,0.085,3,0.3878,0.0003,False,0.085,4.0,1135
63,0,0.6553,63,0.0901,0.0,0.0901,0,0.6553,0.0,False,0.0901,4.0,1135
64,0,0.6748,64,0.0947,0.0,0.0947,0,0.6748,0.0,False,0.0947,3.0,1109
65,1,0.5416,64,0.0947,0.0008,0.094,1,0.5416,0.0008,False,0.0931,4.0,1091
66,2,0.4585,64,0.0947,0.0015,0.0928,2,0.4585,0.0015,False,0.0913,3.0,1066
67,3,0.4038,64,0.0947,0.0026,0.0909,3,0.4038,0.0026,False,0.0883,4.0,1048
68,3,0.4077,65,0.0931,0.003,0.0888,4,0.3724,0.0033,False,0.0858,4.0,1027
69,3,0.4126,66,0.0913,0.0034,0.0864,5,0.352,0.0041,False,0.083,4.0,1002
70,3,0.4172,67,0.0883,0.0034,0.0835,6,0.3357,0.0049,False,0.0801,4.0,972
71,3,0.4254,68,0.0858,0.003,0.0818,7,0.3189,0.0051,False,0.0788,3.0,949
72,3,0.4314,69,0.083,0.0017,0.0807,8,0.3023,0.0047,False,0.079,3.5,933
73,3,0.4276,70,0.0801,0.0004,0.0796,9,0.2823,0.0044,False,0.0792,3.0,906
74,1,0.5263,73,0.0792,0.0002,0.079,10,0.2617,0.0041,False,0.0788,4.0,878
75,0,0.6675,75,0.0799,0.0,0.0799,11,0.245,0.0036,False,0.0799,4.0,847
76,0,0.6863,76,0.0836,0.0,0.0836,12,0.2222,0.0025,True,0.0836,4.0,799
77,1,0.5596,76,0.0836,0.0005,0.0832,12,0.2162,0.0022,True,0.0828,6.5,787
78,2,0.4749,76,0.0836,0.0002,0.0834,12,0.2147,0.0017,True,0.0832,4.0,745
79,0,0.655,79,0.0844,0.0,0.0844,12,0.2129,0.0008,True,0.0844,3.0,710
80,0,0.64,80,0.0847,0.0,0.0847,12,0.2171,0.0002,True,0.0847,3.0,676
81,1,0.5367,80,0.0847,0.0005,0.0843,1,0.5367,0.0005,False,0.0837,5.0,639
82,2,0.4618,80,0.0847,0.0026,0.0817,2,0.4618,0.0026,False,0.079,5.0,614
83,3,0.4117,80,0.0847,0.0021,0.0817,3,0.4117,0.0021,False,0.0795,4.0,579
84,3,0.4088,81,0.0837,0.0029,0.0795,4,0.3701,0.003,False,0.0766,5.0,530
85,2,0.4803,83,0.0795,0.0024,0.0769,5,0.3322,0.0034,False,0.0746,19.5,502
86,3,0.4078,83,0.0795,0.0038,0.074,5,0.3182,0.0043,False,0.0702,3.5,471
87,3,0.405,84,0.0766,0.0053,0.0688,6,0.2884,0.0058,False,0.0635,11.0,440
88,2,0.462,86,0.0702,0.006,0.0632,5,0.3108,0.0069,False,0.0572,8.5,414
89,2,0.4533,87,0.0635,0.0053,0.0571,4,0.3383,0.0077,False,0.0519,21.0,387
90,2,0.4602,88,0.0572,0.004,0.0525,5,0.3001,0.0078,False,0.0485,11.0,371
91,2,0.457,89,0.0519,0.0039,0.0472,6,0.2635,0.0082,False,0.0433,14.0,346
92,2,0.4479,90,0.0485,0.0049,0.0424,7,0.2244,0.0083,False,0.0374,22.0,316
