c,D,time_bin_min_before_start,match_N,reach_dip_by_time_raw
5,3,240,26,0.0
5,3,180,26,0.0
5,3,120,26,0.0
5,3,90,26,0.038461538461538464
5,3,60,26,0.038461538461538464
5,3,40,26,0.07692307692307693
5,3,30,26,0.07692307692307693
5,3,20,26,0.07692307692307693
5,3,10,26,0.07692307692307693
5,3,5,26,0.07692307692307693
5,3,2,26,0.07692307692307693
5,3,1,26,0.07692307692307693
5,5,240,26,0.0
5,5,180,26,0.0
5,5,120,26,0.0
5,5,90,26,0.0
5,5,60,26,0.0
5,5,40,26,0.0
5,5,30,26,0.0
5,5,20,26,0.0
5,5,10,26,0.0
5,5,5,26,0.0
5,5,2,26,0.0
5,5,1,26,0.0
6,3,240,27,0.0
6,3,180,27,0.0
6,3,120,27,0.0
6,3,90,27,0.0
6,3,60,27,0.037037037037037035
6,3,40,27,0.14814814814814814
6,3,30,27,0.18518518518518517
6,3,20,27,0.2222222222222222
6,3,10,27,0.2222222222222222
6,3,5,27,0.2222222222222222
6,3,2,27,0.25925925925925924
6,3,1,27,0.25925925925925924
6,5,240,27,0.0
6,5,180,27,0.0
6,5,120,27,0.0
6,5,90,27,0.0
6,5,60,27,0.0
6,5,40,27,0.037037037037037035
6,5,30,27,0.07407407407407407
6,5,20,27,0.1111111111111111
6,5,10,27,0.1111111111111111
6,5,5,27,0.1111111111111111
6,5,2,27,0.1111111111111111
6,5,1,27,0.1111111111111111
7,3,240,31,0.0
7,3,180,31,0.03225806451612903
7,3,120,31,0.06451612903225806
7,3,90,31,0.0967741935483871
7,3,60,31,0.16129032258064516
7,3,40,31,0.16129032258064516
7,3,30,31,0.22580645161290322
7,3,20,31,0.25806451612903225
7,3,10,31,0.2903225806451613
7,3,5,31,0.3548387096774194
7,3,2,31,0.3548387096774194
7,3,1,31,0.3548387096774194
7,5,240,31,0.0
7,5,180,31,0.0
7,5,120,31,0.0
7,5,90,31,0.06451612903225806
7,5,60,31,0.12903225806451613
