c,offset,p1_downtravel_med,full_downtravel_med,fill_prob_p1,fill_prob_full,event_N,offset_vs_p1travel
5,3,2.0,3.0,0.411,0.611,90,TOO-DEEP
6,3,2.0,3.0,0.466,0.644,118,TOO-DEEP
7,3,2.0,3.0,0.469,0.641,145,TOO-DEEP
8,3,2.0,3.0,0.453,0.642,179,TOO-DEEP
9,3,2.0,4.0,0.486,0.676,185,TOO-DEEP
10,3,3.0,4.0,0.51,0.703,202,inside
11,3,3.0,4.0,0.524,0.716,208,inside
12,3,3.0,5.0,0.53,0.735,215,inside
13,3,3.0,4.5,0.517,0.746,236,inside
14,3,3.0,4.0,0.504,0.734,252,inside
15,2,3.0,4.0,0.691,0.868,265,inside
16,2,3.0,5.0,0.688,0.862,276,inside
17,2,3.0,5.0,0.691,0.856,285,inside
18,2,3.0,5.0,0.678,0.856,292,inside
19,2,3.0,5.0,0.669,0.853,299,inside
20,2,3.0,5.0,0.707,0.86,300,inside
21,2,3.0,6.0,0.718,0.866,305,inside
22,2,3.0,6.0,0.707,0.852,311,inside
23,2,3.0,5.0,0.716,0.85,327,inside
24,2,3.0,5.0,0.697,0.829,340,inside
25,2,3.0,4.0,0.708,0.832,363,inside
26,2,3.0,4.0,0.722,0.84,381,inside
27,2,3.0,4.0,0.699,0.834,392,inside
28,2,3.0,4.0,0.685,0.829,426,inside
29,2,3.0,4.0,0.69,0.83,436,inside
30,2,3.0,5.0,0.686,0.831,456,inside
31,2,3.0,5.0,0.678,0.845,472,inside
32,2,3.0,5.0,0.669,0.841,483,inside
33,2,3.0,5.0,0.671,0.844,508,inside
34,2,3.0,5.0,0.677,0.844,533,inside
35,3,3.0,5.0,0.54,0.755,515,inside
36,3,3.0,5.0,0.551,0.749,534,inside
37,3,3.0,5.0,0.547,0.746,548,inside
38,3,3.0,5.0,0.555,0.736,560,inside
39,3,3.0,5.0,0.546,0.729,575,inside
40,3,3.0,5.0,0.546,0.723,575,inside
41,3,3.0,5.0,0.562,0.73,585,inside
42,3,3.0,5.0,0.556,0.725,599,inside
43,3,3.0,5.0,0.538,0.722,608,inside
44,3,3.0,5.0,0.539,0.72,601,inside
45,7,3.0,5.0,0.219,0.388,590,TOO-DEEP
46,7,3.0,5.0,0.222,0.4,580,TOO-DEEP
47,7,3.0,5.0,0.241,0.435,547,TOO-DEEP
48,7,3.0,6.0,0.257,0.441,483,TOO-DEEP
49,7,3.0,6.0,0.254,0.438,425,TOO-DEEP
50,7,3.0,6.0,0.276,0.48,348,TOO-DEEP
51,7,3.0,6.0,0.235,0.446,327,TOO-DEEP
52,7,3.0,5.0,0.22,0.416,373,TOO-DEEP
53,7,3.0,5.0,0.19,0.369,452,TOO-DEEP
54,7,3.0,4.0,0.182,0.355,544,TOO-DEEP
55,4,2.0,4.0,0.356,0.517,609,TOO-DEEP
56,4,2.0,4.0,0.352,0.512,648,TOO-DEEP
57,4,2.0,4.0,0.345,0.514,698,TOO-DEEP
58,4,2.0,4.0,0.35,0.524,701,TOO-DEEP
59,4,2.0,4.0,0.353,0.531,729,TOO-DEEP
60,4,2.0,4.0,0.351,0.54,718,TOO-DEEP
61,4,2.0,4.0,0.354,0.548,706,TOO-DEEP
62,4,2.0,5.0,0.351,0.554,710,TOO-DEEP
63,4,2.0,4.0,0.363,0.557,711,TOO-DEEP
64,4,2.0,4.0,0.35,0.551,683,TOO-DEEP
65,2,2.0,4.0,0.617,0.78,687,inside
66,2,2.0,4.0,0.607,0.767,647,inside
67,2,2.0,4.0,0.576,0.753,660,inside
68,2,2.0,4.0,0.578,0.753,649,inside
69,2,2.0,4.0,0.585,0.756,620,inside
70,2,2.0,4.0,0.556,0.745,593,inside
71,2,2.0,4.0,0.567,0.756,573,inside
72,2,2.0,4.0,0.548,0.736,535,inside
73,2,2.0,4.0,0.554,0.755,514,inside
74,2,2.0,4.0,0.593,0.771,472,inside
75,3,2.0,4.0,0.426,0.646,458,TOO-DEEP
76,3,2.0,5.0,0.426,0.657,434,TOO-DEEP
77,3,2.0,5.0,0.447,0.675,409,TOO-DEEP
78,3,2.0,5.0,0.456,0.681,379,TOO-DEEP
79,3,2.0,5.0,0.463,0.697,350,TOO-DEEP
80,3,2.0,5.0,0.472,0.706,343,TOO-DEEP
81,3,2.0,4.0,0.435,0.668,340,TOO-DEEP
82,3,2.0,4.0,0.447,0.681,342,TOO-DEEP
83,3,2.0,4.0,0.46,0.676,324,TOO-DEEP
84,3,2.0,4.0,0.462,0.669,305,TOO-DEEP
85,7,2.0,4.0,0.213,0.347,291,TOO-DEEP
86,7,2.0,5.0,0.22,0.368,291,TOO-DEEP
87,7,2.0,4.5,0.224,0.368,272,TOO-DEEP
88,7,3.0,5.0,0.241,0.379,253,TOO-DEEP
89,7,3.0,5.0,0.251,0.389,211,TOO-DEEP
90,7,3.0,5.0,0.232,0.36,211,TOO-DEEP
91,7,3.0,5.0,0.25,0.375,208,TOO-DEEP
92,7,3.0,5.0,0.253,0.379,182,TOO-DEEP
93,7,3.0,5.0,0.269,0.372,145,TOO-DEEP
94,7,3.0,5.0,0.261,0.365,115,TOO-DEEP
