c,D,fill,match_N,env_med_dip
5,0,0.5204686512022022,486,3.0
5,1,0.4300400967640274,486,3.0
5,2,0.3691923663578019,486,3.0
5,3,0.2904210260334638,486,3.0
5,4,0.22074664155062712,486,3.0
6,0,0.5521813065035437,519,2.0
6,1,0.4550575857558468,519,2.0
6,2,0.3840757784166188,519,2.0
6,3,0.31131145901161217,519,2.0
6,4,0.24029094306807466,519,2.0
6,5,0.20663432218867403,519,2.0
7,0,0.5486065191762733,599,3.0
7,1,0.47162755929400935,599,3.0
7,2,0.39602570839164847,599,3.0
7,3,0.3246006224836688,599,3.0
7,4,0.2671831871418438,599,3.0
7,5,0.21659355254810916,599,3.0
7,6,0.18289158970909472,599,3.0
8,0,0.5639686053809494,645,3.0
8,1,0.47188843068816594,645,3.0
8,2,0.40860208636066786,645,3.0
8,3,0.33488247973774865,645,3.0
8,4,0.27862167351315104,645,3.0
8,5,0.2333560394571807,645,3.0
8,6,0.1911578887778231,645,3.0
8,7,0.15927687277387184,645,3.0
9,0,0.5851294329866276,672,2.5
9,1,0.49047973599739747,672,2.5
9,2,0.4215257753036906,672,2.5
9,3,0.35988597186537197,672,2.5
9,4,0.30727329083695837,672,2.5
9,5,0.25050245802819904,672,2.5
9,6,0.21602786655510378,672,2.5
9,7,0.16857330833174752,672,2.5
9,8,0.1484205082057637,672,2.5
10,0,0.5870078879695666,675,3.0
10,1,0.4967538254572066,675,3.0
10,2,0.43063196044526303,675,3.0
10,3,0.36831847336823614,675,3.0
10,4,0.3309721418673645,675,3.0
10,5,0.27236977932896184,675,3.0
10,6,0.2307636463380244,675,3.0
10,7,0.1909746915042776,675,3.0
10,8,0.1590979537844292,675,3.0
10,9,0.13163075869586957,675,3.0
11,0,0.6061850417087954,688,3.0
11,1,0.5027636952503857,688,3.0
11,2,0.43960981753063794,688,3.0
11,3,0.3857794000926166,688,3.0
11,4,0.34276498315246884,688,3.0
11,5,0.2960252662186525,688,3.0
11,6,0.2502659539410776,688,3.0
11,7,0.20251730834515172,688,3.0
11,8,0.1756685468442233,688,3.0
11,9,0.14131925703468945,688,3.0
11,10,0.11921023468405599,688,3.0
12,0,0.6104879537527755,759,2.5
12,1,0.5287111161705849,759,2.5
12,2,0.45539941942538137,759,2.5
12,3,0.405159054237594,759,2.5
12,4,0.3611916591220059,759,2.5
12,5,0.30919010438204586,759,2.5
12,6,0.27463432635639584,759,2.5
12,7,0.22474726827723554,759,2.5
12,8,0.18592586116838833,759,2.5
12,9,0.1599692855042995,759,2.5
12,10,0.13236329460286625,759,2.5
12,11,0.11138301653856002,759,2.5
13,0,0.620067556157877,783,4.0
13,1,0.5335624588743842,783,4.0
13,2,0.4691415138398769,783,4.0
13,3,0.4126151584681589,783,4.0
13,4,0.37392241669989085,783,4.0
13,5,0.32484763178495113,783,4.0
13,6,0.28677819205363636,783,4.0
13,7,0.24561121454520082,783,4.0
13,8,0.20396309318221587,783,4.0
13,9,0.16969272072777797,783,4.0
13,10,0.1453819347279539,783,4.0
13,11,0.11816253462905897,783,4.0
13,12,0.09464940647552945,783,4.0
14,0,0.6192847239855203,800,2.0
14,1,0.53985145604089,800,2.0
14,2,0.47478288029373233,800,2.0
14,3,0.429671790654284,800,2.0
14,4,0.3820199791325399,800,2.0
14,5,0.33807098082305875,800,2.0
14,6,0.29668959390843935,800,2.0
14,7,0.2556612161100388,800,2.0
14,8,0.22193337842382516,800,2.0
14,9,0.18684593507718192,800,2.0
14,10,0.15016789092595048,800,2.0
14,11,0.12967011705523845,800,2.0
14,12,0.10279046890057966,800,2.0
15,0,0.6127778362304577,831,3.0
15,1,0.5362617493346378,831,3.0
15,2,0.4850511916972574,831,3.0
15,3,0.4364929491240659,831,3.0
15,4,0.3927712671245429,831,3.0
15,5,0.3425113793924371,831,3.0
15,6,0.30470088445692367,831,3.0
15,7,0.26817449670957544,831,3.0
15,8,0.2311351422137887,831,3.0
15,9,0.2025717492148329,831,3.0
15,10,0.16468118662867864,831,3.0
15,11,0.13617775540364713,831,3.0
15,12,0.1162974750383463,831,3.0
16,0,0.6219586544786986,852,2.0
16,1,0.5370074920623871,852,2.0
16,2,0.4870533524111253,852,2.0
16,3,0.44483174616448196,852,2.0
16,4,0.401385870767734,852,2.0
16,5,0.3577900989401341,852,2.0
16,6,0.31471580750984834,852,2.0
16,7,0.28198245962373825,852,2.0
16,8,0.2466723257654296,852,2.0
16,9,0.21316132050212813,852,2.0
16,10,0.18274879385107332,852,2.0
16,11,0.15439762169282045,852,2.0
16,12,0.12774051797626979,852,2.0
17,0,0.6181281402082641,875,3.0
17,1,0.5529640709014343,875,3.0
17,2,0.49509924863118693,875,3.0
17,3,0.450993316835082,875,3.0
17,4,0.4166763191919961,875,3.0
17,5,0.3728198212005334,875,3.0
17,6,0.33506213199516477,875,3.0
17,7,0.2968721831421062,875,3.0
17,8,0.2628108205436449,875,3.0
17,9,0.22944510418747585,875,3.0
17,10,0.1950721292799076,875,3.0
17,11,0.17301071972920065,875,3.0
17,12,0.14504102341721098,875,3.0
18,0,0.6277672959801891,913,3.0
18,1,0.5532280122476778,913,3.0
18,2,0.5066614097166682,913,3.0
18,3,0.45577477784385095,913,3.0
18,4,0.420906065803723,913,3.0
18,5,0.38578772915274506,913,3.0
18,6,0.35020591011117175,913,3.0
18,7,0.3153228913386021,913,3.0
18,8,0.27593975490709316,913,3.0
18,9,0.24147232813178324,913,3.0
