c,D,target_below,match_N,pooled_N,reach_dip_raw,reach_dip_pooled_match,mean_premkt_volume,reach_dip_pooled_match_mono
5,1,4,39,141.7,0.717948717948718,0.6573394982910863,6292.4,0.6573394982910863
5,2,3,39,141.7,0.48717948717948717,0.5211491038389287,6292.4,0.5211491038389287
5,3,2,39,141.7,0.28205128205128205,0.2946045672037922,6292.4,0.2946045672037922
5,4,1,39,141.7,0.10256410256410256,0.1251499230516355,6292.4,0.1251499230516355
5,5,0,39,141.7,0.0,0.02825664161829831,6292.4,0.02825664161829831
6,1,5,36,178.5,0.6666666666666666,0.691218094677779,3982.1,0.691218094677779
6,2,4,36,178.5,0.5277777777777778,0.5145032918793836,3982.1,0.5145032918793836
6,3,3,36,178.5,0.3055555555555556,0.3305614489300785,3982.1,0.3305614489300785
6,4,2,36,178.5,0.1388888888888889,0.16908700827593084,3982.1,0.16908700827593084
6,5,1,36,178.5,0.027777777777777776,0.06589584711662083,3982.1,0.06589584711662083
6,6,0,36,178.5,0.0,0.02195233582863249,3982.1,0.02195233582863249
7,1,6,41,221.7,0.6829268292682927,0.7182999119042126,4060.1,0.7182999119042126
7,2,5,41,221.7,0.5121951219512195,0.5418805571539539,4060.1,0.5418805571539539
7,3,4,41,221.7,0.2926829268292683,0.3336799322183413,4060.1,0.3336799322183413
7,4,3,41,221.7,0.12195121951219512,0.1998019509554417,4060.1,0.1998019509554417
7,5,2,41,221.7,0.04878048780487805,0.09747550141936454,4060.1,0.09747550141936454
7,6,1,41,221.7,0.024390243902439025,0.04686449113029363,4060.1,0.04686449113029363
7,7,0,41,221.7,0.0,0.024693652676972055,4060.1,0.024693652676972055
8,1,7,50,288.2,0.56,0.7345427328793163,4443.8,0.7345427328793163
8,2,6,50,288.2,0.56,0.5531589653041264,4443.8,0.5531589653041264
8,3,5,50,288.2,0.3,0.36714034661384115,4443.8,0.36714034661384115
8,4,4,50,288.2,0.14,0.22781691634433676,4443.8,0.22781691634433676
8,5,3,50,288.2,0.04,0.14236681666223325,4443.8,0.14236681666223325
8,6,2,50,288.2,0.04,0.0823415006983099,4443.8,0.0823415006983099
8,7,1,50,288.2,0.02,0.04957366029750419,4443.8,0.04957366029750419
8,8,0,50,288.2,0.0,0.028594829216350797,4443.8,0.028594829216350797
9,1,8,46,301.1,0.8478260869565217,0.7532266989321618,6982.3,0.7532266989321618
9,2,7,46,301.1,0.4782608695652174,0.5553363043121988,6982.3,0.5553363043121988
9,3,6,46,301.1,0.4782608695652174,0.38076607360649745,6982.3,0.38076607360649745
9,4,5,46,301.1,0.34782608695652173,0.2510102989710353,6982.3,0.2510102989710353
9,5,4,46,301.1,0.21739130434782608,0.16357411841575367,6982.3,0.16357411841575367
9,6,3,46,301.1,0.043478260869565216,0.10232233387400033,6982.3,0.10232233387400033
9,7,2,46,301.1,0.043478260869565216,0.06249311913692191,6982.3,0.06249311913692191
9,8,1,46,301.1,0.021739130434782608,0.033895266002063454,6982.3,0.033895266002063454
9,9,0,46,301.1,0.0,0.005496083780313004,6982.3,0.005496083780313004
10,1,9,49,321.1,0.8571428571428571,0.7781507158371318,3164.3,0.7781507158371318
10,2,8,49,321.1,0.673469387755102,0.571343603097882,3164.3,0.571343603097882
10,3,7,49,321.1,0.3469387755102041,0.41834727788144843,3164.3,0.41834727788144843
10,4,6,49,321.1,0.3469387755102041,0.27361236450589904,3164.3,0.27361236450589904
10,5,5,49,321.1,0.24489795918367346,0.20057062391018388,3164.3,0.20057062391018388
10,6,4,49,321.1,0.16326530612244897,0.12508986203309982,3164.3,0.12508986203309982
10,7,3,49,321.1,0.08163265306122448,0.08527221822835408,3164.3,0.08527221822835408
10,8,2,49,321.1,0.04081632653061224,0.052468433570926,3164.3,0.052468433570926
