c,tbin,dbucket,occ_N,fill_reach,deepen_frac,extra_dip,mean_vol,present_N,occupancy,match_N,fill_reach_pooled,occupancy_pooled,pooled_N
5,180,-4,1,1.0,0.0,0.0,0.0,10,0.1,1,1.0,0.07694234463080717,136.7
5,180,-2,1,1.0,1.0,2.0,0.0,10,0.1,1,0.8638991066736731,0.11417913102186573,136.7
5,180,-1,4,1.0,0.75,0.75,53920.1,10,0.4,4,0.908382916780892,0.49436767214991173,136.7
5,180,0,9,1.0,0.7777777777777778,1.3333333333333333,65952.00962236746,10,0.9,9,1.0,0.8163925665115778,136.7
5,180,1,5,1.0,1.0,2.6714285714285717,93792.91428571429,10,0.5,5,1.0,0.3413076825298337,136.7
5,180,2,1,1.0,1.0,6.0,0.0,10,0.1,1,1.0,0.09216436608810533,136.7
5,240,-2,1,1.0,0.0,0.0,47095.0,10,0.1,1,1.0,0.10604539101797232,136.7
5,240,-1,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,26405.888888888887,10,0.3,3,0.8400956158855362,0.3771977082704129,136.7
5,240,0,10,1.0,0.8823529411764707,1.3823529411764706,56042.0672523727,10,1.0,10,1.0,0.9577147375164333,136.7
5,240,1,3,1.0,1.0,2.0,118493.29166666667,10,0.3,3,1.0,0.3727817836500318,136.7
6,2,0,2,1.0,0.0,0.0,0.0,3,0.6666666666666666,2,0.5778156256378852,0.5480380774988093,178.7
6,2,1,1,0.0,0.0,,0.0,3,0.3333333333333333,1,0.49466624882481985,0.5507291340227723,178.7
6,3,-2,1,1.0,0.0,0.0,0.0,4,0.25,1,1.0,0.25,178.7
6,3,-1,1,0.0,0.0,,0.0,4,0.25,1,0.37329621980784766,0.23133518900960762,178.7
6,3,0,2,1.0,0.0,0.0,0.0,4,0.5,2,0.7916111927499588,0.6747019755748505,178.7
6,5,-1,2,1.0,0.5,0.5,0.0,5,0.4,2,0.7841054672622139,0.38560212596516746,178.7
6,5,0,3,0.6666666666666666,0.3333333333333333,0.5,121442.33333333333,5,0.6,3,0.7189596214897281,0.5992257943205967,178.7
6,5,1,1,1.0,1.0,3.0,0.0,5,0.2,1,1.0,0.2827926489732699,178.7
6,7,-3,1,0.0,0.0,-1.0,0.0,6,0.16666666666666666,1,0.0,0.16666666666666666,178.7
6,7,-2,1,1.0,0.0,0.0,0.0,6,0.16666666666666666,1,0.5864323043573242,0.18045225652142252,178.7
6,7,-1,1,1.0,0.0,0.0,0.0,6,0.16666666666666666,1,1.0,0.2572749938975485,178.7
6,7,0,4,1.0,0.5,0.75,90704.125,6,0.6666666666666666,4,0.7651763886100318,0.6567586107797633,178.7
6,10,-3,1,0.0,0.0,-1.0,0.0,6,0.16666666666666666,1,0.27182498169264563,0.2119708302821076,178.7
6,10,-1,1,1.0,1.0,1.0,0.0,6,0.16666666666666666,1,1.0,0.15111265750800632,178.7
6,10,0,5,1.0,0.8,1.2,72278.4,6,0.8333333333333334,5,0.767100223870932,0.6628024482193849,178.7
6,10,1,1,1.0,1.0,4.0,0.0,6,0.16666666666666666,1,0.7445903875347735,0.4784137261852472,178.7
6,15,-3,1,1.0,0.0,0.0,0.0,6,0.16666666666666666,1,0.8406576980568011,0.19071135640642364,178.7
6,15,-2,1,1.0,1.0,1.0,0.0,6,0.16666666666666666,1,1.0,0.1459279877884529,178.7
6,15,-1,2,0.5,0.0,-0.5,188689.0,6,0.3333333333333333,2,0.23370187574919474,0.26961634533607454,178.7
6,15,0,4,0.75,0.5,0.6666666666666666,89548.875,6,0.6666666666666666,4,0.6255853088166301,0.7219317440104529,178.7
6,20,-5,1,1.0,0.0,0.0,0.0,9,0.1111111111111111,1,1.0,0.10603322787545597,178.7
6,20,-3,1,1.0,0.0,0.0,0.0,9,0.1111111111111111,1,1.0,0.10603322787545597,178.7
6,20,-1,1,1.0,1.0,4.0,0.0,9,0.1111111111111111,1,1.0,0.19137305236880395,178.7
6,20,0,6,1.0,0.6666666666666666,1.3333333333333333,59357.916666666664,9,0.6666666666666666,6,0.9149443039440917,0.5660805978665396,178.7
6,20,1,2,0.5,0.5,0.9999999999999996,9915.5,9,0.2222222222222222,2,0.868177113631041,0.27445293095039636,178.7
6,20,3,1,1.0,1.0,1.9999999999999991,0.0,9,0.1111111111111111,1,1.0,0.17612669731072014,178.7
6,30,-1,1,1.0,0.0,0.0,0.0,10,0.1,1,0.7158682720767838,0.24326861083427787,178.7
6,30,0,8,1.0,0.6875,0.9375,46302.02083333333,10,0.8,8,0.8471432846420285,0.6496806367252977,178.7
6,30,1,4,0.6666666666666666,0.6666666666666666,1.2499999999999998,4718.5,10,0.4,4,0.8628591189667081,0.2733800679612942,178.7
6,45,-3,1,1.0,1.0,2.0,0.0,13,0.07692307692307693,1,0.8939617309330571,0.14150757150761503,178.7
6,45,-2,2,1.0,0.5,1.5,0.0,13,0.15384615384615385,2,0.8742854289010132,0.13456333936790008,178.7
6,45,-1,7,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.0,13,0.5384615384615384,7,0.8633541262606989,0.39104828564790245,178.7
6,45,0,8,1.0,0.6428571428571428,0.6428571428571428,45740.166666666664,13,0.6153846153846154,8,0.7894075231085245,0.5796873180992679,178.7
6,45,1,3,1.0,1.0,1.7333333333333334,5886.333333333333,13,0.23076923076923078,3,0.9213819327423254,0.34252446736569253,178.7
6,45,2,1,1.0,1.0,4.0,0.0,13,0.07692307692307693,1,0.6863950742593982,0.13795195494971743,178.7
6,45,3,1,1.0,1.0,1.0,0.0,13,0.07692307692307693,1,0.8358458829196642,0.10314832721984209,178.7
6,45,5,1,1.0,1.0,3.0,0.0,13,0.07692307692307693,1,0.8542865600947306,0.08584715714404358,178.7
6,45,7,1,1.0,1.0,5.0,0.0,13,0.07692307692307693,1,0.7231016752736805,0.0630142259967201,178.7
6,60,-3,1,1.0,1.0,1.0,0.0,12,0.08333333333333333,1,0.686337327267679,0.08560625125168349,178.7
6,60,-1,3,0.5,0.3333333333333333,1.25,78305.0,12,0.25,3,0.7353399033077103,0.3400966436400845,178.7
6,60,0,8,0.9821428571428571,0.8392857142857143,0.9375,60009.198214285716,12,0.6666666666666666,8,0.8636621852181929,0.7206197141146299,178.7
6,60,1,4,1.0,1.0,1.75,33845.70833333333,12,0.3333333333333333,4,0.9618101063055191,0.4335710654129724,178.7
6,60,2,2,1.0,0.5,2.9999999999999996,0.0,12,0.16666666666666666,2,1.0,0.1291193183150519,178.7
6,60,3,1,1.0,1.0,6.0,0.0,12,0.08333333333333333,1,1.0,0.07435768898554619,178.7
6,60,4,1,1.0,1.0,6.0,0.0,12,0.08333333333333333,1,1.0,0.0635805971385058,178.7
6,60,6,1,1.0,1.0,8.0,0.0,12,0.08333333333333333,1,1.0,0.0741839161811802,178.7
6,60,7,1,1.0,1.0,9.0,0.0,12,0.08333333333333333,1,1.0,0.08333333333333333,178.7
6,90,-5,1,1.0,0.0,0.0,0.0,17,0.058823529411764705,1,1.0,0.06137702841992395,178.7
