tbin,match_N,mean_paired_yes_bid_sum,mean_paired_mid_sum,hazard_frac,mean_own_spread,mean_partner_spread
240,2038,0.9816804583017198,0.9989343166537427,0.027790872678831156,0.01819666159634658,0.017243518806883372
180,2218,0.9770537304629114,0.99792614091951,0.021944687633533393,0.02132739432843307,0.020912397287911548
120,2218,0.9777787384213079,0.9988218718656403,0.01933108333503681,0.0219625678987362,0.021006431049751192
90,2267,0.9726123380876945,0.9985941461623069,0.02307480363742065,0.02589374078771932,0.025974892127515865
60,2246,0.9696740354266173,0.998313125924231,0.030246161089485465,0.027834567302209116,0.02931414895496537
45,2116,0.9690596000134498,0.9992324220921188,0.03350573958795828,0.02958457532663049,0.030779172956589582
30,1895,0.9657724130171923,0.9982397234666962,0.03369860668769317,0.03204447683873744,0.03257224351970713
20,1673,0.9646094715765648,0.9988837611115947,0.029496484786383174,0.03309294680215182,0.03526724654923923
15,1541,0.9646797762164975,0.9989369633099141,0.032500283262775154,0.03389095413203136,0.03440309393702836
10,1345,0.9614207608969514,0.9983675988914084,0.02913258983890954,0.03659392812887237,0.037126354245401866
7,1185,0.9614050886220696,0.9981439393939394,0.030942334739803092,0.03633263009845288,0.037097627215551744
5,1121,0.957517220724768,0.9966254866726565,0.032708890871245906,0.03906705322628606,0.03922955974842767
3,918,0.954828729281768,0.9958895027624309,0.027233115468409588,0.039128540305010895,0.04298342541436464
2,853,0.9547675804529201,0.9971394517282479,0.029308323563892145,0.040451348182883935,0.04408224076281287
