c,D,fill,match_N,env_med_dip
5,0,0.5561059181735063,119,0.0
5,1,0.46823431244618435,119,0.0
5,2,0.35199240144514565,119,0.0
5,3,0.26597605034930266,119,0.0
5,4,0.17282273885293778,119,0.0
6,0,0.5753353569676763,127,2.0
6,1,0.48270787866724485,127,2.0
6,2,0.37191034399414236,127,2.0
6,3,0.287756538305692,127,2.0
6,4,0.19002495183797655,127,2.0
6,5,0.14277153268444503,127,2.0
7,0,0.5932401447728292,134,2.5
7,1,0.5175502314975651,134,2.5
7,2,0.4068546018431375,134,2.5
7,3,0.33010984291011075,134,2.5
7,4,0.23025322612227364,134,2.5
7,5,0.17622117905844284,134,2.5
7,6,0.1357944754843089,134,2.5
8,0,0.6182018848429819,144,4.0
8,1,0.5287814270954007,144,4.0
8,2,0.43937662418986195,144,4.0
8,3,0.36228696369120306,144,4.0
8,4,0.2680917791206153,144,4.0
8,5,0.20856117044050546,144,4.0
8,6,0.15911421805951464,144,4.0
8,7,0.101174013113359,144,4.0
9,0,0.6680848443042964,154,3.5
9,1,0.5612312770989357,154,3.5
9,2,0.4839401852581789,154,3.5
9,3,0.41530104454079614,154,3.5
9,4,0.3340042372881356,154,3.5
9,5,0.24657321639731963,154,3.5
9,6,0.2035274420975796,154,3.5
9,7,0.12997955558534705,154,3.5
9,8,0.09048887561099078,154,3.5
10,0,0.6845720801333511,156,3.0
10,1,0.5945089838117542,156,3.0
10,2,0.516607524517574,156,3.0
10,3,0.4564870586069723,156,3.0
10,4,0.3817020667368874,156,3.0
10,5,0.2996154908116621,156,3.0
10,6,0.22734617075889435,156,3.0
10,7,0.15865472387037882,156,3.0
10,8,0.11081077491167016,156,3.0
10,9,0.07529213148399484,156,3.0
11,0,0.7011649455627217,156,3.0
11,1,0.6010625327659989,156,3.0
11,2,0.5342077029053535,156,3.0
11,3,0.47629570475853744,156,3.0
11,4,0.4108734348520501,156,3.0
11,5,0.3362583972397312,156,3.0
11,6,0.27112263932407554,156,3.0
11,7,0.1869704100169469,156,3.0
11,8,0.14334498850355776,156,3.0
11,9,0.09256937806540577,156,3.0
11,10,0.06237286220146161,156,3.0
12,0,0.7018077210846326,163,7.0
12,1,0.6131588678953207,163,7.0
12,2,0.5429957257974354,163,7.0
12,3,0.4866484919890951,163,7.0
12,4,0.4321072592643555,163,7.0
12,5,0.3726296235777741,163,7.0
12,6,0.3190945914567549,163,7.0
12,7,0.24602894761736857,163,7.0
12,8,0.18821971293182774,163,7.0
12,9,0.13481703009898446,163,7.0
12,10,0.08164455027814282,163,7.0
12,11,0.06109630757518081,163,7.0
13,0,0.6945724538920864,174,3.0
13,1,0.6061756660031965,174,3.0
13,2,0.55096873192207,174,3.0
13,3,0.4897170283069743,174,3.0
13,4,0.4463741187775152,174,3.0
13,5,0.38314671190030297,174,3.0
13,6,0.34047544343017383,174,3.0
13,7,0.2749070978242752,174,3.0
13,8,0.22719116767494535,174,3.0
13,9,0.16668954495092614,174,3.0
13,10,0.1148258222185403,174,3.0
13,11,0.08109582635127235,174,3.0
13,12,0.06375013762983082,174,3.0
14,0,0.6881257608665138,174,4.0
14,1,0.6127090548538497,174,4.0
14,2,0.5553362104827946,174,4.0
14,3,0.5015542732305149,174,4.0
14,4,0.45276949030557173,174,4.0
14,5,0.3955217024013394,174,4.0
14,6,0.3538294076662167,174,4.0
14,7,0.2927916431654089,174,4.0
14,8,0.24825878011244873,174,4.0
14,9,0.19134277467121635,174,4.0
14,10,0.13132077494174665,174,4.0
14,11,0.09794062152708566,174,4.0
14,12,0.06913438453270292,174,4.0
15,0,0.6818361181871192,179,3.0
15,1,0.6123426532034953,179,3.0
15,2,0.562548502931002,179,3.0
15,3,0.5046562813761898,179,3.0
15,4,0.46629238114863714,179,3.0
15,5,0.40714620811210156,179,3.0
15,6,0.3668268450843787,179,3.0
15,7,0.30914069247936027,179,3.0
15,8,0.26430754256200706,179,3.0
15,9,0.21782803326917433,179,3.0
15,10,0.15410449887977412,179,3.0
15,11,0.1181301215806804,179,3.0
15,12,0.08447060832701282,179,3.0
16,0,0.6871253277399056,191,2.5
16,1,0.609957000524384,191,2.5
16,2,0.5700450970110121,191,2.5
16,3,0.5288495018353435,191,2.5
16,4,0.48392868379653914,191,2.5
16,5,0.42890613529103305,191,2.5
16,6,0.3826890403775564,191,2.5
16,7,0.3278468799160986,191,2.5
16,8,0.2916790770844258,191,2.5
16,9,0.24411116937598326,191,2.5
16,10,0.19890928159412694,191,2.5
16,11,0.1584394336654431,191,2.5
16,12,0.11601048767697957,191,2.5
17,0,0.6857673895698847,201,8.0
17,1,0.6291035033002104,201,8.0
17,2,0.5857873358961341,201,8.0
17,3,0.5469717850148691,201,8.0
17,4,0.505820700660042,201,8.0
17,5,0.44955392761296875,201,8.0
17,6,0.41110829041851016,201,8.0
17,7,0.35101907594110393,201,8.0
17,8,0.3125299194893741,201,8.0
17,9,0.2681058243272648,201,8.0
17,10,0.22591027779792558,201,8.0
17,11,0.18851272938275188,201,8.0
17,12,0.14737977805178795,201,8.0
18,0,0.6934973431268778,214,4.0
18,1,0.6213394489527537,214,4.0
18,2,0.5976494424308518,214,4.0
18,3,0.5527124696624649,214,4.0
18,4,0.512757802226,214,4.0
18,5,0.4659284087628701,214,4.0
18,6,0.42875891415680367,214,4.0
18,7,0.37771166778928916,214,4.0
18,8,0.3260229228811838,214,4.0
18,9,0.2848440623964248,214,4.0
18,10,0.24078647721076435,214,4.0
18,11,0.21124012359538547,214,4.0
18,12,0.17287851086805445,214,4.0
19,0,0.7063239697174571,217,13.0
19,1,0.6261178265316484,217,13.0
19,2,0.586721793376375,217,13.0
19,3,0.5578706627339975,217,13.0
19,4,0.5125335255091049,217,13.0
19,5,0.47091855561086393,217,13.0
19,6,0.43940767266720654,217,13.0
19,7,0.3853656664115881,217,13.0
19,8,0.34132497269667683,217,13.0
19,9,0.2936302151823813,217,13.0
19,10,0.25998459622037806,217,13.0
19,11,0.2293479149176443,217,13.0
19,12,0.19337934655284714,217,13.0
20,0,0.6920564438886533,217,3.0
20,1,0.6345331390455938,217,3.0
20,2,0.5859755533218682,217,3.0
20,3,0.5514428447513252,217,3.0
20,4,0.518946283170793,217,3.0
20,5,0.47205678826869385,217,3.0
20,6,0.44192783946724407,217,3.0
20,7,0.39840896421245664,217,3.0
20,8,0.3560039431514648,217,3.0
20,9,0.3186010421800978,217,3.0
20,10,0.2768040671282794,217,3.0
20,11,0.24681932746882818,217,3.0
20,12,0.21094784149047677,217,3.0
21,0,0.7018469974267094,228,2.0
21,1,0.6249261815626261,228,2.0
21,2,0.5740829812761705,228,2.0
21,3,0.5305254269444645,228,2.0
21,4,0.48920847930010775,228,2.0
21,5,0.4571398795924421,228,2.0
21,6,0.4276873251404889,228,2.0
21,7,0.3887966993471912,228,2.0
21,8,0.3548856448858854,228,2.0
21,9,0.31884755056395947,228,2.0
21,10,0.2879894396211945,228,2.0
21,11,0.25514457725082773,228,2.0
21,12,0.216521167520422,228,2.0
22,0,0.7029123698920585,247,3.0
22,1,0.621090738242097,247,3.0
22,2,0.5608935283346183,247,3.0
22,3,0.5218653623747108,247,3.0
22,4,0.4776635986892829,247,3.0
22,5,0.4423344737856591,247,3.0
22,6,0.41917646491904387,247,3.0
22,7,0.38286129047802614,247,3.0
22,8,0.35340629818812636,247,3.0
22,9,0.3226387818041634,247,3.0
22,10,0.2917712750578257,247,3.0
22,11,0.2636504915188897,247,3.0
22,12,0.2253963473400154,247,3.0
23,0,0.7040843660663494,249,4.0
23,1,0.62075019262481,249,4.0
23,2,0.5635273023165384,249,4.0
23,3,0.5130329586450735,249,4.0
23,4,0.4745483218238509,249,4.0
23,5,0.43594847016295696,249,4.0
23,6,0.4086252709348964,249,4.0
23,7,0.3822115488474916,249,4.0
23,8,0.35398967386999447,249,4.0
23,9,0.326438925333583,249,4.0
23,10,0.29866494804530824,249,4.0
23,11,0.2733234440595949,249,4.0
23,12,0.2403662391716053,249,4.0
24,0,0.703243073300386,259,11.0
24,1,0.6134193426272134,259,11.0
24,2,0.5591734959200926,259,11.0
24,3,0.5093853110498363,259,11.0
24,4,0.4642392540514355,259,11.0
24,5,0.4316785927968419,259,11.0
24,6,0.40386592687766376,259,11.0
24,7,0.3757998206669329,259,11.0
24,8,0.3531698483047571,259,11.0
24,9,0.32343713156919646,259,11.0
24,10,0.29756376509613885,259,11.0
24,11,0.27622505497889865,259,11.0
24,12,0.24444877538613555,259,11.0
25,0,0.699201122535287,261,4.0
25,1,0.6107102056514634,261,4.0
25,2,0.5521763788458812,261,4.0
25,3,0.5102768692217056,261,4.0
25,4,0.46795037898603514,261,4.0
25,5,0.42174683961011133,261,4.0
25,6,0.402166030269992,261,4.0
25,7,0.3740472383969649,261,4.0
25,8,0.34635868652941365,261,4.0
25,9,0.3260396244526255,261,4.0
25,10,0.29612001740516386,261,4.0
25,11,0.275065961985688,261,4.0
25,12,0.25004359439449425,261,4.0
26,0,0.6914293941509129,261,4.0
26,1,0.6030069199800984,261,4.0
26,2,0.5496098968290563,261,4.0
26,3,0.507477660875413,261,4.0
26,4,0.4692874625706897,261,4.0
26,5,0.4213378506691258,261,4.0
26,6,0.3966832573660336,261,4.0
26,7,0.3751232456292224,261,4.0
26,8,0.3474651950698103,261,4.0
26,9,0.3216697254060044,261,4.0
26,10,0.29727210265700266,261,4.0
26,11,0.2751380077674362,261,4.0
26,12,0.2546933575845497,261,4.0
27,0,0.676957813620493,279,6.0
27,1,0.5982279310628594,279,6.0
27,2,0.5459460928958537,279,6.0
27,3,0.5052306819651318,279,6.0
27,4,0.4594660722053067,279,6.0
27,5,0.41861252836133217,279,6.0
27,6,0.3943246476141213,279,6.0
27,7,0.3701014248263052,279,6.0
27,8,0.35031315025334164,279,6.0
27,9,0.3186807131185122,279,6.0
27,10,0.2910173929910772,279,6.0
27,11,0.2728352809094436,279,6.0
27,12,0.25147317282484744,279,6.0
28,0,0.6507003533543241,285,3.0
28,1,0.5845145100431798,285,3.0
28,2,0.5402989166948117,285,3.0
28,3,0.500180671917955,285,3.0
28,4,0.4579806145387328,285,3.0
28,5,0.41199371007513774,285,3.0
28,6,0.3921869836323953,285,3.0
28,7,0.36356364917326717,285,3.0
28,8,0.34120935789745105,285,3.0
28,9,0.31838659069367126,285,3.0
28,10,0.2854788804514801,285,3.0
28,11,0.263983461710264,285,3.0
28,12,0.24893049487763338,285,3.0
29,0,0.6540520000551043,279,13.0
29,1,0.5747684472996615,279,13.0
29,2,0.5280916934917275,279,13.0
29,3,0.49122235028860867,279,13.0
29,4,0.45082518632128543,279,13.0
29,5,0.4104659065339879,279,13.0
29,6,0.388010919827891,279,13.0
29,7,0.3614345935371885,279,13.0
29,8,0.3393607446422585,279,13.0
29,9,0.3112966032814588,279,13.0
29,10,0.28686704719220824,279,13.0
29,11,0.2635200602473263,279,13.0
29,12,0.24192607763272087,279,13.0
30,0,0.6363834195177122,280,5.0
30,1,0.5755856988378032,280,5.0
30,2,0.5273594912054718,280,5.0
30,3,0.48627425034063687,280,5.0
30,4,0.45123156477888077,280,5.0
30,5,0.41419571469628025,280,5.0
30,6,0.3920868887404813,280,5.0
30,7,0.3630541938125061,280,5.0
30,8,0.34454608986194646,280,5.0
30,9,0.318158369740289,280,5.0
30,10,0.28774090101787847,280,5.0
30,11,0.2695594775593246,280,5.0
30,12,0.24637653441620339,280,5.0
31,0,0.6315424745286594,275,9.0
31,1,0.5611897401217273,275,9.0
31,2,0.5221202150665487,275,9.0
31,3,0.4824306272898196,275,9.0
31,4,0.44814603568588685,275,9.0
31,5,0.41758135594479906,275,9.0
31,6,0.39284851705149254,275,9.0
31,7,0.3622903398408181,275,9.0
31,8,0.34320912880955384,275,9.0
31,9,0.32162258570335084,275,9.0
31,10,0.2945404754650238,275,9.0
31,11,0.27492048334237484,275,9.0
31,12,0.2559888305106158,275,9.0
32,0,0.6470658535016828,281,3.0
32,1,0.5597017085039335,281,3.0
32,2,0.5149890672897597,281,3.0
32,3,0.4833383352269073,281,3.0
32,4,0.4487904349503741,281,3.0
32,5,0.4208868357306695,281,3.0
32,6,0.39920577075607194,281,3.0
32,7,0.3694243177774443,281,3.0
32,8,0.34866985358742947,281,3.0
32,9,0.32612381830264314,281,3.0
32,10,0.3051319428069198,281,3.0
32,11,0.2855221976891251,281,3.0
32,12,0.2655399901391241,281,3.0
33,0,0.6310681858094158,289,3.5
33,1,0.5692590738007204,289,3.5
33,2,0.519004314416035,289,3.5
33,3,0.48484496105634367,289,3.5
33,4,0.46019488440307754,289,3.5
33,5,0.4321660124638685,289,3.5
33,6,0.41098787786737795,289,3.5
33,7,0.3874045393921847,289,3.5
33,8,0.3663415033532837,289,3.5
