floor,n_deployable,meanX,c5_X,c50_X,c90_X,meanAbsDX_to_lower,meanAbsDX_to_higher
0.8,90,14.2,7.0,16.0,9.0,,3.1333333333333333
0.85,90,11.066666666666666,4.0,12.0,9.0,3.1333333333333333,3.2333333333333334
0.9,90,7.833333333333333,3.0,8.0,9.0,3.2333333333333334,
