c,offset,p1_downtravel_med,full_downtravel_med,fill_prob_p1,fill_prob_full,event_N,offset_vs_p1travel
5,2,2.0,4.0,0.695,0.847,59,inside
6,2,2.0,3.0,0.623,0.766,77,inside
7,2,2.0,3.0,0.635,0.771,96,inside
8,2,2.0,3.0,0.634,0.777,112,inside
9,2,2.0,3.0,0.621,0.75,116,inside
10,2,2.0,3.5,0.633,0.758,120,inside
11,2,2.0,3.0,0.609,0.75,128,inside
12,2,2.0,3.0,0.626,0.755,139,inside
13,2,2.0,4.0,0.622,0.764,148,inside
14,2,2.0,4.0,0.613,0.755,163,inside
15,1,2.0,4.0,0.831,0.907,172,inside
16,1,2.0,4.0,0.838,0.921,191,inside
17,1,2.0,4.0,0.828,0.929,198,inside
18,1,2.0,4.0,0.844,0.938,211,inside
19,1,2.0,4.0,0.87,0.955,223,inside
20,1,2.0,4.0,0.886,0.958,236,inside
21,1,2.0,4.0,0.889,0.963,244,inside
22,1,2.0,4.0,0.901,0.956,272,inside
23,1,2.0,4.0,0.904,0.959,271,inside
24,1,2.0,4.0,0.916,0.958,285,inside
25,1,3.0,5.0,0.904,0.942,313,inside
26,1,3.0,5.0,0.879,0.93,314,inside
27,1,3.0,5.0,0.863,0.924,328,inside
28,1,3.0,5.0,0.861,0.922,345,inside
29,1,3.0,5.0,0.853,0.925,347,inside
30,1,3.0,5.0,0.855,0.918,365,inside
31,1,3.0,5.0,0.843,0.912,364,inside
32,1,3.0,5.0,0.858,0.926,367,inside
33,1,3.0,4.0,0.862,0.919,383,inside
34,1,3.0,4.0,0.851,0.924,396,inside
35,2,3.0,4.0,0.685,0.826,391,inside
36,2,2.0,4.0,0.678,0.813,391,inside
37,2,2.0,4.0,0.681,0.824,404,inside
38,2,3.0,4.5,0.707,0.836,426,inside
39,2,3.0,5.0,0.706,0.841,429,inside
40,2,3.0,5.0,0.698,0.845,453,inside
41,2,3.0,5.0,0.691,0.838,444,inside
42,2,3.0,5.0,0.695,0.844,443,inside
43,2,3.0,5.0,0.698,0.843,453,inside
44,2,3.0,5.0,0.683,0.826,442,inside
45,1,3.0,5.0,0.873,0.924,433,inside
46,1,3.0,4.0,0.864,0.916,428,inside
47,1,3.0,4.0,0.865,0.916,394,inside
48,1,2.5,4.0,0.868,0.915,355,inside
49,1,2.5,4.2,0.88,0.925,308,inside
50,1,2.5,4.2,0.89,0.933,254,inside
51,1,2.5,5.5,0.914,0.947,243,inside
52,1,2.5,4.5,0.874,0.909,285,inside
53,1,2.2,4.0,0.821,0.869,336,inside
54,1,2.0,4.0,0.777,0.836,391,inside
55,18,2.0,4.0,0.138,0.183,436,TOO-DEEP
56,18,2.0,4.0,0.145,0.195,456,TOO-DEEP
57,18,2.0,4.0,0.14,0.19,458,TOO-DEEP
58,18,2.0,4.0,0.144,0.191,466,TOO-DEEP
59,18,2.0,4.0,0.156,0.207,468,TOO-DEEP
60,18,2.0,4.0,0.155,0.204,485,TOO-DEEP
61,18,2.0,4.0,0.154,0.204,486,TOO-DEEP
62,18,3.0,4.0,0.165,0.216,462,TOO-DEEP
63,18,3.0,4.0,0.16,0.209,450,TOO-DEEP
64,18,2.0,5.0,0.164,0.224,456,TOO-DEEP
65,1,2.0,4.0,0.878,0.931,434,inside
66,1,2.0,4.0,0.874,0.924,437,inside
67,1,2.0,4.0,0.874,0.925,413,inside
68,1,2.0,5.0,0.872,0.924,407,inside
69,1,2.0,4.0,0.851,0.918,404,inside
70,1,2.0,4.0,0.843,0.91,400,inside
71,1,2.0,3.0,0.836,0.901,383,inside
72,1,2.0,4.0,0.836,0.903,383,inside
73,1,2.0,3.0,0.846,0.904,363,inside
74,1,2.0,3.0,0.837,0.894,350,inside
75,10,2.0,3.0,0.18,0.295,339,TOO-DEEP
76,10,2.0,4.0,0.191,0.302,325,TOO-DEEP
77,10,2.0,3.5,0.173,0.285,312,TOO-DEEP
78,10,2.0,4.0,0.179,0.299,301,TOO-DEEP
79,10,2.0,3.0,0.176,0.288,278,TOO-DEEP
80,10,2.0,3.0,0.173,0.274,266,TOO-DEEP
81,10,2.0,3.0,0.16,0.272,257,TOO-DEEP
82,10,2.0,3.0,0.147,0.265,238,TOO-DEEP
83,10,2.0,3.0,0.115,0.229,227,TOO-DEEP
84,10,2.0,3.0,0.124,0.254,201,TOO-DEEP
85,1,2.0,3.0,0.846,0.926,188,inside
86,1,2.0,3.0,0.841,0.92,176,inside
87,1,2.0,3.0,0.853,0.92,163,inside
88,1,2.0,3.0,0.85,0.908,153,inside
89,1,2.0,3.0,0.865,0.929,141,inside
90,1,2.0,4.0,0.848,0.944,125,inside
91,1,2.0,4.0,0.849,0.933,119,inside
92,1,2.0,4.0,0.875,0.948,96,inside
93,1,2.0,4.0,0.886,0.962,79,inside
94,1,2.0,3.5,0.867,0.967,60,inside
