c,D,target_below,match_N,pooled_N,reach_dip_raw,reach_dip_pooled_match,mean_premkt_volume,reach_dip_pooled_match_mono
5,1,4,26,94.8,0.7307692307692307,0.6838862770437378,10576.3,0.6838862770437378
5,2,3,26,94.8,0.4230769230769231,0.4770157626711625,10576.3,0.4770157626711625
5,3,2,26,94.8,0.07692307692307693,0.2304786237185248,10576.3,0.2304786237185248
5,4,1,26,94.8,0.038461538461538464,0.17086294868652657,10576.3,0.17086294868652657
5,5,0,26,94.8,0.0,0.09214985801960245,10576.3,0.09214985801960245
6,1,5,27,108.2,0.6666666666666666,0.6901516652137116,13630.5,0.6901516652137116
6,2,4,27,108.2,0.48148148148148145,0.45504569129063727,13630.5,0.45504569129063727
6,3,3,27,108.2,0.25925925925925924,0.25311952824682515,13630.5,0.25311952824682515
6,4,2,27,108.2,0.18518518518518517,0.17868249981727719,13630.5,0.17868249981727719
6,5,1,27,108.2,0.1111111111111111,0.09717701230757171,13630.5,0.09717701230757171
6,6,0,27,108.2,0.0,0.03535659544538283,13630.5,0.03535659544538283
7,1,6,31,131.1,0.8709677419354839,0.7081126681143222,12170.4,0.7081126681143222
7,2,5,31,131.1,0.5806451612903226,0.4690233393353383,12170.4,0.4690233393353383
7,3,4,31,131.1,0.3548387096774194,0.24728453372692485,12170.4,0.24728453372692485
7,4,3,31,131.1,0.3225806451612903,0.17919320245137949,12170.4,0.17919320245137949
7,5,2,31,131.1,0.16129032258064516,0.09953959922497199,12170.4,0.09953959922497199
7,6,1,31,131.1,0.0967741935483871,0.03966192806221213,12170.4,0.03966192806221213
7,7,0,31,131.1,0.0,0.011561604896711111,12170.4,0.011561604896711111
8,1,7,29,162.6,0.41379310344827586,0.7185713697928958,8547.0,0.7185713697928958
8,2,6,29,162.6,0.41379310344827586,0.4850342089537857,8547.0,0.4850342089537857
8,3,5,29,162.6,0.2413793103448276,0.2691881073546959,8547.0,0.2691881073546959
8,4,4,29,162.6,0.13793103448275862,0.1786975207062609,8547.0,0.1786975207062609
8,5,3,29,162.6,0.10344827586206896,0.11005832566395303,8547.0,0.11005832566395303
8,6,2,29,162.6,0.034482758620689655,0.04406925061360373,8547.0,0.04406925061360373
8,7,1,29,162.6,0.034482758620689655,0.020629407228851964,8547.0,0.020629407228851964
8,8,0,29,162.6,0.0,0.009122245551919306,8547.0,0.009122245551919306
9,1,8,27,165.4,0.7407407407407407,0.7292270570861362,5187.3,0.7292270570861362
9,2,7,27,165.4,0.2962962962962963,0.5029646460227195,5187.3,0.5029646460227195
9,3,6,27,165.4,0.2962962962962963,0.2963285385028017,5187.3,0.2963285385028017
9,4,5,27,165.4,0.14814814814814814,0.20014846168495734,5187.3,0.20014846168495734
9,5,4,27,165.4,0.07407407407407407,0.13223361880616127,5187.3,0.13223361880616127
9,6,3,27,165.4,0.037037037037037035,0.06644857673493054,5187.3,0.06644857673493054
9,7,2,27,165.4,0.0,0.034130298514510375,5187.3,0.034130298514510375
9,8,1,27,165.4,0.0,0.02287325950829508,5187.3,0.02287325950829508
9,9,0,27,165.4,0.0,0.01403403787361869,5187.3,0.01403403787361869
10,1,9,20,156.9,0.9,0.7508208660094775,7230.9,0.7508208660094775
10,2,8,20,156.9,0.6,0.519518913657804,7230.9,0.519518913657804
10,3,7,20,156.9,0.15,0.2988269593101572,7230.9,0.2988269593101572
10,4,6,20,156.9,0.15,0.19848592016224775,7230.9,0.19848592016224775
10,5,5,20,156.9,0.1,0.13965407179509678,7230.9,0.13965407179509678
10,6,4,20,156.9,0.05,0.07573866188312137,7230.9,0.07573866188312137
10,7,3,20,156.9,0.05,0.04383129697710938,7230.9,0.04383129697710938
10,8,2,20,156.9,0.0,0.027236709296396926,7230.9,0.027236709296396926
10,9,1,20,156.9,0.0,0.016381670815640043,7230.9,0.016381670815640043
10,10,0,20,156.9,0.0,0.005477075787630803,7230.9,0.005477075787630803
11,1,10,22,160.0,0.8181818181818182,0.7506089920851108,9637.6,0.7506089920851108
11,2,9,22,160.0,0.6818181818181818,0.5190548832961187,9637.6,0.5190548832961187
