c,D,time_bin_min_before_start,match_N,reach_dip_by_time_raw
11,8,240,10,0.0
11,8,180,10,0.0
11,8,120,10,0.0
11,8,90,10,0.0
11,8,60,10,0.0
11,8,40,10,0.0
11,8,30,10,0.0
11,8,20,10,0.0
11,8,10,10,0.0
11,8,5,10,0.0
11,8,2,10,0.0
11,8,1,10,0.0
12,3,240,9,0.0
12,3,180,9,0.3333333333333333
12,3,120,9,0.3333333333333333
12,3,90,9,0.3333333333333333
12,3,60,9,0.3333333333333333
12,3,40,9,0.5555555555555556
12,3,30,9,0.5555555555555556
12,3,20,9,0.7777777777777778
12,3,10,9,0.7777777777777778
12,3,5,9,0.7777777777777778
12,3,2,9,0.7777777777777778
12,3,1,9,0.7777777777777778
12,5,240,9,0.0
12,5,180,9,0.1111111111111111
12,5,120,9,0.1111111111111111
12,5,90,9,0.1111111111111111
12,5,60,9,0.1111111111111111
12,5,40,9,0.3333333333333333
12,5,30,9,0.3333333333333333
12,5,20,9,0.4444444444444444
12,5,10,9,0.5555555555555556
12,5,5,9,0.5555555555555556
12,5,2,9,0.5555555555555556
12,5,1,9,0.5555555555555556
12,8,240,9,0.0
12,8,180,9,0.0
12,8,120,9,0.1111111111111111
12,8,90,9,0.1111111111111111
12,8,60,9,0.1111111111111111
12,8,40,9,0.2222222222222222
12,8,30,9,0.2222222222222222
12,8,20,9,0.3333333333333333
12,8,10,9,0.4444444444444444
12,8,5,9,0.4444444444444444
12,8,2,9,0.4444444444444444
12,8,1,9,0.4444444444444444
13,3,240,16,0.0
13,3,180,16,0.125
13,3,120,16,0.125
13,3,90,16,0.125
13,3,60,16,0.1875
13,3,40,16,0.1875
13,3,30,16,0.25
13,3,20,16,0.25
13,3,10,16,0.4375
13,3,5,16,0.4375
13,3,2,16,0.4375
13,3,1,16,0.4375
13,5,240,16,0.0
13,5,180,16,0.0625
13,5,120,16,0.0625
13,5,90,16,0.0625
13,5,60,16,0.0625
13,5,40,16,0.1875
13,5,30,16,0.25
13,5,20,16,0.25
13,5,10,16,0.4375
13,5,5,16,0.4375
13,5,2,16,0.4375
13,5,1,16,0.4375
13,8,240,16,0.0
13,8,180,16,0.0
13,8,120,16,0.0
13,8,90,16,0.0
13,8,60,16,0.0
13,8,40,16,0.0
13,8,30,16,0.0
13,8,20,16,0.0
13,8,10,16,0.0625
13,8,5,16,0.0625
13,8,2,16,0.0625
13,8,1,16,0.0625
14,3,240,6,0.0
14,3,180,6,0.0
14,3,120,6,0.0
14,3,90,6,0.16666666666666666
14,3,60,6,0.16666666666666666
14,3,40,6,0.3333333333333333
14,3,30,6,0.3333333333333333
14,3,20,6,0.5
14,3,10,6,0.6666666666666666
14,3,5,6,0.6666666666666666
14,3,2,6,0.6666666666666666
14,3,1,6,0.6666666666666666
14,5,240,6,0.0
14,5,180,6,0.0
14,5,120,6,0.0
14,5,90,6,0.0
14,5,60,6,0.0
14,5,40,6,0.0
14,5,30,6,0.16666666666666666
14,5,20,6,0.16666666666666666
14,5,10,6,0.16666666666666666
14,5,5,6,0.16666666666666666
14,5,2,6,0.16666666666666666
14,5,1,6,0.16666666666666666
14,8,240,6,0.0
14,8,180,6,0.0
14,8,120,6,0.0
14,8,90,6,0.0
14,8,60,6,0.0
14,8,40,6,0.0
14,8,30,6,0.0
14,8,20,6,0.0
14,8,10,6,0.0
14,8,5,6,0.0
14,8,2,6,0.0
14,8,1,6,0.0
15,3,240,15,0.0
15,3,180,15,0.13333333333333333
15,3,120,15,0.13333333333333333
15,3,90,15,0.13333333333333333
15,3,60,15,0.2
15,3,40,15,0.26666666666666666
15,3,30,15,0.3333333333333333
15,3,20,15,0.3333333333333333
15,3,10,15,0.4666666666666667
15,3,5,15,0.4666666666666667
15,3,2,15,0.4666666666666667
15,3,1,15,0.4666666666666667
15,5,240,15,0.0
15,5,180,15,0.13333333333333333
