c,X,target,raw_N,pooled_N,match_N,reach_raw,reach_pooled,reach_pooled_match,exp_ret_match,roc_match,net_raw,net_pooled,miss_cost_raw,reach_pooled_mono,reach_pooled_match_mono
5,1,6,4512,12767.6,631,0.9337322695035462,0.9560919849696536,0.9625960612886111,0.7346209278855979,0.14692418557711956,0.602393627166748,0.704101846298884,5.0,0.9560919849696536,0.9625960612886111
5,2,7,4512,12767.6,631,0.9337322695035462,0.9350553673999311,0.9372128883354036,1.4821344799797525,0.2964268959959505,1.536125898361206,1.483036405272926,5.0,0.9350553673999311,0.9372128883354036
5,3,8,4512,12767.6,631,0.8683510638297872,0.89019041025159,0.8829544094739171,1.9209034499994175,0.38418068999988353,1.9468084573745728,2.003636550472718,5.0,0.89019041025159,0.8829544094739171
5,4,9,4512,12767.6,631,0.8683510638297872,0.8586650807608148,0.8482434828696658,2.42595550338392,0.485191100676784,2.815159320831299,2.5548828743534386,5.0,0.8586650807608148,0.8482434828696658
5,5,10,4512,12767.6,631,0.8282358156028369,0.8041588540927559,0.7955861578555552,2.6846493345998543,0.5369298669199709,3.282358169555664,2.8022931653085403,5.0,0.8041588540927559,0.7955861578555552
5,6,11,4512,12767.6,631,0.7486702127659575,0.7531325242540223,0.7583450348875751,3.0452611882213536,0.6090522376442707,3.2353720664978027,3.011011705141075,5.0,0.7531325242540223,0.7583450348875751
5,7,12,4512,12767.6,631,0.7291666666666666,0.7175486575478816,0.7357211916735763,3.505397275708738,0.7010794551417476,3.749999761581421,3.296725557841645,5.0,0.7175486575478816,0.7357211916735763
5,8,13,4512,12767.6,631,0.6886081560283688,0.6933938845241472,0.7089686456589351,3.8493663158318325,0.7698732631663665,3.951906204223633,3.674857221513934,5.0,0.6933938845241472,0.7089686456589351
5,9,14,4512,12767.6,631,0.6886081560283688,0.678687281012501,0.689455973034536,4.253500009001195,0.8507000018002391,4.640514373779297,4.1405317447804215,5.0,0.678687281012501,0.689455973034536
5,10,15,4512,12767.6,631,0.6429521276595744,0.6491085224993884,0.6637789375200541,4.528621683986026,0.9057243367972052,4.644281387329102,4.35667627478788,5.0,0.6491085224993884,0.6637789375200541
5,11,16,4512,12767.6,631,0.6143617021276596,0.6333079112764138,0.6416132948717542,4.807904955846488,0.9615809911692976,4.829787254333496,4.739069780010552,5.0,0.6333079112764138,0.6416132948717542
5,12,17,4512,12767.6,631,0.6143617021276596,0.6263813598430966,0.6295870357368643,5.22756849115606,1.0455136982312119,5.444149017333984,5.2451390867999415,5.0,0.6263813598430966,0.6295870357368643
5,13,18,4512,12767.6,631,0.6008421985815603,0.6149094244833417,0.6139292574860825,5.547238075798538,1.1094476151597077,5.815159320831299,5.652815387146593,5.0,0.6149094244833417,0.6139292574860825
5,14,19,4512,12767.6,631,0.575354609929078,0.5985706711049812,0.5961238998685826,5.799523519065061,1.1599047038130121,5.931736946105957,5.940852319199408,5.0,0.5985706711049812,0.5961238998685826
5,15,20,4512,12767.6,631,0.575354609929078,0.5930468547864162,0.5859332227774725,6.178547450596674,1.2357094901193348,6.507092475891113,6.421549353042806,5.0,0.5930468547864162,0.5859332227774725
5,16,21,4512,12767.6,631,0.5660460992907801,0.5828739179677352,0.5685438395288033,6.377132092015517,1.2754264184031032,6.886968612670898,6.785610875682899,5.0,0.5828739179677352,0.5685438395288033
5,17,22,4512,12767.6,631,0.5611702127659575,0.5774658331981513,0.5597290216547586,6.736509325768093,1.3473018651536186,7.3457441329956055,7.2421363318327066,5.0,0.5774658331981513,0.5597290216547586
5,18,23,4512,12767.6,631,0.5611702127659575,0.5652436303599941,0.5459946532898312,6.9549719162698205,1.3909943832539642,7.906914710998535,7.522724150118931,5.0,0.5652436303599941,0.5459946532898312
5,19,24,4512,12767.6,631,0.518395390070922,0.5488781096127229,0.5354332063635276,7.24130034448105,1.44826006889621,7.441489219665527,7.692696668621056,5.0,0.5488781096127229,0.5354332063635276
5,20,25,4512,12767.6,631,0.518395390070922,0.5447086145360873,0.5298202990726649,7.6266670743678775,1.5253334148735755,7.9598846435546875,8.131986298328137,5.0,0.5447086145360873,0.5298202990726649
5,21,26,4512,12767.6,631,0.5019946808510638,0.5351291252147834,0.5170595820903741,7.811148364588661,1.562229672917732,8.051861763000488,8.417401859585915,5.0,0.5351291252147834,0.5170595820903741
5,22,27,4512,12767.6,631,0.5019946808510638,0.5311538584719635,0.5095680723357255,8.11368298212786,1.6227365964255722,8.55385684967041,8.83903743824474,5.0,0.5311538584719635,0.5095680723357255
5,23,28,4512,12767.6,631,0.49933510638297873,0.5248750009872855,0.49910908019429867,8.314221346282347,1.6628442692564693,8.981383323669434,9.183232958662952,5.0,0.5248750009872855,0.49910908019429867
5,24,29,4512,12767.6,631,0.488031914893617,0.514566317848966,0.4855397778716726,8.405138517810189,1.6810277035620378,9.152925491333008,9.39608466060756,5.0,0.514566317848966,0.4855397778716726
5,25,30,4512,12767.6,631,0.488031914893617,0.5113574276107147,0.4782813064229354,8.663046200489454,1.7326092400978907,9.640957832336426,9.810113675561583,5.0,0.5113574276107147,0.4782813064229354
5,26,31,4512,12767.6,631,0.480718085106383,0.5068311557939854,0.4690430352455049,8.846358989917602,1.7692717979835204,9.902260780334473,10.178624165103965,5.0,0.5068311557939854,0.4690430352455049
5,27,32,4512,12767.6,631,0.46941489361702127,0.5001929698161461,0.45852765326123907,8.962706987786964,1.7925413975573927,10.021276473999023,10.465726457582646,5.0,0.5001929698161461,0.45852765326123907
5,28,33,4512,12767.6,631,0.46941489361702127,0.49386255650418853,0.45178529448205534,9.187708020277046,1.8375416040554093,10.490691184997559,10.74600104133251,5.0,0.49386255650418853,0.45178529448205534
5,29,34,4512,12767.6,631,0.45057624113475175,0.4837736192303583,0.447647325744796,9.491804940915092,1.8983609881830183,10.319592475891113,10.892127854374827,5.0,0.4837736192303583,0.447647325744796
5,30,35,4512,12767.6,631,0.4457003546099291,0.48019116623013464,0.43840607623059574,9.60344663720628,1.9206893274412562,10.599512100219727,11.245811996373865,5.0,0.48019116623013464,0.43840607623059574
5,31,36,4512,12767.6,631,0.4457003546099291,0.47595093378105324,0.4347958025836608,9.905378307012779,1.9810756614025558,11.04521369934082,11.566292614324324,5.0,0.47595093378105324,0.4347958025836608
5,32,37,4512,12767.6,631,0.44304078014184395,0.4680440404805246,0.43026231072338905,10.167667123080228,2.0335334246160457,11.392509460449219,11.741909252328707,5.0,0.4680440404805246,0.43026231072338905
5,33,38,4512,12767.6,631,0.43727836879432624,0.46088080093106004,0.4236680745595503,10.339840337322451,2.0679680674644905,11.616578102111816,11.931244305000416,5.0,0.46088080093106004,0.4236680745595503
5,34,39,4512,12767.6,631,0.38896276595744683,0.4425247565614555,0.4180256486420373,10.537390436918031,2.107478087383606,10.169548034667969,11.673331043058532,5.0,0.4425247565614555,0.4180256486420373
5,35,40,4512,12767.6,631,0.38896276595744683,0.4408266256511419,0.4148553084286137,10.82471773309655,2.16494354661931,10.558510780334473,12.045608060660385,5.0,0.4408266256511419,0.4148553084286137
5,36,41,4512,12767.6,631,0.38563829787234044,0.4374140117802462,0.4082502840671425,10.956664802889701,2.1913329605779404,10.811169624328613,12.341521446958664,5.0,0.4374140117802462,0.4082502840671425
5,37,42,4512,12767.6,631,0.381427304964539,0.43360533805911067,0.40308796603690067,11.14060555807942,2.228121111615884,11.019947052001953,12.614133421231033,5.0,0.43360533805911067,0.40308796603690067
5,38,43,4512,12767.6,631,0.381427304964539,0.4284640416765504,0.3978388129435074,11.311301980580716,2.262260396116143,11.401374816894531,12.820460618848902,5.0,0.4284640416765504,0.3978388129435074
5,39,44,4512,12767.6,631,0.3745567375886525,0.42084221564726304,0.3908511715850258,11.39385095237944,2.278770190475888,11.480496406555176,12.907286802764208,5.0,0.42084221564726304,0.3908511715850258
5,40,45,4512,12767.6,631,0.36812943262411346,0.4172988721685414,0.38513183839359366,11.520142160646984,2.304028432129397,11.565824508666992,13.165987058509367,5.0,0.4172988721685414,0.38513183839359366
5,41,46,4512,12767.6,631,0.36812943262411346,0.41613685242647847,0.3804284489669275,11.682785888560963,2.3365571777121925,11.933954238891602,13.528295694543742,5.0,0.41613685242647847,0.3804284489669275
5,42,47,4512,12767.6,631,0.3570478723404255,0.4112318275473201,0.37546329683083784,11.825398382326311,2.365079676465262,11.78125,13.7122183977634,5.0,0.4112318275473201,0.37546329683083784
5,43,48,4512,12767.6,631,0.3554964539007092,0.4097010534487247,0.37233716837212844,12.045783720861277,2.4091567441722552,12.06382942199707,14.047712773204431,5.0,0.4097010534487247,0.37233716837212844
5,44,49,4512,12767.6,631,0.3554964539007092,0.40724298617253624,0.3676685262077751,12.183021839018382,2.4366043678036764,12.419325828552246,14.33369821687074,5.0,0.40724298617253624,0.3676685262077751
5,45,50,4512,12767.6,631,0.3528368794326241,0.4051537947649311,0.36309836771260556,12.316590249163683,2.4633180498327367,12.641843795776367,14.63465249135634,5.0,0.4051537947649311,0.36309836771260556
5,46,51,4512,12767.6,631,0.3495124113475177,0.4034154954423868,0.36024982024082963,12.533117781173521,2.5066235562347043,12.82513427734375,14.950527549805656,5.0,0.4034154954423868,0.36024982024082963
5,47,52,4512,12767.6,631,0.3490691489361702,0.4023507547764435,0.3594311747407391,12.849979389909553,2.5699958779819108,13.151596069335938,15.297569319030059,5.0,0.4023507547764435,0.3594311747407391
5,48,53,4512,12767.6,631,0.34818262411347517,0.39923280762880436,0.35591938476298796,13.01752453355275,2.6035049067105502,13.453680038452148,15.526942442764923,5.0,0.39923280762880436,0.35591938476298796
5,49,54,4512,12767.6,631,0.34818262411347517,0.39636461982220883,0.3522201581245321,13.16541596377919,2.633083192755838,13.801862716674805,15.76502760058408,5.0,0.39636461982220883,0.3522201581245321
5,50,55,4512,12767.6,631,0.3479609929078014,0.38410591129221033,0.34751835714414303,13.25144098551443,2.6502881971028858,14.137855529785156,15.472840430470262,5.0,0.38410591129221033,0.34751835714414303
5,51,56,4512,12767.6,631,0.33156028368794327,0.37505402729559917,0.3402721299687923,13.184785212941811,2.6369570425883624,13.567375183105469,15.345228058279975,5.0,0.37505402729559917,0.3402721299687923
5,52,57,4512,12767.6,631,0.32557624113475175,0.3696368464810675,0.33535377081261736,13.240692234297942,2.6481384468595883,13.557845115661621,15.405327105184092,5.0,0.3696368464810675,0.33535377081261736
5,53,58,4512,12767.6,631,0.3249113475177305,0.36708469415980977,0.332445060938094,13.40457693586595,2.68091538717319,13.844857215881348,15.624425464316987,5.0,0.36708469415980977,0.332445060938094
5,54,59,4512,12767.6,631,0.31870567375886527,0.3644940745950329,0.3296137216343206,13.5673305313141,2.7134661062628203,13.803634643554688,15.837720438066153,5.0,0.3644940745950329,0.3296137216343206
5,55,60,4512,12767.6,631,0.31870567375886527,0.3630954361722802,0.32692123900927544,13.730999204188416,2.7461998408376833,14.12234115600586,16.116236640371824,5.0,0.3630954361722802,0.32692123900927544
5,56,61,4512,12767.6,631,0.31804078014184395,0.3545969701317304,0.3217932049445156,13.738419961898469,2.747683992379694,14.400487899780273,15.944658194750902,5.0,0.3545969701317304,0.3217932049445156
5,57,62,4512,12767.6,631,0.3153812056737589,0.34984645650463125,0.31601404027664376,13.695737682393343,2.7391475364786686,14.553634643554688,16.00026887436029,5.0,0.34984645650463125,0.31601404027664376
5,58,63,4512,12767.6,631,0.3140514184397163,0.3485996907865484,0.31334697279203316,13.841002749071023,2.7682005498142046,14.785240173339844,16.2702300104328,5.0,0.3485996907865484,0.31334697279203316
5,59,64,4512,12767.6,631,0.27149822695035464,0.3329398252361609,0.3104125168507676,13.964053526933164,2.792810705386633,12.375885009765625,15.615877923243875,5.0,0.3329398252361609,0.3104125168507676
5,60,65,4512,12767.6,631,0.27149822695035464,0.33065406204804576,0.3092355443446547,14.19467004793931,2.838934009587862,12.647384643554688,15.793948168967633,5.0,0.33065406204804576,0.3092355443446547
5,61,66,4512,12767.6,631,0.27149822695035464,0.32795744925721854,0.3057260046657962,14.265597351106988,2.853119470221398,12.918882369995117,15.94153673692034,5.0,0.32795744925721854,0.3057260046657962
5,62,67,4512,12767.6,631,0.2708333333333333,0.3251244478687698,0.29997371121411304,14.179020807587266,2.835804161517453,13.145832061767578,16.076414418052625,5.0,0.3251244478687698,0.29997371121411304
5,63,68,4512,12767.6,631,0.24756205673758866,0.3134253196916962,0.2927540243286432,13.980884041833322,2.7961768083666643,11.834219932556152,15.600453452039805,5.0,0.3134253196916962,0.2927540243286432
5,64,69,4512,12767.6,631,0.24202127659574468,0.309920026843748,0.2882166937232016,13.958175812410845,2.791635162482169,11.699468612670898,15.670278498566345,5.0,0.309920026843748,0.2882166937232016
5,65,70,4512,12767.6,631,0.24157801418439717,0.30913236837142,0.2856741869008248,14.064218566501362,2.812843713300272,11.91046142578125,15.923741880610164,5.0,0.30913236837142,0.2856741869008248
5,66,71,4512,12767.6,631,0.24002659574468085,0.30731572849382083,0.2824875651130603,14.119095083335184,2.823819016667037,12.041887283325195,16.100961523252117,5.0,0.30731572849382083,0.2824875651130603
5,67,72,4512,12767.6,631,0.24002659574468085,0.30476685699793543,0.27802039088485986,14.073262385380362,2.8146524770760726,12.281913757324219,16.220984180138846,5.0,0.30476685699793543,0.27802039088485986
