band,N,is_fb_discount,is_fb_poststart,is_fill_rate,oos_fb_$,oos_skip_$
5-9,182,1,B1,0.341,6.7,2.47
10-16,279,2,B1,0.323,12.11,6.53
17-19,132,4,B1,0.129,4.09,2.2
20-22,139,1,B2,0.353,5.29,1.95
23-25,162,2,B4,0.21,6.46,3.53
26-28,183,3,B1,0.186,3.31,1.22
29-30,115,1,B1,0.383,3.71,0.86
31-32,139,1,B1,0.432,3.59,0.94
33-35,220,2,B1,0.255,5.13,2.3
36-37,133,2,B1,0.316,4.25,2.84
38-40,229,1,B1,0.45,3.89,2.66
41-42,144,6,B1,0.132,3.59,1.29
43-44,124,8,B1,0.097,5.75,3.1
45-46,137,2,B1,0.38,5.2,3.29
47-48,98,3,B3,0.286,6.71,4.86
49-51,154,5,B1,0.182,6.56,1.34
52-54,168,15,B4,0.083,4.64,2.79
55-56,165,5,B1,0.194,3.14,2.7
57-58,124,2,B3,0.177,5.62,3.06
59-61,241,2,B2,0.365,3.61,0.76
62-64,210,5,B4,0.143,3.14,3.93
65-66,124,5,B2,0.226,3.11,-0.87
67-68,128,8,B1,0.156,4.13,0.4
69-71,182,15,B3,0.088,-1.63,-0.88
72-74,158,12,B3,0.196,3.51,3.84
75-76,97,2,B4,0.299,0.79,3.74
77-79,136,12,B3,0.228,3.31,5.06
80-82,124,12,B1,0.339,2.63,5.08
83-86,122,15,B1,0.295,12.52,8.46
87-94,207,15,B1,0.324,10.99,9.21
