anchor_c,reliable_depth,reliable_fill,reliable_cost,reliable_roc_at_cost,reliable_roc_lift,reliable_combined_roc,aggr_depth,aggr_fill,aggr_lift,aggr_capped,roc_anchor,env_med_dip_bid,match_N
5,0,0.5205,5,0.3838,0.0,0.3838,0,0.5205,0.0,False,0.3838,3.0,486
6,1,0.4551,5,0.3838,0.027,0.3514,1,0.4551,0.027,False,0.3244,2.0,519
7,0,0.5486,7,0.3458,0.0,0.3458,2,0.396,0.015,False,0.3458,3.0,599
8,1,0.4719,7,0.3458,0.0173,0.3264,3,0.3349,0.025,False,0.309,3.0,645
9,2,0.4215,7,0.3458,0.0345,0.2984,4,0.3073,0.0368,False,0.264,2.5,672
10,2,0.4306,8,0.309,0.0074,0.2992,5,0.2724,0.0251,False,0.2917,3.0,675
11,1,0.5028,10,0.2917,0.0136,0.2783,6,0.2503,0.0298,False,0.2647,3.0,688
12,2,0.4554,10,0.2917,0.0318,0.2537,5,0.3092,0.0383,False,0.2218,2.5,759
13,3,0.4126,10,0.2917,0.042,0.232,6,0.2868,0.0447,False,0.19,4.0,783
14,3,0.4297,11,0.2647,0.0434,0.2071,4,0.382,0.0489,False,0.1637,2.0,800
15,3,0.4365,12,0.2218,0.0318,0.1808,5,0.3425,0.0489,False,0.1489,3.0,831
16,4,0.4014,12,0.2218,0.0369,0.1668,6,0.3147,0.0509,False,0.13,2.0,852
17,4,0.4167,13,0.19,0.0308,0.1469,7,0.2969,0.0521,False,0.1162,3.0,875
18,4,0.4209,14,0.1637,0.0249,0.1294,8,0.2759,0.0517,False,0.1045,3.0,913
19,4,0.4351,15,0.1489,0.0222,0.1201,8,0.3024,0.0504,False,0.0979,3.0,925
20,5,0.4081,15,0.1489,0.016,0.1257,10,0.2414,0.044,False,0.1096,3.0,936
21,5,0.416,16,0.13,0.0113,0.114,11,0.2284,0.0432,False,0.1027,3.0,943
22,5,0.4218,17,0.1162,0.0053,0.1089,12,0.2161,0.0407,True,0.1035,5.5,984
23,3,0.483,20,0.1096,0.0069,0.1022,12,0.233,0.0395,True,0.0954,3.0,994
24,4,0.4522,20,0.1096,0.0022,0.1069,12,0.2484,0.0291,True,0.1046,5.0,996
25,5,0.4309,20,0.1096,0.0053,0.1026,12,0.2658,0.0246,True,0.0973,3.0,1007
26,6,0.4086,20,0.1096,0.0069,0.0996,12,0.2772,0.0197,True,0.0927,3.0,1015
27,3,0.5022,24,0.1046,0.0075,0.0972,12,0.2869,0.017,True,0.0896,3.0,1029
28,4,0.4753,24,0.1046,0.0092,0.0945,12,0.2991,0.0134,True,0.0853,2.5,1024
29,5,0.4559,24,0.1046,0.0065,0.0969,12,0.307,0.0079,True,0.0904,4.0,1031
