band,N,is_fb_discount,is_fb_poststart,is_fill_rate,oos_fb_$,oos_skip_$
5-9,56,1,B1,0.482,1.25,0.67
10-16,52,10,B1,0.077,1.27,0.81
17-19,30,2,B3,0.333,0.68,-0.02
20-22,34,2,B1,0.206,1.01,0.56
23-25,41,3,B4,0.293,1.46,0.84
26-28,45,4,B1,0.222,2.36,1.3
29-30,25,0,B1,0.56,1.14,0.84
31-32,30,2,B1,0.267,-0.33,0.12
33-35,55,2,B2,0.345,1.68,0.6
36-37,36,1,B1,0.472,0.35,0.33
38-40,55,1,B1,0.455,1.56,0.9
41-42,27,1,B1,0.481,-0.32,0.53
43-44,24,5,B1,0.25,1.35,0.6
45-46,24,0,B1,0.625,2.16,1.35
47-48,29,2,B4,0.276,0.34,-0.6
49-51,34,1,B1,0.441,-0.05,1.56
52-54,38,4,B4,0.211,3.53,2.07
55-56,36,0,B1,0.444,3.1,2.0
57-58,25,1,B1,0.36,-3.81,-0.65
59-61,57,6,B4,0.193,-1.19,0.54
62-64,51,8,B1,0.255,-3.51,-0.91
65-66,32,10,B1,0.281,-3.14,1.13
67-68,31,3,B1,0.355,0.36,-1.49
69-71,30,3,B1,0.267,-0.79,-0.9
72-74,53,4,B1,0.377,4.22,2.37
75-76,18,8,B1,0.444,-0.36,-0.08
77-79,30,3,B1,0.6,-0.05,-1.89
80-82,26,15,B4,0.346,2.66,2.83
83-86,30,12,B1,0.467,1.83,1.57
87-94,69,15,B1,0.377,5.45,3.08
