c,raw_N,pooled_N,raw_tickers,pooled_tickers,pool_mult
5,65,321.3,12,27,4.94
6,192,379.0,23,27,1.97
7,84,831.4,11,31,9.9
8,52,869.4,15,31,16.72
9,59,948.6,12,30,16.08
10,448,681.8,20,23,1.52
11,135,799.1,13,24,5.92
12,54,928.4,15,25,17.19
13,57,1298.7,12,26,22.78
14,49,1104.3,15,25,22.54
15,269,1304.5,18,25,4.85
16,395,1643.0,17,26,4.16
17,325,1945.3,13,27,5.99
18,247,2174.0,15,27,8.8
19,390,2102.4,15,26,5.39
20,286,1769.6,17,25,6.19
21,302,1566.5,17,24,5.19
22,195,1627.0,19,26,8.34
23,100,1527.0,16,26,15.27
24,79,1787.9,17,26,22.63
25,349,1673.7,20,27,4.8
26,274,1997.2,19,27,7.29
27,567,2071.5,17,25,3.65
28,372,2415.0,19,25,6.49
29,312,2234.4,17,25,7.16
30,131,1836.2,18,25,14.02
31,455,1526.1,16,26,3.35
32,203,1650.2,15,27,8.13
33,151,1722.8,15,26,11.41
34,420,1878.2,12,26,4.47
35,385,1523.4,16,26,3.96
36,238,1274.4,17,27,5.35
37,110,1424.1,15,27,12.95
38,121,1484.2,15,28,12.27
39,111,1583.4,17,28,14.26
40,385,1955.7,21,28,5.08
41,549,2348.3,19,30,4.28
42,391,2882.4,16,30,7.37
43,555,3428.6,15,30,6.18
44,399,3976.6,22,31,9.97
45,617,3900.3,23,29,6.32
46,561,3802.3,20,29,6.78
47,1089,3850.5,19,31,3.54
48,424,3619.4,19,31,8.54
49,245,3912.6,17,31,15.97
50,535,4496.9,22,31,8.41
51,269,3868.1,22,31,14.38
52,911,3718.9,20,30,4.08
53,1097,3608.7,23,30,3.29
54,669,3710.9,22,30,5.55
55,403,4034.1,19,30,10.01
56,422,3906.6,21,30,9.26
57,617,3084.4,20,29,5.0
58,543,2407.6,18,26,4.43
59,384,2034.6,16,26,5.3
60,94,2009.7,16,25,21.38
61,115,1885.4,15,25,16.39
62,252,1897.4,15,24,7.53
63,357,2140.2,16,23,5.99
64,568,2214.7,14,24,3.9
65,537,2497.5,17,24,4.65
66,302,2410.8,15,24,7.98
67,166,2492.5,20,24,15.02
68,362,1520.6,17,24,4.2
69,173,2271.5,16,23,13.13
70,494,2254.9,18,23,4.56
71,359,2223.3,16,23,6.19
72,457,1925.7,17,22,4.21
73,274,1986.5,15,22,7.25
74,137,2046.4,14,21,14.94
75,75,1895.9,17,22,25.28
76,334,1650.7,15,22,4.94
77,512,1398.9,17,21,2.73
78,274,1263.0,15,21,4.61
79,69,1282.4,11,20,18.59
80,61,1021.1,11,20,16.74
81,58,494.1,13,19,8.52
82,31,291.1,12,19,9.39
83,52,260.2,13,20,5.0
84,35,273.1,9,20,7.8
85,36,290.1,12,19,8.06
86,42,423.2,12,18,10.08
87,45,458.4,10,18,10.19
88,107,472.3,11,18,4.41
89,214,511.8,9,18,2.39
90,39,466.3,11,17,11.96
91,38,521.1,8,17,13.71
92,60,425.0,11,17,7.08
93,52,222.8,9,17,4.28
94,53,174.1,12,14,3.28
