c,offset,p1_downtravel_med,full_downtravel_med,fill_prob_p1,fill_prob_full,event_N,offset_vs_p1travel
5,2,3.0,4.0,0.727,0.909,22,inside
6,2,3.0,4.0,0.739,0.913,23,inside
7,2,3.0,4.0,0.75,0.917,24,inside
8,2,3.5,4.5,0.786,0.929,28,inside
9,2,4.0,5.5,0.769,0.923,26,inside
10,2,4.0,6.0,0.793,0.931,29,inside
11,2,4.0,6.0,0.8,0.88,25,inside
12,2,5.5,7.5,0.9,0.9,20,inside
13,2,4.0,7.0,0.808,0.885,26,inside
14,2,7.0,9.0,0.833,0.9,30,inside
15,3,6.0,8.0,0.645,0.839,31,inside
16,3,5.5,7.0,0.684,0.868,38,inside
17,3,4.0,7.0,0.649,0.838,37,inside
18,3,5.5,7.5,0.667,0.881,42,inside
19,3,4.5,7.0,0.609,0.848,46,inside
20,3,4.0,7.0,0.588,0.804,51,inside
21,3,3.0,6.0,0.518,0.786,56,inside
22,3,3.0,6.5,0.516,0.774,62,inside
23,3,2.0,6.0,0.422,0.719,64,TOO-DEEP
24,3,2.0,6.0,0.426,0.706,68,TOO-DEEP
25,10,2.0,6.0,0.23,0.378,74,TOO-DEEP
26,10,2.5,5.5,0.236,0.375,72,TOO-DEEP
27,10,2.0,6.0,0.206,0.382,68,TOO-DEEP
28,10,2.5,6.5,0.229,0.4,70,TOO-DEEP
29,10,2.0,6.0,0.215,0.369,65,TOO-DEEP
30,10,3.0,6.0,0.25,0.375,72,TOO-DEEP
31,10,3.0,6.5,0.244,0.402,82,TOO-DEEP
32,10,3.5,6.0,0.244,0.39,82,TOO-DEEP
33,10,3.0,6.0,0.239,0.391,92,TOO-DEEP
34,10,3.0,6.0,0.24,0.36,100,TOO-DEEP
35,2,3.0,5.5,0.683,0.865,104,inside
36,2,3.0,6.0,0.7,0.891,110,inside
37,2,3.5,6.5,0.698,0.896,106,inside
38,2,3.0,6.0,0.67,0.887,106,inside
39,2,2.5,6.0,0.632,0.868,106,inside
40,2,3.0,6.0,0.615,0.865,104,inside
41,2,3.0,6.0,0.64,0.86,100,inside
42,2,3.0,6.0,0.653,0.853,95,inside
43,2,3.0,6.0,0.677,0.844,96,inside
44,2,3.0,6.0,0.72,0.849,93,inside
45,2,3.0,5.0,0.717,0.804,92,inside
46,2,3.0,4.5,0.722,0.8,90,inside
47,2,3.0,5.0,0.706,0.8,85,inside
48,2,3.0,5.0,0.725,0.812,80,inside
49,2,3.0,6.0,0.671,0.808,73,inside
50,2,3.0,6.0,0.625,0.812,64,inside
51,2,3.0,9.0,0.639,0.82,61,inside
52,2,3.5,10.0,0.667,0.883,60,inside
53,2,4.0,9.0,0.662,0.87,77,inside
54,2,4.0,8.8,0.64,0.837,86,inside
55,2,4.0,7.0,0.67,0.835,97,inside
56,2,4.0,8.0,0.716,0.863,102,inside
57,2,4.0,6.0,0.689,0.84,106,inside
58,2,4.0,5.0,0.676,0.829,105,inside
59,2,4.0,5.0,0.713,0.852,115,inside
60,2,4.0,5.0,0.721,0.838,111,inside
61,2,4.0,5.0,0.735,0.872,117,inside
62,2,3.5,5.0,0.75,0.871,116,inside
63,2,3.0,5.0,0.723,0.857,112,inside
64,2,3.0,5.0,0.756,0.886,123,inside
65,7,3.0,5.0,0.271,0.421,133,TOO-DEEP
66,7,3.0,5.0,0.246,0.4,130,TOO-DEEP
67,7,3.0,5.0,0.24,0.408,125,TOO-DEEP
68,7,3.0,5.0,0.267,0.431,116,TOO-DEEP
69,7,3.0,5.0,0.261,0.432,111,TOO-DEEP
70,7,3.0,5.5,0.274,0.443,106,TOO-DEEP
71,7,3.0,5.0,0.239,0.432,88,TOO-DEEP
72,7,2.0,5.0,0.253,0.434,83,TOO-DEEP
73,7,3.0,6.0,0.247,0.479,73,TOO-DEEP
74,7,3.0,6.0,0.243,0.486,70,TOO-DEEP
75,12,3.0,6.0,0.097,0.278,72,TOO-DEEP
76,12,3.0,5.0,0.074,0.221,68,TOO-DEEP
77,12,3.0,5.0,0.07,0.225,71,TOO-DEEP
78,12,3.5,6.0,0.097,0.278,72,TOO-DEEP
79,12,4.0,7.0,0.1,0.317,60,TOO-DEEP
80,12,3.0,6.0,0.086,0.259,58,TOO-DEEP
81,12,3.5,6.5,0.13,0.278,54,TOO-DEEP
82,12,3.0,5.0,0.154,0.308,52,TOO-DEEP
83,12,2.0,4.0,0.163,0.327,49,TOO-DEEP
84,12,2.0,4.0,0.175,0.325,40,TOO-DEEP
85,2,1.0,4.0,0.455,0.667,33,TOO-DEEP
86,2,1.5,3.5,0.5,0.625,32,TOO-DEEP
87,2,2.0,4.0,0.6,0.667,30,inside
88,2,2.0,3.5,0.536,0.607,28,inside
89,2,2.0,4.5,0.55,0.65,20,inside
90,2,2.0,5.0,0.526,0.684,19,inside
91,2,1.5,4.5,0.5,0.682,22,TOO-DEEP
92,2,2.0,4.0,0.526,0.632,19,inside
93,2,1.0,4.0,0.467,0.6,15,TOO-DEEP
94,2,1.0,1.5,0.3,0.5,10,TOO-DEEP
