c,n,med_dip,off_reach50,off_reach60,current_offset,cur_fill_pred,new_fill_pred
5,87,3.0,3,2,2,0.724,0.724
6,113,3.0,3,2,2,0.717,0.717
7,140,3.0,3,2,2,0.743,0.743
8,161,3.0,3,2,2,0.727,0.727
9,166,3.0,3,2,2,0.711,0.711
10,183,3.0,3,2,2,0.721,0.721
11,195,3.0,3,2,2,0.713,0.713
12,207,3.0,3,2,2,0.72,0.72
13,201,3.0,3,2,2,0.716,0.716
14,209,3.0,3,2,2,0.722,0.722
15,207,3.0,3,2,1,0.932,0.739
16,221,3.0,3,2,1,0.95,0.751
17,223,3.0,3,2,1,0.951,0.749
18,231,3.0,3,2,1,0.957,0.758
19,234,3.0,3,2,1,0.966,0.769
20,254,3.0,3,2,1,0.972,0.787
21,264,3.0,3,3,1,0.973,0.602
22,287,3.0,3,3,1,0.965,0.61
23,290,3.0,3,3,1,0.948,0.614
24,288,3.0,3,3,1,0.958,0.639
25,285,3.0,3,3,1,0.951,0.628
26,289,3.0,3,3,1,0.934,0.623
27,283,3.0,3,3,1,0.926,0.633
28,292,3.0,3,3,1,0.928,0.627
29,304,3.0,3,3,1,0.931,0.635
30,299,3.0,3,3,1,0.943,0.619
31,299,3.0,3,3,1,0.94,0.609
32,301,3.0,3,3,1,0.944,0.625
33,308,3.0,3,3,1,0.955,0.627
34,318,3.0,3,3,1,0.959,0.616
35,318,3.0,3,2,2,0.799,0.799
36,309,3.0,3,2,2,0.793,0.793
37,325,3.0,3,2,2,0.822,0.822
38,336,3.0,3,2,2,0.845,0.845
39,344,3.0,3,2,2,0.834,0.834
40,345,3.0,3,2,2,0.829,0.829
41,342,3.0,3,2,2,0.83,0.83
42,338,3.0,3,3,2,0.846,0.618
43,341,3.0,3,3,2,0.848,0.63
44,336,3.0,3,3,2,0.839,0.64
45,339,3.0,3,3,1,0.979,0.661
46,349,4.0,4,3,1,0.977,0.685
47,342,4.0,4,3,1,0.974,0.696
48,351,4.0,4,3,1,0.977,0.715
49,351,4.0,4,3,1,0.974,0.721
50,354,4.0,4,3,1,0.977,0.723
51,357,4.0,4,3,1,0.972,0.731
52,352,4.0,4,3,1,0.972,0.739
53,342,4.0,4,3,1,0.971,0.74
54,353,4.0,4,3,1,0.977,0.728
55,356,4.0,4,3,18,0.247,0.739
56,364,4.0,4,3,18,0.228,0.747
57,374,4.0,4,3,18,0.219,0.746
58,370,4.0,4,3,18,0.197,0.749
59,380,4.0,4,3,18,0.211,0.75
60,380,4.0,4,3,18,0.224,0.755
61,383,4.0,4,3,18,0.225,0.783
62,394,4.0,4,3,18,0.201,0.766
63,372,4.0,4,3,18,0.196,0.755
64,367,4.0,4,3,18,0.204,0.744
65,367,4.0,4,3,1,0.981,0.728
66,362,4.0,4,3,1,0.975,0.715
67,361,4.0,4,3,1,0.97,0.701
68,356,4.0,4,3,1,0.963,0.691
69,320,4.0,4,3,1,0.966,0.694
70,343,4.0,4,3,1,0.968,0.668
71,333,4.0,4,3,1,0.973,0.691
72,331,4.0,4,3,1,0.97,0.713
73,314,4.0,4,3,1,0.975,0.707
74,305,4.0,4,3,1,0.98,0.711
75,305,5.0,5,3,10,0.397,0.708
76,316,5.0,5,4,10,0.418,0.611
77,290,6.0,6,4,10,0.445,0.638
78,276,6.0,6,4,10,0.446,0.62
79,264,4.0,4,3,10,0.413,0.723
80,264,5.0,5,4,10,0.424,0.602
81,253,5.0,5,4,10,0.435,0.609
82,241,5.0,5,3,10,0.44,0.722
83,231,5.0,5,3,10,0.446,0.697
84,228,5.0,5,3,10,0.461,0.697
85,231,6.0,6,3,1,0.974,0.697
86,225,12.0,8,5,1,0.978,0.6
87,215,12.0,8,5,1,0.972,0.605
88,217,13.0,8,7,1,0.977,0.613
89,193,14.0,8,8,1,0.974,0.601
90,182,14.5,8,7,1,0.973,0.615
91,174,16.0,8,8,1,0.966,0.626
92,139,17.0,8,8,1,0.964,0.655
93,113,17.0,8,8,1,0.956,0.619
94,87,17.0,8,8,1,0.966,0.644
