anchor_c,reliable_depth,reliable_fill,reliable_cost,reliable_roc_at_cost,reliable_roc_lift,reliable_combined_roc,aggr_depth,aggr_fill,aggr_lift,aggr_capped,roc_anchor,env_med_dip_bid,match_N
57,0,0.5737,57,0.0904,0.0,0.0904,0,0.5737,0.0,False,0.0904,4.0,1514
58,0,0.5832,58,0.0925,0.0,0.0925,0,0.5832,0.0,False,0.0925,4.0,1545
59,0,0.5802,59,0.0977,0.0,0.0977,0,0.5802,0.0,False,0.0977,5.0,1548
60,0,0.5729,60,0.1001,0.0,0.1001,0,0.5729,0.0,False,0.1001,6.0,1579
61,0,0.5693,61,0.1036,0.0,0.1036,0,0.5693,0.0,False,0.1036,5.0,1575
62,0,0.5765,62,0.1078,0.0,0.1078,0,0.5765,0.0,False,0.1078,5.0,1562
63,0,0.5872,63,0.111,0.0,0.111,0,0.5872,0.0,False,0.111,5.0,1588
64,1,0.4751,63,0.111,0.0003,0.1107,1,0.4751,0.0003,False,0.1104,4.5,1549
65,2,0.4036,63,0.111,0.0006,0.1101,2,0.4036,0.0006,False,0.1095,4.0,1549
66,2,0.4076,64,0.1104,0.0019,0.1076,2,0.4076,0.0019,False,0.1058,5.0,1532
67,2,0.4089,65,0.1095,0.0028,0.1054,2,0.4089,0.0028,False,0.1026,5.0,1533
68,2,0.4074,66,0.1058,0.0018,0.1031,3,0.367,0.003,False,0.1013,4.0,1502
69,2,0.4068,67,0.1026,0.0036,0.0973,4,0.3328,0.0053,False,0.0937,5.0,1484
70,2,0.4138,68,0.1013,0.0049,0.0944,5,0.3096,0.0062,False,0.0895,5.0,1446
71,2,0.4214,69,0.0937,0.0036,0.0887,6,0.2873,0.007,False,0.0851,6.0,1392
72,2,0.4283,70,0.0895,0.004,0.0841,7,0.262,0.0077,False,0.0801,4.0,1363
73,2,0.4298,71,0.0851,0.0039,0.0799,8,0.2421,0.0081,False,0.0759,4.0,1304
74,2,0.4299,72,0.0801,0.0033,0.0757,6,0.2827,0.0082,False,0.0724,6.0,1255
75,2,0.4349,73,0.0759,0.002,0.0734,7,0.2575,0.0077,False,0.0714,6.0,1200
76,2,0.4449,74,0.0724,0.0006,0.0716,8,0.2362,0.0072,False,0.071,5.0,1167
77,2,0.4588,75,0.0714,0.0001,0.0713,9,0.2122,0.0064,False,0.0712,6.0,1148
78,3,0.4079,75,0.0714,0.0003,0.0709,10,0.1924,0.0059,False,0.0706,7.0,1129
79,2,0.4606,77,0.0712,0.0002,0.0709,11,0.172,0.0053,False,0.0707,8.5,1095
80,0,0.5919,80,0.073,0.0,0.073,12,0.1514,0.0043,True,0.073,10.5,1048
