c,X,target,raw_N,pooled_N,match_N,reach_raw,reach_pooled,reach_pooled_match,exp_ret_match,roc_match,net_raw,net_pooled,miss_cost_raw,reach_pooled_mono,reach_pooled_match_mono,minute_over_optimistic,roc
5.0,4.0,9.0,22773.0,77498.7,3673.0,0.8761252360251175,0.8802968767765315,0.8546577084564837,2.4936169964076322,0.4987233992815264,2.885127067565918,2.7612628516589455,5.0,0.8802968767765315,0.8546577084564837,0.025639168320047756,0.4987233992815264
6.0,4.0,10.0,25386.0,92510.0,3708.0,0.9094382730638935,0.8736053243807617,0.851332241916212,2.3738585522776714,0.39564309204627857,3.0943827629089355,2.6173626748914374,6.0,0.8736053243807617,0.851332241916212,0.02227308246454962,0.39564309204627857
7.0,4.0,11.0,23035.0,109163.0,3731.0,0.8586498806164532,0.8770921647481374,0.8512660143648837,2.3023137913455063,0.3289019701922152,2.4451489448547363,2.609972625178164,7.0,0.8770921647481374,0.8512660143648837,0.025826150383253754,0.3289019701922152
8.0,4.0,12.0,17505.0,129568.3,3747.0,0.8670665524135961,0.8808946896108831,0.8546409462962746,2.280180877843723,0.2850226097304654,2.4047985076904297,2.608749673466075,8.0,0.8808946896108831,0.8546409462962746,0.026253743314608502,0.2850226097304654
9.0,4.0,13.0,18524.0,127219.8,3727.0,0.8324335996545023,0.8814166521250772,0.8569179365252588,2.159361113456402,0.2399290126062669,1.82163667678833,2.49383508212656,9.0,0.8814166521250772,0.8569179365252588,0.02449871559981842,0.2399290126062669
10.0,4.0,14.0,19549.0,120433.7,3694.0,0.9095094378229065,0.883652059104922,0.855028830082721,2.029435888354306,0.2029435888354306,2.7331318855285645,2.429459963552971,10.0,0.883652059104922,0.855028830082721,0.028623229022200936,0.2029435888354306
11.0,4.0,15.0,17723.0,116540.2,3664.0,0.9136150764543249,0.8932861924447236,0.8641665974059758,2.027033380769806,0.1842757618881642,2.704226016998291,2.4404067654774657,11.0,0.8932861924447236,0.8641665974059758,0.029119595038747836,0.1842757618881642
12.0,4.0,16.0,20035.0,122152.1,3673.0,0.880159720489144,0.8989877709995812,0.8717436885790497,1.9891705829999506,0.16576421524999588,2.0825555324554443,2.4070558537873525,12.0,0.8989877709995812,0.8717436885790497,0.027244082420531446,0.16576421524999588
13.0,4.0,17.0,20142.0,126066.1,3654.0,0.930791381193526,0.9061779091649601,0.8837383964992387,2.061211832508181,0.15855475634678318,2.823453426361084,2.3883364971268306,13.0,0.9061779091649601,0.8837383964992387,0.022439512665721417,0.15855475634678318
14.0,5.0,19.0,19654.0,127255.4,3616.0,0.8627251450086496,0.8667091302148985,0.8501902372550333,2.1806734099177834,0.15576238642269882,2.391777753829956,2.4488415022959518,14.0,0.8667091302148985,0.8501902372550333,0.016518892959865195,0.15576238642269882
