c,X,target,raw_N,pooled_N,match_N,reach_raw,reach_pooled,reach_pooled_match,exp_ret_match,roc_match,net_raw,net_pooled,miss_cost_raw,reach_pooled_mono,reach_pooled_match_mono,minute_over_optimistic,roc
5.0,3.0,8.0,4512.0,12767.6,631.0,0.8683510638297872,0.89019041025159,0.8829544094739171,1.9209034499994175,0.38418068999988353,1.9468084573745728,2.003636550472718,5.0,0.89019041025159,0.8829544094739171,0.007236000777672835,0.38418068999988353
6.0,3.0,9.0,4732.0,13732.3,634.0,0.9201183431952663,0.8903903522873867,0.878859369539292,1.818617907159405,0.30310298452656753,2.281064987182617,1.9671504206669628,6.0,0.8903903522873867,0.878859369539292,0.01153098274809472,0.30310298452656753
7.0,3.0,10.0,3321.0,15808.7,639.0,0.9138813610358326,0.8853062636404053,0.8720955344949952,1.674370805825099,0.23919582940358558,2.1388137340545654,1.8589819427126606,7.0,0.8853062636404053,0.8720955344949952,0.013210729145410105,0.23919582940358558
8.0,3.0,11.0,2041.0,18792.6,640.0,0.8172464478196962,0.886220334907466,0.8712355751644157,1.596929860693694,0.19961623258671174,0.9897109270095825,1.817069708937626,8.0,0.886220334907466,0.8712355751644157,0.014984759743050247,0.19961623258671174
9.0,3.0,12.0,2223.0,17430.3,639.0,0.863697705802969,0.8943512052752393,0.8768599240894037,1.5277611716281603,0.1697512412920178,1.3643724918365479,1.7795882690895044,9.0,0.8943512052752393,0.8768599240894037,0.01749128118583554,0.1697512412920178
10.0,3.0,13.0,2284.0,14359.3,629.0,0.8463222416812609,0.8876096467824972,0.8668642482355379,1.2920996007461463,0.12920996007461463,1.002189040184021,1.5822089433729012,10.0,0.8876096467824972,0.8668642482355379,0.020745398546959337,0.12920996007461463
11.0,3.0,14.0,2301.0,14680.9,621.0,0.940026075619296,0.888916241655297,0.8643903830510153,1.1544958330743613,0.10495416664312375,2.160365104675293,1.4719899535926886,11.0,0.888916241655297,0.8643903830510153,0.02452585860428169,0.10495416664312375
12.0,3.0,15.0,2997.0,16413.0,621.0,0.9152485819152486,0.8984341704119672,0.8714889636992967,1.1169760357616676,0.0930813363134723,1.7287286520004272,1.4858737229456234,12.0,0.8984341704119672,0.8714889636992967,0.026945206712670422,0.0930813363134723
13.0,4.0,17.0,2413.0,16702.7,615.0,0.8980522171570658,0.8644488584868247,0.8518337306889874,1.5147640468951387,0.11652031129962605,2.266887664794922,1.6941400595344214,13.0,0.8644488584868247,0.8518337306889874,0.012615127797837355,0.11652031129962605
14.0,4.0,18.0,3821.0,17256.9,605.0,0.8974090552211463,0.8703372304338329,0.8575788763150067,1.4769572758072285,0.10549694827194489,2.153362989425659,1.6988116066358474,14.0,0.8703372304338329,0.8575788763150067,0.012758354118826198,0.10549694827194489
15.0,4.0,19.0,2558.0,15992.0,602.0,0.8139171227521501,0.8760407155128542,0.8594101589249252,1.3820918195029295,0.09213945463352863,0.46442508697509766,1.670645589654924,15.0,0.8760407155128542,0.8594101589249252,0.016630556587929002,0.09213945463352863
